,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,255.22,256.97,253.33,256.02,315016,215.0760609993,216.5508008581,213.4833419519,215.7502277919,315016,0.0,1.0
1,2015-01-05,248.98,254.34,248.181,253.7,394110,209.8175600173,214.3344775275,209.1442359332,213.7951440935,394110,0.0,1.0
2,2015-01-06,245.45,249.94,242.84,249.53,429283,206.8427990451,210.6265601684,204.6433298843,210.2810496872,429283,0.0,1.0
3,2015-01-07,245.67,247.065,243.11,246.0,339546,207.028194913,208.2037732576,204.8708611768,207.306288715,339546,0.0,1.0
4,2015-01-08,251.14,251.225,247.38,247.38,452968,211.6378103572,211.709440579,208.4692264322,208.4692264322,452968,0.0,1.0
5,2015-01-09,248.23,250.78,246.88,250.7,333325,209.1855286493,211.3344353006,208.0478721868,211.2670186213,333325,0.0,1.0
6,2015-01-12,245.15,249.95,244.1,249.04,367513,206.5899864979,210.6349872533,205.7051425826,209.8681225267,367513,0.0,1.0
7,2015-01-13,243.44,247.98,241.33,246.84,400926,205.1489549788,208.9748515266,203.3708400634,208.0141638472,400926,0.0,1.0
8,2015-01-14,241.9,243.0,240.0,241.92,753792,203.8511839031,204.7781632429,202.2500377707,203.8680380729,753792,0.0,1.0
9,2015-01-15,237.92,244.8,237.76,243.03,490033,200.49720411,206.2950385261,200.3623707515,204.8034444976,490033,0.0,1.0
10,2015-01-16,241.29,241.59,235.04,237.92,654265,203.3371317237,203.5899442709,198.0702036568,200.49720411,654265,0.0,1.0
11,2015-01-20,242.61,243.77,239.81,242.0,366058,204.4495069315,205.4270487807,202.0899231575,203.9354547521,366058,0.0,1.0
12,2015-01-21,244.19,246.97,240.91,241.16,470478,205.7809863468,208.123715951,203.0169024973,203.2275796199,470478,0.0,1.0
13,2015-01-22,245.16,246.12,243.18,245.22,406803,206.5984135828,207.4074137339,204.9298507712,206.6489760922,406803,0.0,1.0
14,2015-01-23,245.99,247.69,243.5,243.5,792749,207.2978616301,208.7304660643,205.1995174882,205.1995174882,792749,0.0,1.0
15,2015-01-26,234.81,241.88,233.5,236.42,1164081,197.8763807039,203.8343297333,196.7724325811,199.233141374,1164081,0.0,1.0
16,2015-01-27,231.68,233.35,229.04,230.56,672776,195.238703128,196.6460263075,193.0139527125,194.2948696184,672776,0.0,1.0
17,2015-01-28,231.04,232.93,229.38,232.76,698751,194.6993696939,196.2920887414,193.3004735994,196.148828298,698751,0.0,1.0
18,2015-01-29,235.92,236.85,231.13,231.49,660580,198.8117871286,199.595506025,194.7752134581,195.0785885148,660580,0.0,1.0
19,2015-01-30,235.84,238.36,233.2701,234.32,673633,198.7443704494,200.867995846,196.5786938991,197.4634535435,673633,0.0,1.0
20,2015-02-02,240.51,241.01,233.29,233.75,563665,202.679819101,203.1011733463,196.595463798,196.9831097038,563665,0.0,1.0
21,2015-02-03,244.57,245.24,241.772,241.84,472322,206.1012155733,206.665830262,203.7433172163,203.8006213936,472322,0.0,1.0
22,2015-02-04,239.16,242.45,236.2,242.22,1554268,201.5421626385,204.314673573,199.047745506,204.1208506201,1554268,0.0,1.0
23,2015-02-05,240.02,241.4,237.9675,239.65,833342,203.1770171105,204.3451876113,201.4395751156,202.8638119762,833342,1.08,1.0
24,2015-02-06,240.3,242.77,239.54,239.54,506739,203.4140372121,205.5048931086,202.7706969363,202.7706969363,506739,0.0,1.0
