,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-10-19,16.55,18.5,16.48,18.5,1581576,7.4723692439,8.352799457,7.4407640568,8.352799457,2029328,0.0,1.0
1,2015-10-20,16.87,16.93,16.25,16.25,709632,7.6168500994,7.6439402598,7.3369184419,7.3369184419,910532,0.0,1.0
2,2015-10-21,16.48,17.35,16.4,17.25,78598,7.4407640568,7.8335713826,7.4046438429,7.7884211153,100849,0.0,1.0
3,2015-10-22,16.95,17.05,16.24,16.71,110000,7.6529703133,7.6981205806,7.3324034152,7.5446096717,141141,0.0,1.0
4,2015-10-23,17.0,17.25,16.85,17.25,59910,7.675545447,7.7884211153,7.607820046,7.7884211153,76870,0.0,1.0
5,2015-10-26,16.42,17.11,16.31,17.11,514799,7.4136738964,7.725210741,7.3640086023,7.725210741,660541,0.0,1.0
6,2015-10-27,15.73,16.75,15.6,16.56,636017,7.1021370518,7.5626697786,7.0434417043,7.4768842707,816076,0.0,1.0
7,2015-10-28,16.28,16.35,15.845,15.9,296321,7.3504635221,7.3820687093,7.1540598592,7.1788925063,380211,0.0,1.0
8,2015-10-29,15.95,16.27,15.55,16.01,290446,7.2014676399,7.3459484954,7.0208665706,7.2285578003,372672,0.0,1.0
9,2015-10-30,14.72,16.1,14.72,15.9,2449278,6.6461193517,7.2691930409,6.6461193517,7.1788925063,3142681,0.0,1.0
10,2015-11-02,14.49,15.17,13.86,14.99,40865891,6.5422737368,6.8492955547,6.2578270526,6.7680250735,52435236,0.0,1.0
11,2015-11-03,14.36,14.71,13.675,14.07,40205612,6.4835783893,6.641604325,6.1742990581,6.352642614,51588028,0.0,1.0
12,2015-11-04,13.66,14.51,13.61,14.39,31516491,6.167526518,6.5513037903,6.1449513843,6.4971234695,40438972,0.0,1.0
13,2015-11-05,13.28,13.89,13.12,13.64,22189959,5.9959555021,6.2713721328,5.9237150744,6.1584964645,28472051,0.0,1.0
14,2015-11-06,14.4,14.48,13.15,13.18,30049669,6.5016384962,6.5377587101,5.9372601546,5.9508052348,38556885,0.0,1.0
15,2015-11-09,14.2,14.48,14.13,14.26,17528088,6.4113379616,6.5377587101,6.3797327744,6.438428122,22490380,0.0,1.0
16,2015-11-10,14.41,14.44,14.01,14.13,14777765,6.506153523,6.5196986032,6.3255524536,6.3797327744,18961426,0.0,1.0
17,2015-11-11,14.11,14.31,14.09,14.2,11009387,6.370702721,6.4610032556,6.3616726675,6.4113379616,14126201,0.0,1.0
18,2015-11-12,13.7,13.82,13.59,13.81,20371666,6.1855866249,6.2397669457,6.1359213308,6.235251919,26138989,0.0,1.0
19,2015-11-13,13.39,13.76,13.15,13.61,14924533,6.0456207962,6.2126767853,5.9372601546,6.1449513843,19149745,0.0,1.0
20,2015-11-16,13.38,13.61,13.14,13.37,13781375,6.0411057694,6.1449513843,5.9327451278,6.0365907427,17682953,0.0,1.0
21,2015-11-17,13.22,13.49,13.12,13.38,12420759,5.9688653417,6.0907710635,5.9237150744,6.0411057694,15937140,0.0,1.0
22,2015-11-18,13.64,13.73,13.1886,13.48,13020475,6.1584964645,6.1991317051,5.9546881577,6.0862560368,16706638,0.0,1.0
23,2015-11-19,13.78,13.89,13.52,13.53,13171491,6.2217068388,6.2713721328,6.1043161437,6.1088311704,16900408,0.0,1.0
24,2015-11-20,14.21,14.63,13.68,13.78,18558586,6.4158529883,6.6054841111,6.1765565714,6.2217068388,23812617,0.0,1.0
25,2015-11-23,13.85,14.21,13.57,14.17,15317345,6.2533120259,6.4158529883,6.1268912774,6.3977928814,19653764,0.0,1.0
26,2015-11-24,13.69,14.025,13.5,13.58,24108918,6.1810715982,6.3323249937,6.0952860902,6.1314063041,30934277,0.0,1.0
27,2015-11-25,14.12,14.86,13.84,13.91,22674894,6.3752177477,6.709329726,6.2487969992,6.2804021863,29094273,0.0,1.0
28,2015-11-27,14.35,14.64,14.05,14.12,6041718,6.4790633626,6.6099991378,6.3436125606,6.3752177477,7752159,0.0,1.0
29,2015-11-30,14.86,15.0,14.18,14.23,29096030,6.709329726,6.7725401003,6.4023079081,6.4248830418,37333266,0.0,1.0
30,2015-12-01,15.61,15.88,14.85,14.88,25106264,7.047956731,7.1698624528,6.7048146993,6.7183597795,32213977,0.0,1.0
31,2015-12-02,14.95,15.54,14.87,15.37,12681067,6.7499649666,7.0163515439,6.7138447527,6.9395960894,16271142,0.0,1.0
32,2015-12-03,14.62,15.34,14.58,15.0,18905240,6.6009690844,6.9260510092,6.5829089774,6.7725401003,24257411,0.0,1.0
33,2015-12-04,15.22,15.295,14.24,14.39,12001085,6.8718706884,6.9057333889,6.4293980685,6.4971234695,15398654,0.0,1.0
34,2015-12-07,15.45,15.48,14.92,15.0,9545947,7.0005489503,7.0141422492,6.7604006692,6.7966494663,12248453,0.055,1.0
35,2015-12-08,15.17,15.29,14.62,15.09,11617601,6.8736781603,6.928051356,6.6244676798,6.8374293631,14906603,0.0,1.0
36,2015-12-09,14.85,15.39,14.68,14.99,14261925,6.7286829716,6.9733623524,6.6516542777,6.7921183667,18299549,0.0,1.0
37,2015-12-10,14.72,14.81,14.53,14.79,11350207,6.6697786763,6.7105585731,6.583687783,6.7014963738,14563509,0.0,1.0
38,2015-12-11,14.18,15.4,14.14,14.99,10614763,6.4250992955,6.9778934521,6.4069748969,6.7921183667,13619857,0.0,1.0
39,2015-12-14,14.44,14.5,13.92,14.3,11527694,6.5429078862,6.5700944841,6.3072907047,6.4794724912,14791243,0.0,1.0
40,2015-12-15,14.56,14.98,14.485,14.51,12888739,6.597281082,6.787587267,6.5632978346,6.5746255837,16537607,0.0,1.0
41,2015-12-16,14.7,14.81,14.55,14.62,7840968,6.660716477,6.7105585731,6.5927499823,6.6244676798,10060786,0.0,1.0
42,2015-12-17,14.31,14.72,14.22,14.61,7625458,6.4840035909,6.6697786763,6.4432236941,6.6199365802,9784264,0.0,1.0
43,2015-12-18,14.16,14.385,14.0,14.27,19307237,6.4160370962,6.5179868382,6.3435395019,6.4658791923,24773215,0.0,1.0
44,2015-12-21,14.02,14.4,13.87,14.12,9863255,6.3526017012,6.5247834877,6.2846352065,6.3979126976,12655593,0.0,1.0
45,2015-12-22,14.06,14.14,13.9201,14.04,7292476,6.3707260998,6.4069748969,6.3073360157,6.3616639005,9357013,0.0,1.0
46,2015-12-23,14.91,14.97,14.05,14.19,11252128,6.7558695695,6.7830561674,6.3661950001,6.4296303951,14437663,0.0,1.0
