,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,100.85,101.86,100.17,101.42,291229,89.8620594638,90.7620166285,89.2561477093,90.3699560815,291229,0.0,1.0
1,2015-01-05,99.37,101.06,98.87,100.45,382784,88.5433103512,90.0491792703,88.0977870023,89.5056407847,382784,0.0,1.0
2,2015-01-06,98.15,100.43,97.59,99.79,421341,87.45623338,89.4878198507,86.9572472293,88.9175499642,421341,0.0,1.0
3,2015-01-07,99.12,99.23,97.94,98.75,516650,88.3205486768,88.4185638135,87.2691135735,87.9908613986,516650,0.0,1.0
4,2015-01-08,101.64,101.68,99.8,99.89,333916,90.565986355,90.6016282229,88.9264604312,89.006654634,333916,0.0,1.0
5,2015-01-09,102.15,102.54,101.34,102.06,450401,91.0204201708,91.3679283829,90.2986723457,90.940225968,450401,0.0,1.0
6,2015-01-12,101.1,102.5,100.633,102.13,289475,90.0848211382,91.332286515,89.6687023304,91.0025992368,289475,0.0,1.0
7,2015-01-13,102.82,103.05,101.62,102.0,606015,91.6174214583,91.8223621987,90.548165421,90.8867631661,606015,0.0,1.0
8,2015-01-14,103.96,104.25,101.68,101.86,658889,92.6332146937,92.891618236,90.6016282229,90.7620166285,658889,0.0,1.0
9,2015-01-15,105.27,105.98,104.264,104.43,757848,93.8004858677,94.433129023,92.9040928898,93.0520066416,757848,0.0,1.0
10,2015-01-16,107.36,107.42,104.8575,105.13,728128,95.6627734659,95.7162362677,93.4329291048,93.67573933,728128,0.0,1.0
11,2015-01-20,107.58,108.46,106.04,108.46,507639,95.8588037394,96.6429248333,94.4865918249,96.6429248333,507639,0.0,1.0
12,2015-01-21,106.83,107.78,106.16,107.24,677795,95.1905187161,96.0370130789,94.5935174286,95.5558478621,677795,0.0,1.0
13,2015-01-22,110.94,110.97,107.32,107.55,786188,98.8527206437,98.8794520446,95.627131598,95.8320723384,786188,0.0,1.0
14,2015-01-23,109.05,110.89,108.06,110.82,891018,97.168642385,98.8081683088,96.2865061543,98.7457950399,891018,0.0,1.0
15,2015-01-26,108.37,108.88,107.59,108.77,470425,96.5627306305,97.0171644464,95.8677142063,96.9191493096,470425,0.0,1.0
16,2015-01-27,106.92,107.52,106.3,107.32,521597,95.2707129189,95.8053409375,94.7182639663,95.627131598,521597,0.0,1.0
17,2015-01-28,105.26,107.89,105.18,107.52,710877,93.7915754007,96.1350282156,93.7202916649,95.8053409375,710877,0.0,1.0
18,2015-01-29,106.8,106.94,105.01,105.13,334815,95.1637873151,95.2885338528,93.5688137262,93.67573933,334815,0.0,1.0
19,2015-01-30,106.11,107.39,105.72,105.91,410296,94.5489650937,95.6895048668,94.2014568816,94.3707557542,410296,0.0,1.0
20,2015-02-02,106.78,107.09,105.35,106.53,314413,95.1459663812,95.4221908575,93.8717696035,94.9232047068,314413,0.0,1.0
21,2015-02-03,108.0,108.14,106.74,107.58,476695,96.2330433524,96.3577898901,95.1103245133,95.8588037394,476695,0.0,1.0
22,2015-02-04,107.71,108.41,107.3,107.69,289326,95.9746398101,96.5983724985,95.609310664,95.9568188761,289326,0.0,1.0
23,2015-02-05,108.64,108.802,107.89,108.36,278590,96.8033132389,96.947662804,96.1350282156,96.5538201636,278590,0.0,1.0
24,2015-02-06,109.07,109.1,108.08,108.78,346151,97.1864633189,97.2131947199,96.3043270882,96.9280597766,346151,0.0,1.0
25,2015-02-09,107.38,108.88,107.11,108.81,361055,95.6805943998,97.0171644464,95.4400117914,96.9547911775,361055,0.0,1.0
26,2015-02-10,107.94,108.26,107.23,107.67,371097,96.1795805505,96.4647154938,95.5469373952,95.9389979421,371097,0.0,1.0
27,2015-02-11,107.0,108.4,106.71,108.09,1051031,95.3419966547,96.5894620315,95.0835931123,96.3132375552,1051031,0.0,1.0
28,2015-02-12,114.77,116.48,109.33,109.33,1342227,102.2654294959,103.7891193489,97.4181354603,97.4181354603,1342227,0.0,1.0
29,2015-02-13,116.96,118.58,114.83,115.34,761781,104.2168217638,105.6603174141,102.3188922977,102.7733261136,761781,0.0,1.0
30,2015-02-17,117.2,117.6,115.8,116.88,495458,104.4306729713,104.7870916504,103.1832075945,104.145538028,495458,0.0,1.0
31,2015-02-18,118.27,118.37,116.82,116.99,332763,105.3840929378,105.4731976076,104.0920752262,104.2435531648,332763,0.0,1.0
32,2015-02-19,120.1,120.42,117.57,118.27,526745,107.0147083947,107.2998433379,104.7603602495,105.3840929378,526745,0.0,1.0
33,2015-02-20,121.4,121.54,119.31,120.01,418168,108.1730691017,108.2978156393,106.3107815035,106.9345141919,418168,0.0,1.0
34,2015-02-23,121.24,122.0,120.49,120.65,432607,108.03050163,108.7076971203,107.3622166068,107.5047840784,432607,0.0,1.0
35,2015-02-24,122.63,122.85,120.59,120.99,452999,109.2690565398,109.4650868133,107.4513212765,107.8077399556,452999,0.0,1.0
36,2015-02-25,121.87,123.08,121.43,122.96,472908,108.5918610496,109.6700275538,108.1998005026,109.5631019501,472908,0.0,1.0
37,2015-02-26,121.84,122.4,121.28,122.0,470833,108.5651296487,109.0641157994,108.0661434979,108.7076971203,470833,0.0,1.0
38,2015-02-27,121.93,122.51,121.12,121.95,371089,108.6453238515,109.1621309361,107.9235760263,108.6631447854,371089,0.0,1.0
39,2015-03-02,122.77,122.84,117.32,120.0,401366,109.3938030775,109.4561763464,104.537598575,106.9256037249,401366,0.0,1.0
40,2015-03-03,121.69,122.64,120.77,122.31,280725,108.431472644,109.2779670068,107.6117096821,108.9839215966,280725,0.0,1.0
41,2015-03-04,121.22,121.96,120.3,121.52,346337,108.0126806961,108.6720552524,107.1929177342,108.2799947054,346337,0.0,1.0
42,2015-03-05,120.88,121.54,120.23,121.25,358861,107.7097248189,108.2978156393,107.1305444654,108.039412097,358861,0.0,1.0
43,2015-03-06,119.01,120.71,118.52,120.59,396128,106.0434674941,107.5582468803,105.6068546123,107.4513212765,396128,0.0,1.0
44,2015-03-09,120.69,121.36,119.43,119.55,468581,107.5404259463,108.1374272338,106.4177071072,106.5246327109,468581,0.0,1.0
45,2015-03-10,117.6,119.91,117.6,119.71,744139,104.7870916504,106.8454095221,104.7870916504,106.6672001825,744139,0.0,1.0
