,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,20.25,20.85,20.06,20.85,2627092,13.9424281699,14.3555371527,13.8116103254,14.3555371527,2627092,0.0,1.0
1,2015-01-05,19.67,20.17,19.605,20.17,3078777,13.5430894865,13.8873469722,13.4983360134,13.8873469722,3078777,0.0,1.0
2,2015-01-06,19.14,19.81,19.0,19.63,9900234,13.1781765517,13.6394815825,13.0817844557,13.5155488877,9900234,0.0,1.0
3,2015-01-07,19.64,19.64,19.1,19.3,3536014,13.5224340374,13.5224340374,13.1506359529,13.2883389471,3536014,0.0,1.0
4,2015-01-08,20.55,20.56,19.79,19.84,5012732,14.1489826613,14.1558678111,13.6257112831,13.6601370317,5012732,0.0,1.0
5,2015-01-09,20.29,20.59,20.24,20.58,4684381,13.9699687688,14.1765232602,13.9355430202,14.1696381105,4684381,0.0,1.0
6,2015-01-12,20.18,20.39,19.98,20.28,1796504,13.8942321219,14.0388202659,13.7565291277,13.9630836191,1796504,0.0,1.0
7,2015-01-13,20.26,20.64,20.0,20.42,3308716,13.9493133196,14.2109490088,13.7702994271,14.0594757151,3308716,0.0,1.0
8,2015-01-14,20.08,20.13,19.79,19.98,2567278,13.8253806248,13.8598063734,13.6257112831,13.7565291277,2567278,0.0,1.0
9,2015-01-15,19.66,20.2,19.52,20.12,4896128,13.5362043368,13.9080024214,13.4398122408,13.8529212237,4896128,0.0,1.0
10,2015-01-16,19.77,19.8001,19.58,19.62,4188033,13.6119409837,13.6326652843,13.4811231391,13.508663738,4188033,0.0,1.0
11,2015-01-20,19.79,19.84,19.5,19.75,3208614,13.6257112831,13.6601370317,13.4260419414,13.5981706843,3208614,0.0,1.0
12,2015-01-21,20.23,20.26,19.63,19.69,3255656,13.9286578705,13.9493133196,13.5155488877,13.556859786,3255656,0.0,1.0
13,2015-01-22,20.86,20.91,20.23,20.41,4350441,14.3624223025,14.396848051,13.9286578705,14.0525905654,4350441,0.0,1.0
14,2015-01-23,20.59,20.94,20.495,20.87,2478303,14.1765232602,14.4175035002,14.1111143379,14.3693074522,2478303,0.0,1.0
15,2015-01-26,20.75,20.84,20.44,20.52,2179857,14.2866856556,14.348652003,14.0732460145,14.1283272122,2179857,0.0,1.0
16,2015-01-27,20.36,20.68,20.25,20.42,3407934,14.0181648168,14.2384896076,13.9424281699,14.0594757151,3407934,0.0,1.0
17,2015-01-28,19.75,20.5,19.74,20.5,4485391,13.5981706843,14.1145569128,13.5912855345,14.1145569128,4485391,0.0,1.0
