,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,21.62,22.0,21.35,21.86,2018532,19.7186603256,20.0652417745,19.4724050857,19.9375538723,2018532,0.0,1.0
1,2015-01-05,21.27,21.43,21.16,21.4,2549487,19.3994405701,19.5453696012,19.2991143613,19.5180079079,2549487,0.0,1.0
2,2015-01-06,21.02,21.305,20.735,21.3,3905474,19.1714264591,19.4313625457,18.9114903724,19.4268022635,3905474,0.0,1.0
3,2015-01-07,21.42,21.42,21.01,21.17,2016652,19.5362490368,19.5362490368,19.1623058946,19.3082349257,2016652,0.0,1.0
4,2015-01-08,21.98,22.0,21.6,21.66,3499465,20.0470006456,20.0652417745,19.7004191968,19.7551425834,3499465,0.0,1.0
5,2015-01-09,21.75,21.96,21.66,21.96,1939768,19.8372276634,20.0287595167,19.7551425834,20.0287595167,1939768,0.0,1.0
6,2015-01-12,21.48,21.75,21.27,21.7,1848067,19.5909724234,19.8372276634,19.3994405701,19.7916248412,1848067,0.0,1.0
7,2015-01-13,21.38,21.91,21.115,21.67,1815238,19.499766779,19.9831566945,19.2580718213,19.7642631479,1815238,0.0,1.0
8,2015-01-14,21.13,21.27,20.74,21.1,2661348,19.2717526679,19.3994405701,18.9160506547,19.2443909746,2661348,0.0,1.0
9,2015-01-15,20.62,21.28,20.585,21.21,1994392,18.8066038813,19.4085611346,18.7746819058,19.3447171835,1994392,0.0,1.0
10,2015-01-16,21.07,21.08,20.53,20.6,1780533,19.2170292813,19.2261498457,18.7245188014,18.7883627525,1780533,0.0,1.0
11,2015-01-20,20.64,21.08,20.45,21.08,1925655,18.8248450102,19.2261498457,18.6515542858,19.2261498457,1925655,0.0,1.0
12,2015-01-21,20.59,20.76,20.33,20.54,1880029,18.779242188,18.9342917835,18.5421075125,18.7336393658,1880029,0.0,1.0
13,2015-01-22,20.88,20.89,20.28,20.58,2206673,19.0437385569,19.0528591213,18.4965046903,18.7701216236,2206673,0.0,1.0
14,2015-01-23,20.79,21.1,20.74,20.88,1714483,18.9616534769,19.2443909746,18.9160506547,19.0437385569,1714483,0.0,1.0
15,2015-01-26,20.9,20.97,20.52,20.73,1494045,19.0619796857,19.1258236368,18.7153982369,18.9069300902,1494045,0.0,1.0
16,2015-01-27,20.47,20.72,20.24,20.53,2382426,18.6697954147,18.8978095258,18.4600224325,18.7245188014,2382426,0.0,1.0
17,2015-01-28,20.31,20.78,20.26,20.73,1484349,18.5238663836,18.9525329124,18.4782635614,18.9069300902,1484349,0.0,1.0
18,2015-01-29,20.95,21.02,20.3,20.41,2945003,19.107582508,19.1714264591,18.5147458192,18.615072028,2945003,0.0,1.0
19,2015-01-30,20.61,20.89,20.48,20.78,1553030,18.7974833169,19.0528591213,18.6789159791,18.9525329124,1553030,0.0,1.0
20,2015-02-02,20.67,20.81,20.37,20.72,1936017,18.8522067036,18.9798946058,18.5785897703,18.8978095258,1936017,0.0,1.0
21,2015-02-03,21.16,21.17,20.7,20.76,1770769,19.2991143613,19.3082349257,18.8795683969,18.9342917835,1770769,0.0,1.0
22,2015-02-04,20.98,21.2,20.95,21.02,1340434,19.1349442013,19.335596619,19.107582508,19.1714264591,1340434,0.0,1.0
23,2015-02-05,21.25,21.29,20.94,21.04,1100227,19.3811994413,19.417681699,19.0984619435,19.1896675879,1100227,0.0,1.0
24,2015-02-06,21.24,21.42,21.14,21.25,1078754,19.3720788768,19.5362490368,19.2808732324,19.3811994413,1078754,0.0,1.0
25,2015-02-09,21.29,21.4,20.9,21.05,1082979,19.417681699,19.5180079079,19.0619796857,19.1987881524,1082979,0.0,1.0
26,2015-02-10,21.56,21.58,21.28,21.5,1146377,19.663936939,19.6821780679,19.4085611346,19.6092135523,1146377,0.0,1.0
27,2015-02-11,21.68,21.835,21.4,21.53,1784553,19.8463482278,19.9882386326,19.5900300773,19.7090349329,1784553,0.08,1.0
28,2015-02-12,22.0,22.03,21.7,21.8,1643379,20.139283257,20.166745916,19.8646566672,19.9561988638,1643379,0.0,1.0
29,2015-02-13,22.27,22.28,21.905,22.02,1870006,20.3864471879,20.3956014076,20.0523181702,20.1575916964,1870006,0.0,1.0
30,2015-02-17,22.23,22.38,22.07,22.22,1711826,20.3498303093,20.4871436042,20.2033627947,20.3406760896,1711826,0.0,1.0
31,2015-02-18,22.28,22.44,22.09,22.15,1505171,20.3956014076,20.5420689222,20.221671234,20.276596552,1505171,0.0,1.0
32,2015-02-19,22.22,22.34,22.08,22.18,1027296,20.3406760896,20.4505267256,20.2125170143,20.304059211,1027296,0.0,1.0
33,2015-02-20,22.39,22.41,22.03,22.18,844719,20.4962978239,20.5146062632,20.166745916,20.304059211,844719,0.0,1.0
34,2015-02-23,22.31,22.31,21.99,22.29,1241920,20.4230640666,20.4230640666,20.1301290374,20.4047556272,1241920,0.0,1.0
35,2015-02-24,22.59,22.62,22.22,22.29,1016181,20.6793822171,20.7068448761,20.3406760896,20.4047556272,1016181,0.0,1.0
36,2015-02-25,22.21,22.58,22.17,22.5,1120300,20.3315218699,20.6702279974,20.2949049913,20.5969942401,1120300,0.0,1.0
37,2015-02-26,22.12,22.3,22.0,22.21,989023,20.249133893,20.4139098469,20.139283257,20.3315218699,989023,0.0,1.0
38,2015-02-27,21.97,22.12,21.89,22.1,1381817,20.111820598,20.249133893,20.0385868407,20.2308254537,1381817,0.0,1.0
39,2015-03-02,22.3,22.43,21.94,21.95,1901753,20.4139098469,20.5329147025,20.0843579391,20.0935121587,1901753,0.0,1.0
40,2015-03-03,22.0,22.37,21.97,22.26,1214656,20.139283257,20.4779893845,20.111820598,20.3772929683,1214656,0.0,1.0
41,2015-03-04,22.09,22.09,21.7,21.84,1284245,20.221671234,20.221671234,19.8646566672,19.9928157424,1284245,0.0,1.0
42,2015-03-05,21.9,22.12,21.8,22.1,960792,20.0477410604,20.249133893,19.9561988638,20.2308254537,960792,0.0,1.0
43,2015-03-06,21.74,21.8904,21.535,21.75,1162225,19.9012735458,20.0389530095,19.7136120427,19.9104277655,1162225,0.0,1.0
44,2015-03-09,21.77,21.89,21.65,21.78,824089,19.9287362048,20.0385868407,19.8188855689,19.9378904245,824089,0.0,1.0
45,2015-03-10,21.28,21.61,21.28,21.5,963381,19.4801794413,19.7822686902,19.4801794413,19.6815722739,963381,0.0,1.0
46,2015-03-11,21.49,21.52,21.12,21.32,1225321,19.6724180543,19.6998807132,19.3337119268,19.51679632,1225321,0.0,1.0
47,2015-03-12,21.69,21.764,21.51,21.53,890276,19.8555024475,19.923243673,19.6907264936,19.7090349329,890276,0.0,1.0
48,2015-03-13,21.73,21.79,21.39,21.7,1092387,19.8921193262,19.9470446441,19.5808758576,19.8646566672,1092387,0.0,1.0
49,2015-03-16,22.22,22.28,21.99,22.23,1735614,20.3406760896,20.3956014076,20.1301290374,20.3498303093,1735614,0.0,1.0
50,2015-03-17,22.64,22.69,22.02,22.09,2702619,20.7251533154,20.7709244137,20.1575916964,20.221671234,2702619,0.0,1.0
51,2015-03-18,22.65,22.76,22.28,22.55,2986906,20.7343075351,20.8350039514,20.3956014076,20.6427653385,2986906,0.0,1.0
52,2015-03-19,23.35,23.47,21.65,22.15,7565667,21.3751029114,21.4849535474,19.8188855689,20.276596552,7565667,0.0,1.0
53,2015-03-20,23.65,23.7,23.253,23.43,2729714,21.6497295013,21.6955005996,21.2863069807,21.4483366687,2729714,0.0,1.0
54,2015-03-23,23.4,23.78,23.32,23.59,2020086,21.4208740098,21.7687343569,21.3476402525,21.5948041833,2020086,0.0,1.0
55,2015-03-24,23.56,23.69,23.33,23.48,1851893,21.5673415244,21.68634638,21.3567944721,21.4941077671,1851893,0.0,1.0
56,2015-03-25,22.77,23.68,22.75,23.62,1751793,20.844158171,21.6771921603,20.8258497317,21.6222668423,1751793,0.0,1.0
57,2015-03-26,22.87,23.0,22.4,22.64,2429695,20.9357003677,21.0547052233,20.5054520435,20.7251533154,2429695,0.0,1.0
58,2015-03-27,22.9,23.1,22.76,22.96,1796616,20.9631630266,21.1462474199,20.8350039514,21.0180883446,1796616,0.0,1.0
59,2015-03-30,23.49,23.53,23.01,23.06,1595638,21.5032619867,21.5398788654,21.0638594429,21.1096305412,1595638,0.0,1.0
60,2015-03-31,23.38,23.49,23.24,23.39,1338536,21.4025655704,21.5032619867,21.2744064952,21.4117197901,1338536,0.0,1.0
61,2015-04-01,23.15,23.31,22.96,23.18,1282706,21.1920185182,21.3384860328,21.0180883446,21.2194811772,1282706,0.0,1.0
62,2015-04-02,23.14,23.419,23.09,23.16,1194563,21.1828642985,21.4382670271,21.1370932002,21.2011727379,1194563,0.0,1.0
63,2015-04-06,23.29,23.36,22.91,22.96,1775223,21.3201775935,21.3842571311,20.9723172463,21.0180883446,1775223,0.0,1.0
64,2015-04-07,23.25,23.49,23.23,23.25,1028651,21.2835607148,21.5032619867,21.2652522755,21.2835607148,1028651,0.0,1.0
65,2015-04-08,23.93,23.94,23.42,23.56,2793256,21.9060476519,21.9152018715,21.4391824491,21.5673415244,2793256,0.0,1.0
66,2015-04-09,23.89,24.0,23.84,23.93,1741295,21.8694307732,21.9701271895,21.8236596749,21.9060476519,1741295,0.0,1.0
67,2015-04-10,23.91,23.96,23.8,23.9,1349237,21.8877392125,21.9335103108,21.7870427962,21.8785849929,1349237,0.0,1.0
