,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,62.49,62.96,62.07,62.62,12598291,47.4614890676,47.8184565802,47.1424968223,47.5602247626,12598291,0.4,1.0
1,2015-01-05,60.55,62.28,60.23,62.06,20100577,45.9880486965,47.301992945,45.7450069858,47.1349017689,20100577,0.0,1.0
2,2015-01-06,58.98,60.75,58.35,60.64,29073611,44.7956253034,46.1399497657,44.3171369354,46.0564041776,29073611,0.0,1.0
3,2015-01-07,59.07,59.89,58.665,59.89,23843244,44.8639807845,45.4867751682,44.5563811194,45.4867751682,23843244,0.0,1.0
4,2015-01-08,60.39,60.9,59.97,59.97,16955620,45.8665278411,46.2538755676,45.5475355959,45.5475355959,16955620,0.0,1.0
5,2015-01-09,59.34,60.79,59.29,60.72,15205980,45.0690472279,46.1703299795,45.0310719606,46.1171646053,15205980,0.0,1.0
6,2015-01-12,58.83,59.4,58.27,59.28,15452634,44.6816995015,45.1146175487,44.2563765078,45.0234769072,15452634,0.0,1.0
7,2015-01-13,58.84,59.7,58.37,59.26,21696869,44.6892945549,45.3424691525,44.3323270424,45.0082868002,21696869,0.0,1.0
8,2015-01-14,56.81,57.0,55.27,56.91,49597742,43.1474987027,43.2918047184,41.97786047,43.2234492373,49597742,0.0,1.0
9,2015-01-15,54.99,56.61,54.5,55.73,42455327,41.7651989731,42.9955976335,41.3930413536,42.3272329291,42455327,0.0,1.0
10,2015-01-16,55.93,56.0,54.64,54.66,29368910,42.4791339983,42.5322993725,41.499372102,41.5145622089,29368910,0.0,1.0
11,2015-01-20,55.71,56.39,55.4232,56.04,23360205,42.3120428222,42.8285064574,42.0942166889,42.5626795863,23360205,0.0,1.0
12,2015-01-21,55.89,56.42,55.19,55.45,21764851,42.4487537844,42.8512916178,41.9171000423,42.1145714322,21764851,0.0,1.0
13,2015-01-22,57.59,57.73,55.955,56.38,31422990,43.7399128725,43.846243621,42.4981216319,42.8209114039,31422990,0.0,1.0
14,2015-01-23,56.68,57.87,56.66,57.72,15456314,43.0487630077,43.9525743694,43.0335729008,43.8386485675,15456314,0.0,1.0
15,2015-01-26,56.77,56.99,56.2,56.41,12573358,43.1171184889,43.284209665,42.6842004417,42.8436965643,12573358,0.0,1.0
16,2015-01-27,56.2,56.61,55.755,56.05,15220526,42.6842004417,42.9955976335,42.3462205627,42.5702746398,15220526,0.0,1.0
17,2015-01-28,54.75,56.68,54.75,56.62,24349981,41.5829176901,43.0487630077,41.5829176901,43.003192687,24349981,0.0,1.0
18,2015-01-29,55.67,55.89,54.68,55.27,20389754,42.2816626083,42.4487537844,41.5297523158,41.97786047,20389754,0.0,1.0
19,2015-01-30,54.38,55.495,54.37,54.99,26942183,41.3019007121,42.1487491728,41.2943056586,41.7651989731,26942183,0.0,1.0
20,2015-02-02,55.47,55.65,54.27,54.53,20306297,42.1297615391,42.2664725014,41.218355124,41.415826514,20306297,0.0,1.0
