,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,42.81,42.87,42.27,42.44,8662289,25.3011725585,25.3366332068,24.9820267238,25.0824985607,8662289,0.0,1.0
1,2015-01-05,41.65,42.69,41.42,42.32,15811108,24.6156000248,25.2302512619,24.4796675397,25.0115772641,15811108,0.0,1.0
2,2015-01-06,40.83,41.55,40.22,41.25,20022186,24.1309711648,24.5564989443,23.7704545738,24.3791957028,20022186,0.0,1.0
3,2015-01-07,41.37,41.65,40.97,41.08,12044789,24.4501169994,24.6156000248,24.2137126774,24.278723866,12044789,0.0,1.0
4,2015-01-08,42.34,42.6,41.47,41.54,15449343,25.0233974802,25.1770602895,24.5092180799,24.5505888362,15449343,0.0,1.0
5,2015-01-09,41.81,42.5,41.53,42.41,10211911,24.7101617536,25.117959209,24.5446787282,25.0647682365,10211911,0.0,1.0
6,2015-01-12,41.61,42.0,41.15,41.6,12522465,24.5919595926,24.8224538065,24.3200946223,24.5860494845,12522465,0.0,1.0
7,2015-01-13,40.89,41.9243,40.57,41.61,14166540,24.1664318131,24.7777142886,23.9773083555,24.5919595926,14166540,0.0,1.0
8,2015-01-14,41.22,41.28,40.2174,40.43,13329471,24.3614653787,24.396926027,23.7689179457,23.8945668428,13329471,0.0,1.0
9,2015-01-15,40.77,41.71,40.6,41.59,10391791,24.0955105165,24.6510606731,23.9950386796,24.5801393765,10391791,0.0,1.0
10,2015-01-16,41.53,41.58,40.72,40.86,8760796,24.5446787282,24.5742292684,24.0659599762,24.1487014889,8760796,0.0,1.0
11,2015-01-20,41.82,41.91,41.25,41.79,8765894,24.7160718616,24.7692628341,24.3791957028,24.6983415375,8765894,0.0,1.0
12,2015-01-21,42.0,42.18,41.82,41.95,10653602,24.8224538065,24.9288357514,24.7160718616,24.7929032663,10653602,0.0,1.0
13,2015-01-22,42.08,42.93,41.71,42.38,16915090,24.8697346709,25.3720938551,24.6510606731,25.0470379124,16915090,0.0,1.0
14,2015-01-23,42.27,42.54,41.97,42.5,11256224,24.9820267238,25.1415996412,24.8047234824,25.117959209,11256224,0.0,1.0
15,2015-01-26,42.27,42.65,42.01,42.59,9304698,24.9820267238,25.2066108297,24.8283639146,25.1711501814,9304698,0.0,1.0
16,2015-01-27,42.43,42.5,42.15,42.17,9409799,25.0765884526,25.117959209,24.9111054272,24.9229256433,9409799,0.0,1.0
17,2015-01-28,41.36,42.5,41.21,42.47,14269156,24.4442068914,25.117959209,24.3555552706,25.1002288848,14269156,0.0,1.0
18,2015-01-29,40.71,41.03,39.95,41.01,14249676,24.3260047304,24.5172187199,23.8718715052,24.5052678456,14249676,0.45,1.0
19,2015-01-30,41.05,41.52,40.2,40.32,14652662,24.5291695943,24.8100151414,24.0212574346,24.0929626806,14652662,0.0,1.0
20,2015-02-02,41.62,41.69,40.3409,41.36,13584444,24.8697695131,24.9115975733,24.1054513443,24.7144081466,13584444,0.0,1.0
21,2015-02-03,41.48,41.97,41.17,41.91,15759897,24.7861133927,25.0789098141,24.6008748403,25.0430571911,15759897,0.0,1.0
22,2015-02-04,40.8,41.33,40.7,41.26,12784393,24.3797836649,24.6964818351,24.3200292932,24.6546537749,12784393,0.0,1.0
23,2015-02-05,41.49,41.59,41.08,41.3,9426325,24.7920888299,24.8518432016,24.5470959058,24.6785555236,9426325,0.0,1.0
24,2015-02-06,41.41,41.74,41.285,41.65,8198985,24.7442853325,24.9414747592,24.6695923678,24.8876958246,8198985,0.0,1.0
25,2015-02-09,41.2,41.6,40.985,41.43,8191661,24.6188011518,24.8578186388,24.4903292526,24.7562362068,8191661,0.0,1.0
26,2015-02-10,41.55,41.58,41.0,41.3,7945548,24.8279414529,24.8458677644,24.4992924084,24.6785555236,7945548,0.0,1.0
27,2015-02-11,41.21,41.65,41.0,41.38,8115049,24.624776589,24.8876958246,24.4992924084,24.726359021,8115049,0.0,1.0
28,2015-02-12,41.76,41.82,41.335,41.56,8276879,24.9534256335,24.9892782566,24.6994695537,24.8339168901,8276879,0.0,1.0
29,2015-02-13,41.97,41.99,41.7,41.92,8533143,25.0789098141,25.0908606885,24.9175730105,25.0490326283,8533143,0.0,1.0
30,2015-02-17,42.1,42.25,41.76,41.98,9040631,25.1565904974,25.246222055,24.9534256335,25.0848852513,9040631,0.0,1.0
31,2015-02-18,42.18,42.22,41.8,41.84,7872355,25.2043939948,25.2282957435,24.9773273822,25.0012291309,7872355,0.0,1.0
32,2015-02-19,42.01,42.13,41.77,41.77,7892556,25.1028115628,25.1745168089,24.9594010707,24.9594010707,7892556,0.0,1.0
33,2015-02-20,41.87,42.025,41.58,41.88,9709644,25.0191554424,25.1117747186,24.8458677644,25.0251308796,9709644,0.0,1.0
34,2015-02-23,42.03,42.03,41.62,41.72,7653290,25.1147624372,25.1147624372,24.8697695131,24.9295238848,7653290,0.0,1.0
35,2015-02-24,42.17,42.33,41.86,42.03,7879355,25.1984185576,25.2940255524,25.0131800052,25.1147624372,7879355,0.0,1.0
