,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,63.53,64.7,63.23,64.11,3871344,26.0810662666,26.5613881229,25.9579068163,26.3191745373,7742688,0.0,1.0
1,2015-01-05,63.08,63.62,62.87,63.43,3439115,25.8963270911,26.1180141017,25.8101154759,26.0400131165,6878230,0.0,1.0
2,2015-01-06,63.08,63.42,62.38,63.28,5336204,25.8963270911,26.0359078015,25.6089550403,25.9784333913,10672408,0.0,1.0
3,2015-01-07,64.99,65.04,63.2,63.56,5206776,26.6804422583,26.7009688333,25.9455908712,26.0933822116,10413552,0.0,1.0
4,2015-01-08,66.2,66.24,65.26,65.35,5708983,27.1771853746,27.1936066347,26.7912857636,26.8282335987,11417966,0.0,1.0
5,2015-01-09,65.84,66.25,65.599,66.18,3568300,27.0293940342,27.1977119497,26.9304559424,27.1689747446,7136600,0.0,1.0
6,2015-01-12,66.0,66.34,65.3,65.89,5706612,27.0950790744,27.2346597848,26.8077070236,27.0499206093,11413224,0.0,1.0
7,2015-01-13,66.0,66.69,65.46,66.29,3298836,27.0950790744,27.3783458102,26.8733920638,27.2141332097,6597672,0.0,1.0
8,2015-01-14,65.75,65.95,65.37,65.67,3568503,26.9924461991,27.0745524993,26.8364442287,26.959603679,7137006,0.0,1.0
9,2015-01-15,66.61,66.895,65.81,66.16,4691145,27.3455032901,27.4625047679,27.0170780892,27.1607641146,9382290,0.0,1.0
10,2015-01-16,66.74,66.98,66.39,66.54,5119467,27.3988723852,27.4973999455,27.2551863598,27.316766085,10238934,0.0,1.0
11,2015-01-20,66.4,67.34,66.22,67.23,6416047,27.2592916748,27.6451912859,27.1853960046,27.6000328208,12832094,0.0,1.0
12,2015-01-21,67.0,67.0199,66.26,66.43,3125667,27.5056105755,27.5137801524,27.2018172647,27.2716076199,6251334,0.0,1.0
13,2015-01-22,67.7,67.71,66.75,67.13,3039978,27.7929826263,27.7970879413,27.4029777002,27.5589796707,6079956,0.0,1.0
14,2015-01-23,67.96,68.51,67.76,67.77,1950532,27.8997208166,28.1255131422,27.8176145164,27.8217198314,3901064,0.0,1.0
15,2015-01-26,68.92,68.95,67.9102,67.94,3446774,28.2938310577,28.3061470027,27.8792763478,27.8915101866,6893548,0.0,1.0
16,2015-01-27,69.34,69.565,68.355,68.42,3444795,28.4662542882,28.5586238759,28.0618807595,28.0885653071,6889590,0.0,1.0
17,2015-01-28,68.88,70.06,68.65,69.76,5124608,28.2774097976,28.761836969,28.1829875524,28.6386775186,10249216,0.0,1.0
18,2015-01-29,69.34,69.35,68.4199,68.74,3858571,28.4662542882,28.4703596032,28.088524254,28.2199353875,7717142,0.0,1.0
19,2015-01-30,69.05,69.52,68.87,68.88,7115343,28.3472001528,28.5401499584,28.2733044826,28.2774097976,14230686,0.0,1.0
20,2015-02-02,69.68,69.74,68.33,69.01,4598708,28.6058349985,28.6304668886,28.051617472,28.3307788928,9197416,0.0,1.0
21,2015-02-03,70.5,70.745,69.71,69.96,5398207,28.9424708295,29.0430510472,28.6181509436,28.7207838189,10796414,0.0,1.0
22,2015-02-04,71.35,71.61,70.42,70.55,5796165,29.2914226054,29.3981607957,28.9096283094,28.9629974045,11592330,0.0,1.0
23,2015-02-05,71.55,71.65,71.35,71.55,3446221,29.3735289056,29.4145820558,29.2914226054,29.3735289056,6892442,0.0,1.0
24,2015-02-06,71.71,71.91,71.29,71.65,3752600,29.4392139458,29.521320246,29.2667907154,29.4145820558,7505200,0.0,1.0
25,2015-02-09,70.85,71.72,70.5,71.55,5217520,29.0861568549,29.4433192608,28.9424708295,29.3735289056,10435040,0.0,1.0
26,2015-02-10,71.69,71.73,70.84,71.26,3267417,29.4310033158,29.4474245758,29.0820515398,29.2544747703,6534834,0.0,1.0
27,2015-02-11,71.71,71.8,71.28,71.64,3266162,29.5151622735,29.552205428,29.3381783134,29.4863509312,6532324,0.185,1.0
28,2015-02-12,72.45,72.47,71.73,71.98,2798713,29.8197393211,29.8279711332,29.5233940856,29.6262917368,5597426,0.0,1.0
