,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2023-05-04,26.9,26.98,25.25,25.53,77004186,25.1503591682,25.2251557754,23.6076791449,23.8694672701,77004186,0.0,1.0
1,2023-05-05,26.5,27.03,26.21,26.66,11291975,24.7763761323,25.2719036549,24.5052384312,24.9259693467,11291975,0.0,1.0
2,2023-05-08,26.51,26.85,25.91,26.33,6308269,24.7857257082,25.1036112888,24.2247511542,24.617433342,6308269,0.0,1.0
3,2023-05-09,26.28,26.84,26.07,26.51,4684394,24.5706854625,25.0942617129,24.3743443686,24.7857257082,4684394,0.0,1.0
4,2023-05-10,26.25,26.77,26.01,26.28,9602428,24.5426367348,25.0288146816,24.3182469132,24.5706854625,9602428,0.0,1.0
5,2023-05-11,26.0,26.33,26.0,26.03,5687334,24.3088973373,24.617433342,24.3088973373,24.336946065,5687334,0.0,1.0
6,2023-05-12,26.5,26.62,25.9,26.02,5433845,24.7763761323,24.8885710431,24.2154015783,24.3275964891,5433845,0.0,1.0
7,2023-05-15,27.5,27.795,26.5,26.5,7083230,25.7113337222,25.9871462112,24.7763761323,24.7763761323,7083230,0.0,1.0
8,2023-05-16,27.03,27.77,26.99,27.54,3820087,25.2719036549,25.9637722715,25.2345053513,25.7487320258,3820087,0.0,1.0
9,2023-05-17,27.22,27.7,26.6,27.3,3392263,25.449545597,25.8983252402,24.8698718913,25.5243422042,3392263,0.0,1.0
10,2023-05-18,27.04,27.35,26.7,27.22,2648060,25.2812532308,25.5710900837,24.9633676503,25.449545597,2648060,0.0,1.0
11,2023-05-19,27.23,27.2586,26.69,27.04,1794414,25.4588951729,25.48563496,24.9540180744,25.2812532308,1794414,0.0,1.0
12,2023-05-22,26.07,27.43,25.96,27.33,7509571,24.3743443686,25.6458866909,24.2714990337,25.5523909319,7509571,0.0,1.0
13,2023-05-23,26.0,26.2599,25.81,26.01,2485156,24.3088973373,24.551892815,24.1312553953,24.3182469132,2485156,0.0,1.0
14,2023-05-24,26.45,26.55,25.86,26.01,1953645,24.7296282528,24.8231240118,24.1780032748,24.3182469132,1953645,0.0,1.0
15,2023-05-25,26.33,26.64,25.9,26.5,2139387,24.617433342,24.9072701949,24.2154015783,24.7763761323,2139387,0.0,1.0
16,2023-05-26,26.3,26.43,26.2,26.43,844146,24.5893846143,24.710929101,24.4958888553,24.710929101,844146,0.0,1.0
17,2023-05-30,25.73,26.5,25.13,26.28,6340180,24.0564587881,24.7763761323,23.4954842341,24.5706854625,6340180,0.0,1.0
18,2023-05-31,25.09,25.62,24.99,25.62,6347431,23.4580859305,23.9536134532,23.3645901715,23.9536134532,6347431,0.0,1.0
19,2023-06-01,25.28,25.64,24.75,25.3,6072717,23.6357278726,23.972312605,23.14020035,23.6544270244,6072717,0.0,1.0
20,2023-06-02,25.55,25.7,24.97,25.26,2329438,23.8881664219,24.0284100604,23.3458910197,23.6170287208,2329438,0.0,1.0
21,2023-06-05,25.15,25.77,24.83,25.58,4737310,23.5141833859,24.0938570917,23.2149969572,23.9162151496,4737310,0.0,1.0
22,2023-06-06,25.17,25.39,24.9,25.0,1315152,23.5328825377,23.7385732075,23.2804439885,23.3739397474,1315152,0.0,1.0
23,2023-06-07,25.08,25.255,24.91,25.1,1626684,23.4487363546,23.6123539329,23.2897935643,23.4674355064,1626684,0.0,1.0
24,2023-06-08,25.11,25.16,24.81,24.99,2712896,23.4767850823,23.5235329618,23.1962978054,23.3645901715,2712896,0.0,1.0
25,2023-06-09,25.1,25.16,24.85,25.05,1874183,23.4674355064,23.5235329618,23.233696109,23.4206876269,1874183,0.0,1.0
26,2023-06-12,25.02,25.2,24.75,25.01,2619908,23.3926388992,23.5609312654,23.14020035,23.3832893233,2619908,0.0,1.0
27,2023-06-13,25.13,25.22,24.96,24.99,2039885,23.4954842341,23.5796304172,23.3365414438,23.3645901715,2039885,0.0,1.0
28,2023-06-14,25.34,25.49,25.12,25.13,2412020,23.691825328,23.8320689665,23.4861346582,23.4954842341,2412020,0.0,1.0
29,2023-06-15,25.75,25.95,25.18,25.4,1442937,24.0751579399,24.2621494578,23.5422321136,23.7479227834,1442937,0.0,1.0
30,2023-06-16,26.25,26.26,25.7,25.85,2333040,24.5426367348,24.5519863107,24.0284100604,24.1686536989,2333040,0.0,1.0
31,2023-06-20,26.06,26.38,25.94,25.95,1487482,24.3649947927,24.6641812215,24.2527998819,24.2621494578,1487482,0.0,1.0
32,2023-06-21,26.2,26.7,25.77,26.19,3606079,24.4958888553,24.9633676503,24.0938570917,24.4865392794,3606079,0.0,1.0
33,2023-06-22,26.55,26.6,26.1985,26.2,1130722,24.8231240118,24.8698718913,24.4944864189,24.4958888553,1130722,0.0,1.0
34,2023-06-23,26.48,26.74,26.27,26.55,2793408,24.7576769805,25.0007659539,24.5613358866,24.8231240118,2793408,0.0,1.0
35,2023-06-26,26.15,26.6,26.02,26.59,2507277,24.4491409758,24.8698718913,24.3275964891,24.8605223154,2507277,0.0,1.0
36,2023-06-27,25.89,26.07,25.19,26.02,2904635,24.2060520024,24.3743443686,23.5515816895,24.3275964891,2904635,0.0,1.0
37,2023-06-28,25.8,26.02,25.67,25.9,1807858,24.1219058194,24.3275964891,24.0003613327,24.2154015783,1807858,0.0,1.0
38,2023-06-29,25.99,26.22,25.71,25.74,1353886,24.2995477614,24.5145880071,24.0377596363,24.065808364,1353886,0.0,1.0
39,2023-06-30,26.42,26.66,25.97,26.04,3936600,24.7015795251,24.9259693467,24.2808486096,24.3462956409,3936600,0.0,1.0
40,2023-07-03,26.04,26.6,25.8,26.31,7558590,24.3462956409,24.8698718913,24.1219058194,24.5987341902,7558590,0.0,1.0
41,2023-07-05,25.7,26.25,25.62,25.91,1990827,24.0284100604,24.5426367348,23.9536134532,24.2247511542,1990827,0.0,1.0
42,2023-07-06,25.62,25.805,25.38,25.55,4856965,23.9536134532,24.1265806073,23.7292236316,23.8881664219,4856965,0.0,1.0
43,2023-07-07,25.22,25.65,25.21,25.62,1793704,23.5796304172,23.9816621809,23.5702808413,23.9536134532,1793704,0.0,1.0
44,2023-07-10,25.25,25.525,25.1,25.31,2121159,23.6076791449,23.8647924821,23.4674355064,23.6637766003,2121159,0.0,1.0
45,2023-07-11,25.08,25.55,25.005,25.48,1942721,23.4487363546,23.8881664219,23.3786145354,23.8227193906,1942721,0.0,1.0
46,2023-07-12,25.25,25.37,24.96,25.27,2320852,23.6076791449,23.7198740557,23.3365414438,23.6263782967,2320852,0.0,1.0
47,2023-07-13,25.4,25.5,24.88,25.42,2477990,23.7479227834,23.8414185424,23.2617448367,23.7666219352,2477990,0.0,1.0
48,2023-07-14,24.94,25.61,24.72,25.53,3830357,23.317842292,23.9442638773,23.1121516223,23.8694672701,3830357,0.0,1.0
49,2023-07-17,24.89,25.06,24.74,24.9,1709357,23.2710944126,23.4300372028,23.1308507741,23.2804439885,1709357,0.0,1.0
50,2023-07-18,24.81,25.03,24.745,24.75,1713515,23.1962978054,23.4019884751,23.135525562,23.14020035,1713515,0.0,1.0
51,2023-07-19,25.0,25.04,24.5,24.88,2870757,23.3739397474,23.411338051,22.9064609525,23.2617448367,2870757,0.0,1.0
52,2023-07-20,24.51,24.6157,22.49,23.95,36675606,22.9158105284,23.0146355456,21.0271961968,22.392234278,36675606,0.0,1.0
53,2023-07-21,24.01,24.88,23.7801,24.65,14587910,22.4483317334,23.2617448367,22.2333849835,23.046704591,14587910,0.0,1.0
54,2023-07-24,24.16,24.41,23.12,23.17,22641618,22.5885753719,22.8223147694,21.6162194784,21.6629673579,22641618,0.0,1.0
55,2023-07-25,25.12,25.12,24.15,24.34,15018140,23.4861346582,23.4861346582,22.579225796,22.7568677381,15018140,0.0,1.0
56,2023-07-26,24.69,25.23,24.285,25.09,10716442,23.0841028946,23.5889799931,22.7054450707,23.4580859305,10716442,0.0,1.0
57,2023-07-27,24.24,25.0,23.96,24.95,11476343,22.6633719791,23.3739397474,22.4015838539,23.3271918679,11476343,0.0,1.0
58,2023-07-28,24.4,24.43,24.05,24.23,13217823,22.8129651935,22.8410139212,22.485730037,22.6540224032,13217823,0.0,1.0
59,2023-07-31,23.68,24.08,23.495,24.01,14634905,22.1397957288,22.5137787647,21.9668285746,22.4483317334,14634905,0.0,1.0
60,2023-08-01,23.65,23.77,23.38,23.51,14687140,22.1117470011,22.2239419119,21.8593084518,21.9808529385,14687140,0.0,1.0
61,2023-08-02,23.9,23.92,23.37,23.55,16233758,22.3454863986,22.3641855504,21.8499588759,22.0182512421,16233758,0.0,1.0
62,2023-08-03,23.99,24.435,23.75,24.03,16110957,22.4296325816,22.8456887091,22.2052427601,22.4670308852,16110957,0.0,1.0
63,2023-08-04,23.53,24.02,23.27,24.02,20999546,21.9995520903,22.4576813093,21.7564631169,22.4576813093,20999546,0.0,1.0
64,2023-08-07,23.54,23.6763,23.32,23.67,15379083,22.0089016662,22.1363363857,21.8032109964,22.1304461529,15379083,0.0,1.0
65,2023-08-08,23.38,23.55,23.21,23.55,20150645,21.8593084518,22.0182512421,21.7003656615,22.0182512421,20150645,0.0,1.0
66,2023-08-09,23.35,23.44,23.06,23.3,40849128,21.8312597241,21.9154059072,21.560122023,21.7845118446,40849128,0.0,1.0
67,2023-08-10,23.37,23.89,23.11,23.75,51365453,21.8499588759,22.3361368227,21.6068699025,22.2052427601,51365453,0.0,1.0
68,2023-08-11,23.72,23.8,23.25,23.3,46063248,22.1771940324,22.2519906396,21.7377639651,21.7845118446,46063248,0.0,1.0
69,2023-08-14,22.94,23.7,22.85,23.6,89481198,21.4479271123,22.1584948806,21.3637809292,22.0649991216,89481198,0.0,1.0
70,2023-08-15,23.26,23.77,22.64,22.92,105996543,21.747113541,22.2239419119,21.1674398353,21.4292279605,105996543,0.0,1.0
71,2023-08-16,22.93,23.55,22.81,23.49,86179183,21.4385775364,22.0182512421,21.3263826256,21.9621537867,86179183,0.0,1.0
72,2023-08-17,22.78,23.29,22.55,23.12,71709344,21.2983338979,21.7751622687,21.0832936522,21.6162194784,71709344,0.0,1.0
73,2023-08-18,22.87,23.0,22.36,22.96,93537450,21.382480081,21.5040245676,20.9056517101,21.466626264,93537450,0.0,1.0
74,2023-08-21,22.9,23.69,22.81,23.17,178017494,21.4105288087,22.1491453047,21.3263826256,21.6629673579,178017494,0.0,1.0
75,2023-08-22,23.74,23.82,23.12,23.24,90558773,22.1958931842,22.2706897914,21.6162194784,21.7284143892,90558773,0.0,1.0
76,2023-08-23,23.62,24.05,23.62,23.85,119406822,22.0836982734,22.485730037,22.0836982734,22.2987385191,119406822,0.0,1.0
77,2023-08-24,23.66,24.1,23.14,23.96,372341273,22.121096577,22.5324779165,21.6349186302,22.4015838539,372341273,0.0,1.0
78,2023-08-25,22.97,23.29,22.82,23.2,86974649,21.6629673579,21.9647588057,21.5215026168,21.879879961,86974649,0.2,1.0
79,2023-08-28,22.97,23.2,22.61,22.92,39394971,21.6629673579,21.879879961,21.3234519792,21.6158124442,39394971,0.0,1.0
80,2023-08-29,22.86,23.125,22.57,22.73,59445836,21.5592265478,21.8091475904,21.2857280483,21.4366237721,59445836,0.0,1.0
81,2023-08-30,23.07,23.14,22.65,22.84,36093979,21.7572771853,21.8232940645,21.3611759102,21.5403645823,36093979,0.0,1.0
82,2023-08-31,23.05,23.33,23.01,23.09,36119737,21.7384152199,22.0024827366,21.7006912889,21.7761391508,36119737,0.0,1.0
83,2023-09-01,22.96,23.33,22.87,23.2,27566397,21.6535363752,22.0024827366,21.5686575305,21.879879961,27566397,0.0,1.0
84,2023-09-05,22.61,22.98,22.59,22.92,28465015,21.3234519792,21.6723983407,21.3045900137,21.6158124442,28465015,0.0,1.0
85,2023-09-06,22.38,22.71,22.3,22.66,24727734,21.1065393762,21.4177618066,21.0310915142,21.3706068929,24727734,0.0,1.0
86,2023-09-07,20.99,22.58,20.96,22.44,102648329,19.7956327751,21.295159031,19.7673398268,21.1631252726,102648329,0.0,1.0
87,2023-09-08,21.3,21.43,20.375,20.86,59636110,20.08799324,20.2105960157,19.2156273364,19.6730299994,59636110,0.0,1.0
88,2023-09-11,22.07,22.18,21.6,22.13,42830617,20.8141789112,20.9179197213,20.3709227223,20.8707648076,42830617,0.0,1.0
89,2023-09-12,21.06,22.12,21.01,22.08,43697182,19.8616496542,20.8613338249,19.8144947405,20.8236098939,43697182,0.0,1.0
90,2023-09-13,21.6,21.91,21.08,21.09,35434531,20.3709227223,20.6632831873,19.8805116197,19.8899426025,35434531,0.0,1.0
91,2023-09-14,21.74,21.83,21.495,21.83,22195675,20.5029564807,20.5878353254,20.2718974035,20.5878353254,22195675,0.0,1.0
92,2023-09-15,21.22,21.87,21.2,21.72,32265181,20.0125453781,20.6255592563,19.9936834126,20.4840945152,32265181,0.0,1.0
93,2023-09-18,21.08,21.35,20.83,21.35,18035266,19.8805116197,20.1351481538,19.6447370512,20.1351481538,18035266,0.0,1.0
94,2023-09-19,21.06,21.1,20.69,20.91,21146004,19.8616496542,19.8993735852,19.5127032928,19.7201849131,21146004,0.0,1.0
95,2023-09-20,20.89,21.4,20.88,21.25,15624589,19.7013229476,20.1823030675,19.6918919649,20.0408383263,15624589,0.0,1.0
96,2023-09-21,20.84,21.26,20.71,20.92,20602784,19.6541680339,20.0502693091,19.5315652583,19.7296158959,20602784,0.0,1.0
97,2023-09-22,20.55,21.025,20.5,20.95,14866415,19.3806695344,19.8286412146,19.3335146207,19.7579088441,14866415,0.0,1.0
98,2023-09-25,20.83,20.85,20.47,20.51,16272155,19.6447370512,19.6635990167,19.3052216725,19.3429456034,16272155,0.0,1.0
99,2023-09-26,20.64,20.85,20.48,20.59,23574250,19.4655483791,19.6635990167,19.3146526552,19.4183934654,23574250,0.0,1.0
100,2023-09-27,20.22,20.8,20.04,20.71,25270473,19.0694471039,19.616444103,18.8996894146,19.5315652583,25270473,0.0,1.0
101,2023-09-28,20.11,20.28,19.95,20.12,32556751,18.9657062938,19.1260330004,18.8148105699,18.9751372765,32556751,0.0,1.0
102,2023-09-29,20.08,20.325,20.02,20.27,27974934,18.9374133455,19.1684724227,18.8808274491,19.1166020176,27974934,0.0,1.0
103,2023-10-02,20.32,20.48,20.135,20.24,25296058,19.1637569313,19.3146526552,18.9892837506,19.0883090694,25296058,0.0,1.0
104,2023-10-03,19.99,20.59,19.91,20.39,24924452,18.8525345009,19.4183934654,18.7770866389,19.2297738105,24924452,0.0,1.0
105,2023-10-04,19.73,19.99,19.55,19.92,19610513,18.6073289496,18.8525345009,18.4375712602,18.7865176217,19610513,0.0,1.0
106,2023-10-05,19.76,19.905,19.58,19.81,18014860,18.6356218978,18.7723711476,18.4658642085,18.6827768115,18014860,0.0,1.0
107,2023-10-06,20.07,20.26,19.39,19.67,25090299,18.9279823628,19.1071710349,18.2866755364,18.5507430531,25090299,0.0,1.0
108,2023-10-09,19.87,20.125,19.67,19.87,16032818,18.739362708,18.9798527679,18.5507430531,18.739362708,16032818,0.0,1.0
109,2023-10-10,19.69,20.08,19.63,19.92,13937911,18.5696050186,18.9374133455,18.5130191222,18.7865176217,13937911,0.0,1.0
110,2023-10-11,19.57,19.88,19.36,19.83,20414732,18.4564332257,18.7487936907,18.2583825881,18.701638777,20414732,0.0,1.0
111,2023-10-12,19.32,19.72,19.235,19.6,14461536,18.2206586572,18.5978979668,18.1404953039,18.4847261739,14461536,0.0,1.0
112,2023-10-13,19.37,19.49,19.25,19.38,16411302,18.2678135709,18.3809853638,18.154641778,18.2772445536,16411302,0.0,1.0
113,2023-10-16,19.54,19.72,19.095,19.37,15271968,18.4281402775,18.5978979668,18.0084615455,18.2678135709,15271968,0.0,1.0
114,2023-10-17,19.78,19.9,19.01,19.29,18750323,18.6544838633,18.7676556562,17.9282981922,18.1923657089,18750323,0.0,1.0
115,2023-10-18,20.06,20.08,19.69,19.79,18294344,18.9185513801,18.9374133455,18.5696050186,18.663914846,18294344,0.0,1.0
116,2023-10-19,19.84,20.209,19.82,20.05,18831507,18.7110697597,19.0590730229,18.6922077943,18.9091203973,18831507,0.0,1.0
117,2023-10-20,19.74,20.03,19.72,19.87,24057652,18.6167599323,18.8902584318,18.5978979668,18.739362708,24057652,0.0,1.0
118,2023-10-23,19.68,19.805,19.425,19.52,19716498,18.5601740359,18.6780613201,18.319683976,18.409278312,19716498,0.0,1.0
119,2023-10-24,19.98,20.0025,19.65,19.68,21650931,18.8431035181,18.8643232293,18.5318810876,18.5601740359,21650931,0.0,1.0
120,2023-10-25,19.73,20.119,19.72,20.0,24711170,18.6073289496,18.9741941782,18.5978979668,18.8619654836,24711170,0.0,1.0
121,2023-10-26,18.69,19.13,18.5,18.85,60514869,17.6265067444,18.0414699851,17.4473180723,17.7774024683,60514869,0.0,1.0
122,2023-10-27,18.21,18.71,18.085,18.605,43215557,17.1738195728,17.6453687099,17.0559322886,17.5463433911,43215557,0.0,1.0
123,2023-10-30,18.64,18.875,17.82,18.34,39398768,17.5793518307,17.8009799252,16.8060112459,17.2964223485,39398768,0.0,1.0
124,2023-10-31,18.6,18.88,18.5,18.81,81622563,17.5416278998,17.8056954165,17.4473180723,17.7396785373,81622563,0.0,1.0
125,2023-11-01,18.88,18.9,18.405,18.58,20218187,17.8056954165,17.824557382,17.3577237363,17.5227659343,20218187,0.0,1.0
126,2023-11-02,19.23,19.245,18.78,19.0,15439040,18.1357798125,18.1499262866,17.7113855891,17.9188672094,15439040,0.0,1.0
127,2023-11-03,19.37,19.71,19.3,19.49,16874271,18.2678135709,18.5884669841,18.2017966917,18.3809853638,16874271,0.0,1.0
128,2023-11-06,19.35,19.54,19.24,19.46,13242046,18.2489516054,18.4281402775,18.1452107952,18.3526924156,13242046,0.0,1.0
129,2023-11-07,19.6,19.61,19.1857,19.22,12172557,18.6733458288,18.682873046,18.2786332177,18.3113115729,12172557,0.2,1.0
