,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,70.06,70.8199,69.72,69.77,3146155,57.814343316,58.4414218128,57.5337712817,57.5750318749,3146155,0.0,1.0
1,2015-01-05,69.37,70.09,69.15,69.73,4845547,57.2449471286,57.839099672,57.0634005182,57.5420234003,4845547,0.0,1.0
2,2015-01-06,69.72,70.91,69.2,69.92,5127426,57.5337712817,58.5157734019,57.1046611115,57.6988136548,5127426,0.0,1.0
3,2015-01-07,69.23,70.529,68.45,70.03,9042973,57.1294174674,58.2013676811,56.4857522121,57.78958696,9042973,0.0,1.0
4,2015-01-08,70.87,71.49,69.66,70.0,7472181,58.4827649273,58.9943962841,57.4842585697,57.7648306041,7472181,0.0,1.0
5,2015-01-09,69.93,70.11,69.01,70.03,8107336,57.7070657735,57.8556039093,56.947870857,57.78958696,8107336,0.0,1.0
6,2015-01-12,69.42,70.61,69.28,70.22,5797635,57.2862077219,58.2682098422,57.1706780607,57.9463772145,5797635,0.0,1.0
7,2015-01-13,69.38,70.8,68.81,70.07,3444341,57.2531992473,58.4250000967,56.7828284838,57.8225954347,3444341,0.0,1.0
8,2015-01-14,69.76,69.88,68.71,68.77,3376087,57.5667797563,57.6658051802,56.7003072972,56.7498200092,3376087,0.0,1.0
9,2015-01-15,69.74,71.27,69.73,70.44,4054993,57.550275519,58.8128496736,57.5420234003,58.127923825,4054993,0.0,1.0
10,2015-01-16,70.68,70.88,69.44,69.59,4263309,58.3259746728,58.491017046,57.3027119592,57.4264937391,4263309,0.0,1.0
11,2015-01-20,72.03,72.0957,70.87,70.87,6158859,59.4400106916,59.4942271112,58.4827649273,58.4827649273,6158859,0.0,1.0
12,2015-01-21,72.24,72.5,71.11,71.62,5092000,59.6133051834,59.8278602685,58.6808157751,59.1016738266,5092000,0.0,1.0
13,2015-01-22,72.46,72.695,71.64,72.69,4582380,59.7948517939,59.9887765823,59.1181780639,59.984650523,4582380,0.0,1.0
14,2015-01-23,72.13,72.86,72.05,72.46,2903225,59.5225318782,60.1249365402,59.4565149289,59.7948517939,2903225,0.0,1.0
15,2015-01-26,72.11,72.17,71.06,71.86,3466643,59.5060276409,59.5555403528,58.6395551818,59.2997246744,3466643,0.0,1.0
16,2015-01-27,71.73,72.14,71.45,71.76,3661642,59.1924471319,59.5307839968,58.9613878094,59.2172034878,3661642,0.0,1.0
17,2015-01-28,70.97,72.38,70.76,72.11,3105224,58.5652861139,59.7288348446,58.3919916221,59.5060276409,3105224,0.0,1.0
18,2015-01-29,72.11,72.16,70.42,70.97,4416650,59.5060276409,59.5472882341,58.1114195877,58.5652861139,4416650,0.0,1.0
19,2015-01-30,72.0,73.47,71.58,73.02,6720105,59.4152543356,60.6283157783,59.068665352,60.2569704387,6720105,0.0,1.0
20,2015-02-02,71.69,72.0,70.23,71.87,6274504,59.1594386572,59.4152543356,57.9546293332,59.3079767931,6274504,0.0,1.0
21,2015-02-03,70.89,71.64,69.85,71.59,6811485,58.4992691646,59.1181780639,57.6410488242,59.0769174707,6811485,0.0,1.0
