,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,67.7,69.33,67.34,69.0,4213195,56.3625228675,57.7195525909,56.0628107813,57.4448165119,4213195,0.0,1.0
1,2015-01-05,66.08,67.38,65.89,67.19,7337721,55.0138184798,56.0961121242,54.855637101,55.9379307454,7337721,0.0,1.0
2,2015-01-06,66.23,66.8,65.36,66.53,5247443,55.1386985157,55.6132426521,54.4143943075,55.3884585875,5247443,0.0,1.0
3,2015-01-07,68.2,68.39,66.84,66.86,4719528,56.7787896538,56.9369710326,55.646543995,55.6631946665,4719528,0.0,1.0
4,2015-01-08,69.64,69.989,68.83,68.94,5541296,57.9776379984,58.2681922152,57.3032858045,57.3948644975,5541296,0.0,1.0
5,2015-01-09,68.33,69.63,68.27,69.55,5634284,56.8870190182,57.9693126627,56.8370670039,57.9027099768,5634284,0.0,1.0
6,2015-01-12,67.85,68.72,67.6437,68.61,4604788,56.4874029034,57.2117071116,56.3156512273,57.1201284186,4604788,0.0,1.0
7,2015-01-13,67.86,69.405,67.35,68.5,6031380,56.4957282391,57.7819926088,56.071136117,57.0285497256,6031380,0.0,1.0
8,2015-01-14,67.39,67.66,66.86,67.15,4810860,56.10443746,56.3292215246,55.6631946665,55.9046294025,4810860,0.0,1.0
9,2015-01-15,66.35,68.21,66.2202,67.64,5288250,55.2386025444,56.7871149895,55.1305396867,56.3125708531,5288250,0.0,1.0
10,2015-01-16,67.99,68.11,65.9,66.0,4817245,56.7954403252,56.8956823143,55.049559015,55.133094006,4817245,0.23,1.0
11,2015-01-20,66.52,68.38,66.25,68.01,5926282,55.5674759587,57.1212267898,55.3419314833,56.8121473234,5926282,0.0,1.0
12,2015-01-21,67.32,67.87,66.75,67.28,5182022,56.2357558861,56.6951983361,55.7596064379,56.2023418897,5182022,0.0,1.0
13,2015-01-22,69.55,69.63,67.4,67.68,7069206,58.0985861836,58.1654141763,56.3025838788,56.5364818534,7069206,0.0,1.0
14,2015-01-23,69.71,70.14,69.13,69.52,4865336,58.232242169,58.59144263,57.7477392217,58.0735256863,4865336,0.0,1.0
15,2015-01-26,70.44,70.5,69.42,69.69,5064043,58.8420476027,58.8921685973,57.9899906954,58.2155351708,5064043,0.0,1.0
16,2015-01-27,69.85,70.01,69.271,69.64,5846646,58.3491911563,58.4828471418,57.8655235589,58.1737676754,5846646,0.0,1.0
17,2015-01-28,69.22,71.11,69.153,70.24,5372141,57.8229207135,59.4017320419,57.7669522696,58.6749776209,5372141,0.0,1.0
18,2015-01-29,69.93,70.24,68.85,69.43,6409355,58.4160191491,58.6749776209,57.5138412471,57.9983441945,6409355,0.0,1.0
19,2015-01-30,67.76,69.6169,67.67,69.47,8963372,56.6033098461,58.1544710925,56.5281283543,58.0317581908,8963372,0.0,1.0
20,2015-02-02,68.41,68.49,66.165,67.58,5694979,57.1462872871,57.2131152798,55.270926741,56.4529468625,5694979,0.0,1.0
21,2015-02-03,69.63,69.66,68.35,69.08,5101402,58.1654141763,58.1904746736,57.0961662925,57.7059717262,5101402,0.0,1.0
22,2015-02-04,70.67,71.32,69.43,69.51,6143380,59.0341780818,59.5771555228,57.9983441945,58.0651721872,6143380,0.0,1.0
23,2015-02-05,71.47,71.5,70.73,70.81,4924508,59.7024580092,59.7275185065,59.0842990764,59.1511270691,4924508,0.0,1.0
24,2015-02-06,71.9,72.25,71.27,71.53,4836284,60.0616584701,60.3540309384,59.5353880274,59.7525790037,4836284,0.0,1.0
25,2015-02-09,70.95,71.83,70.765,71.45,2800884,59.2680760564,60.0031839765,59.1135363232,59.685751011,2800884,0.0,1.0
26,2015-02-10,71.76,71.89,71.04,71.1,4090539,59.9447094829,60.053304971,59.3432575482,59.3933785428,4090539,0.0,1.0
27,2015-02-11,71.43,71.87,71.12,71.59,3049367,59.6690440128,60.0365979729,59.410085541,59.8026999983,3049367,0.0,1.0
28,2015-02-12,72.19,72.24,71.44,71.58,3437045,60.3039099438,60.3456774393,59.6773975119,59.7943464992,3437045,0.0,1.0
29,2015-02-13,72.05,72.33,71.84,72.06,2560275,60.1869609565,60.4208589311,60.0115374756,60.1953144556,2560275,0.0,1.0
30,2015-02-17,72.47,72.5899,71.495,71.79,3690765,60.5378079184,60.6379663725,59.7233417569,59.9697699801,3690765,0.0,1.0
31,2015-02-18,72.52,72.75,72.12,72.23,3765331,60.5795754138,60.7717058929,60.2454354502,60.3373239402,3765331,0.0,1.0
32,2015-02-19,72.29,72.85,72.09,72.54,3022934,60.3874449347,60.8552408839,60.2203749529,60.596282412,3022934,0.0,1.0
