,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,55.34,56.8,54.65,56.01,1648662,55.34,56.8,54.65,56.01,1648662,0.0,1.0
1,2015-01-05,55.96,57.48,55.68,56.34,3152061,55.96,57.48,55.68,56.34,3152061,0.0,1.0
2,2015-01-06,55.57,56.15,54.42,55.84,3406183,55.57,56.15,54.42,55.84,3406183,0.0,1.0
3,2015-01-07,57.65,58.01,56.1601,56.27,5047487,57.65,58.01,56.1601,56.27,5047487,0.0,1.0
4,2015-01-08,59.07,59.6499,58.0,58.25,5225401,59.07,59.6499,58.0,58.25,5225401,0.0,1.0
5,2015-01-09,58.63,59.2215,57.85,58.87,2211071,58.63,59.2215,57.85,58.87,2211071,0.0,1.0
6,2015-01-12,62.59,63.8,61.36,62.4,10326672,62.59,63.8,61.36,62.4,10326672,0.0,1.0
7,2015-01-13,63.06,64.27,62.69,62.7,3620023,63.06,64.27,62.69,62.7,3620023,0.0,1.0
8,2015-01-14,63.4,63.4,61.5,62.32,3441674,63.4,63.4,61.5,62.32,3441674,0.0,1.0
9,2015-01-15,62.51,63.9,62.05,63.47,2428097,62.51,63.9,62.05,63.47,2428097,0.0,1.0
10,2015-01-16,63.0,63.05,61.36,62.25,2405858,63.0,63.05,61.36,62.25,2405858,0.0,1.0
11,2015-01-20,63.0,63.23,62.29,63.0,1698109,63.0,63.23,62.29,63.0,1698109,0.0,1.0
12,2015-01-21,62.86,63.59,62.52,63.0,1685472,62.86,63.59,62.52,63.0,1685472,0.0,1.0
13,2015-01-22,63.76,64.28,62.37,63.03,1996770,63.76,64.28,62.37,63.03,1996770,0.0,1.0
14,2015-01-23,66.2,66.71,65.4,65.77,4607730,66.2,66.71,65.4,65.77,4607730,0.0,1.0
15,2015-01-26,66.76,66.76,65.18,65.94,2095876,66.76,66.76,65.18,65.94,2095876,0.0,1.0
16,2015-01-27,67.48,67.71,65.55,66.13,1901114,67.48,67.71,65.55,66.13,1901114,0.0,1.0
17,2015-01-28,66.16,67.69,66.04,67.55,1664951,66.16,67.69,66.04,67.55,1664951,0.0,1.0
