,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,42.69,43.05,42.2,42.69,6889608,38.2841723008,38.6070184481,37.8447428225,38.2841723008,6889608,0.0,1.0
1,2015-01-05,41.64,42.9,41.45,42.83,7877714,37.3425377045,38.4724992201,37.1721466823,38.4097235803,7877714,0.0,1.0
2,2015-01-06,40.46,42.05,39.67,41.9,10576350,36.2843197772,37.7102235945,35.5758518429,37.5757043664,10576350,0.0,1.0
3,2015-01-07,40.8,41.12,40.38,40.77,7692445,36.5892300275,36.8762043806,36.2125761889,36.5623261819,7692445,0.0,1.0
4,2015-01-08,41.88,42.09,40.95,41.0,7300467,37.5577684694,37.7460953886,36.7237492555,36.7685889982,7300467,0.0,1.0
5,2015-01-09,40.79,42.039,40.64,41.88,7116654,36.5802620789,37.7003588511,36.4457428509,37.5577684694,7116654,0.0,1.0
6,2015-01-12,40.25,40.861,39.721,40.45,7095641,36.095992858,36.6439345135,35.6215883804,36.2753518287,7095641,0.0,1.0
7,2015-01-13,40.48,41.76,39.94,40.62,8366218,36.3022556743,37.4501530869,35.8179864534,36.4278069538,8366218,0.0,1.0
8,2015-01-14,39.44,40.23,38.63,39.72,8540378,35.3695890265,36.0780569609,34.6431851951,35.6206915856,8540378,0.0,1.0
9,2015-01-15,38.9,39.76,38.75,39.22,7479637,34.8853198056,35.6565633797,34.7508005776,35.1722941588,7479637,0.0,1.0
10,2015-01-16,39.48,39.57,38.26,38.68,9110055,35.4054608207,35.4861723575,34.3113710993,34.6880249378,9110055,0.0,1.0
11,2015-01-20,40.79,40.815,39.72,40.24,10061696,36.5802620789,36.6026819503,35.6206915856,36.0870249094,10061696,0.0,1.0
12,2015-01-21,41.83,41.91,40.17,40.45,10336160,37.5129287267,37.584672315,36.0242492697,36.2753518287,10336160,0.0,1.0
13,2015-01-22,45.35,45.7,43.34,43.45,20864948,40.6696466114,40.9835248102,38.8670889556,38.9657363895,20864948,0.0,1.0
14,2015-01-23,45.78,46.0,44.6,45.45,11929531,41.0552683985,41.2525632663,39.9970504712,40.7593260968,11929531,0.0,1.0
15,2015-01-26,46.4,46.41,45.21,45.33,8445226,41.6112812077,41.6202491562,40.5440953319,40.6517107143,8445226,0.0,1.0
16,2015-01-27,45.88,46.41,44.87,45.6,7746981,41.1449478838,41.6202491562,40.2391850817,40.8938453248,7746981,0.0,1.0
17,2015-01-28,45.8,47.08,45.72,46.62,9337552,41.0732042955,42.2211017082,41.0014607072,41.8085760755,9337552,0.0,1.0
18,2015-01-29,46.99,47.1738,45.5,45.95,8232523,42.1403901713,42.3052210654,40.8041658394,41.2077235236,8232523,0.0,1.0
19,2015-01-30,45.18,46.78,45.1,46.34,11994488,40.5171914863,41.9520632521,40.445447898,41.5574735165,11994488,0.0,1.0
20,2015-02-02,44.53,45.02,42.59,44.94,13259423,39.9342748314,40.3737043097,38.1944928154,40.3019607214,13259423,0.0,1.0
21,2015-02-03,43.25,43.94,42.54,43.17,12057274,38.7863774188,39.4051658678,38.1496530727,38.7146338305,12057274,0.0,1.0
