,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,80.07,80.59,79.29,79.94,2868725,40.3661833296,40.6283341393,39.9729571151,40.3006456272,2868725,0.0,1.0
1,2015-01-05,76.04,78.99,75.23,78.79,5461191,38.3345145546,39.8217162634,37.9261642549,39.7208890289,5461191,0.0,1.0
2,2015-01-06,74.43,76.9,74.115,76.44,5074643,37.5228553169,38.7680716629,37.3640524226,38.5361690236,5074643,0.0,1.0
3,2015-01-07,75.21,75.97,74.01,75.14,3457127,37.9160815314,38.2992250225,37.3111181245,37.8807919994,3457127,0.0,1.0
4,2015-01-08,78.22,78.56,75.86,76.05,6055478,39.4335314106,39.6049377092,38.2437700435,38.3395559163,6055478,0.0,1.0
5,2015-01-09,78.98,79.77,77.69,79.46,5076959,39.8166749016,40.2149424779,39.1663392392,40.0586602644,5076959,0.0,1.0
6,2015-01-12,76.15,78.8,75.755,78.36,5468355,38.3899695336,39.7259303906,38.1908357454,39.5041104747,5468355,0.0,1.0
7,2015-01-13,75.3,77.3,74.51,77.3,6477088,37.961453787,38.9697261319,37.5631862107,38.9697261319,6477088,0.0,1.0
8,2015-01-14,74.36,74.82,71.74,74.13,6020475,37.4875657848,37.7194684242,36.166729013,37.3716144652,6020475,0.0,1.0
9,2015-01-15,75.27,76.84,74.325,75.08,5792153,37.9463297018,38.7378234926,37.4699210188,37.850543829,5792153,0.0,1.0
10,2015-01-16,79.84,80.24,75.42,75.42,7351729,40.25023201,40.451886479,38.0219501277,38.0219501277,7351729,0.0,1.0
11,2015-01-20,77.94,79.58,76.203,79.21,4823089,39.2923732823,40.1191566051,38.4166887507,39.9326262213,4823089,0.0,1.0
12,2015-01-21,81.38,81.72,77.4,78.1,5419977,41.0266017156,41.1980080142,39.0201397491,39.3730350699,5419977,0.0,1.0
13,2015-01-22,81.41,82.97,80.41,82.32,5269282,41.0417258007,41.8281782298,40.5375896283,41.5004897177,5269282,0.0,1.0
14,2015-01-23,80.8,81.73,80.36,80.94,4169213,40.7342027355,41.2030493759,40.5123828196,40.8047817997,4169213,0.0,1.0
15,2015-01-26,79.27,80.36,78.875,80.17,5172910,39.9628743917,40.5123828196,39.7637406035,40.4165969469,5172910,0.0,1.0
16,2015-01-27,78.67,79.8,76.99,78.05,5096536,39.6603926882,40.2300665631,38.8134439184,39.3478282612,5096536,0.0,1.0
17,2015-01-28,76.46,79.21,76.12,79.21,4814047,38.546251747,39.9326262213,38.3748454484,39.9326262213,4814047,0.0,1.0
