,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,154.57,156.95,151.215,156.66,988225,154.57,156.95,151.215,156.66,988225,0.0,1.0
1,2015-01-05,154.11,154.675,152.4206,153.5,709965,154.11,154.675,152.4206,153.5,709965,0.0,1.0
2,2015-01-06,152.74,155.31,151.15,154.58,605748,152.74,155.31,151.15,154.58,605748,0.0,1.0
3,2015-01-07,154.05,155.33,153.52,154.22,478726,154.05,155.33,153.52,154.22,478726,0.0,1.0
4,2015-01-08,155.99,156.67,155.24,155.4,839854,155.99,156.67,155.24,155.4,839854,0.0,1.0
5,2015-01-09,158.35,159.95,155.73,156.5,1145001,158.35,159.95,155.73,156.5,1145001,0.0,1.0
6,2015-01-12,157.76,158.97,155.805,158.7,445541,157.76,158.97,155.805,158.7,445541,0.0,1.0
7,2015-01-13,160.11,164.11,156.06,159.82,1824493,160.11,164.11,156.06,159.82,1824493,0.0,1.0
8,2015-01-14,167.05,167.64,162.09,163.26,2991764,167.05,167.64,162.09,163.26,2991764,0.0,1.0
9,2015-01-15,162.66,170.06,161.48,167.75,1946361,162.66,170.06,161.48,167.75,1946361,0.0,1.0
10,2015-01-16,168.45,168.56,161.16,162.18,981568,168.45,168.56,161.16,162.18,981568,0.0,1.0
11,2015-01-20,168.83,169.85,166.22,169.85,1272387,168.83,169.85,166.22,169.85,1272387,0.0,1.0
12,2015-01-21,167.3,169.74,166.23,168.54,629906,167.3,169.74,166.23,168.54,629906,0.0,1.0
13,2015-01-22,168.1,169.73,165.77,167.81,707637,168.1,169.73,165.77,167.81,707637,0.0,1.0
14,2015-01-23,167.09,168.88,166.32,168.15,368466,167.09,168.88,166.32,168.15,368466,0.0,1.0
15,2015-01-26,167.6,169.37,167.11,168.5,653592,167.6,169.37,167.11,168.5,653592,0.0,1.0
16,2015-01-27,165.63,167.26,165.01,165.6,632756,165.63,167.26,165.01,165.6,632756,0.0,1.0
17,2015-01-28,164.76,167.99,164.35,167.14,469024,164.76,167.99,164.35,167.14,469024,0.0,1.0
18,2015-01-29,169.03,169.36,164.01,164.55,615155,169.03,169.36,164.01,164.55,615155,0.0,1.0
19,2015-01-30,165.04,167.84,164.78,167.51,587387,165.04,167.84,164.78,167.51,587387,0.0,1.0
20,2015-02-02,166.71,167.84,163.39,166.96,534175,166.71,167.84,163.39,166.96,534175,0.0,1.0
21,2015-02-03,169.06,169.38,165.83,166.78,585175,169.06,169.38,165.83,166.78,585175,0.0,1.0
22,2015-02-04,168.34,170.96,168.0,169.04,553593,168.34,170.96,168.0,169.04,553593,0.0,1.0
23,2015-02-05,166.48,169.58,165.72,168.89,585599,166.48,169.58,165.72,168.89,585599,0.0,1.0
24,2015-02-06,165.53,166.65,164.57,166.32,593282,165.53,166.65,164.57,166.32,593282,0.0,1.0
25,2015-02-09,165.87,166.655,162.41,165.4,899094,165.87,166.655,162.41,165.4,899094,0.0,1.0
26,2015-02-10,168.25,170.0,165.66,167.98,840440,168.25,170.0,165.66,167.98,840440,0.0,1.0
27,2015-02-11,168.35,169.99,166.26,168.31,551342,168.35,169.99,166.26,168.31,551342,0.0,1.0
28,2015-02-12,171.92,172.17,168.7,168.7,563726,171.92,172.17,168.7,168.7,563726,0.0,1.0
29,2015-02-13,173.0,173.44,170.51,172.08,479835,173.0,173.44,170.51,172.08,479835,0.0,1.0
30,2015-02-17,171.44,172.79,169.64,172.74,937376,171.44,172.79,169.64,172.74,937376,0.0,1.0
31,2015-02-18,171.67,172.11,169.6,170.67,716576,171.67,172.11,169.6,170.67,716576,0.0,1.0
32,2015-02-19,172.67,174.8,171.5,171.52,866910,172.67,174.8,171.5,171.52,866910,0.0,1.0
33,2015-02-20,184.26,187.24,179.14,182.4,1938309,184.26,187.24,179.14,182.4,1938309,0.0,1.0
34,2015-02-23,183.24,185.5299,182.14,184.26,1426508,183.24,185.5299,182.14,184.26,1426508,0.0,1.0
