,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,45.77,46.04,45.41,45.86,1577623,37.553745296,37.7752771122,37.258369541,37.6275892347,1577623,0.0,1.0
1,2015-01-05,44.95,45.69,44.81,45.41,2067254,36.8809449651,37.4881062393,36.766076616,37.258369541,2067254,0.0,1.0
2,2015-01-06,45.55,45.78,44.87,45.27,3291123,37.3732378901,37.5619501781,36.8153059085,37.1435011918,3291123,0.0,1.0
3,2015-01-07,45.79,46.145,45.57,45.79,2434066,37.5701550601,37.8614283741,37.3896476543,37.5701550601,2434066,0.0,1.0
4,2015-01-08,46.33,46.43,46.02,46.18,2888681,38.0132186926,38.0952675135,37.7588673481,37.8901454614,2888681,0.0,1.0
5,2015-01-09,45.96,46.58,45.72,46.55,2046859,37.7096380556,38.2183407447,37.5127208855,38.1937260985,2046859,0.0,1.0
6,2015-01-12,46.36,46.5,45.24,46.13,3485787,38.0378333389,38.1527016881,37.1188865455,37.849121051,3485787,0.0,1.0
7,2015-01-13,45.45,46.25,44.96,46.1,2782307,37.2911890693,37.947579636,36.8891498472,37.8245064047,2782307,0.0,1.0
8,2015-01-14,45.5,45.92,44.78,45.51,3917863,37.3322134797,37.6768185272,36.7414619697,37.3404183618,3917863,0.0,1.0
9,2015-01-15,45.43,46.18,45.39,45.94,2229588,37.2747793051,37.8901454614,37.2419597768,37.6932282914,2229588,0.0,1.0
10,2015-01-16,45.99,46.06,45.26,45.45,2816117,37.7342527018,37.7916868764,37.1352963097,37.2911890693,2816117,0.0,1.0
11,2015-01-20,47.65,47.81,46.58,47.34,6885537,39.0962631277,39.227541241,38.2183407447,38.8419117831,6885537,0.0,1.0
12,2015-01-21,48.17,48.38,47.47,47.83,8476134,39.522916996,39.6952195197,38.9485752502,39.2439510052,8476134,0.0,1.0
13,2015-01-22,48.66,48.69,48.0,48.46,4436794,39.9249562181,39.9495708643,39.3834340006,39.7608585764,4436794,0.0,1.0
14,2015-01-23,47.94,48.66,47.94,48.66,3043706,39.3342047081,39.9249562181,39.3342047081,39.9249562181,3043706,0.0,1.0
15,2015-01-26,48.34,48.44,47.79,47.82,4145279,39.6623999914,39.7444488122,39.2111314768,39.2357461231,4145279,0.0,1.0
16,2015-01-27,48.61,49.06,47.93,47.95,2958779,39.8839318077,40.2531515014,39.325999826,39.3424095902,2958779,0.0,1.0
