,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,48.62,50.2,47.93,49.9,203249,44.4082119,45.8513417808,43.7779842939,45.5773297781,203249,0.0,1.0
1,2015-01-05,47.67,48.82,47.47,48.18,203987,43.5405072249,44.5908865685,43.3578325564,44.0063276294,203987,0.0,1.0
2,2015-01-06,46.09,47.98,45.64,47.69,321307,42.0973773441,43.823652961,41.6863593401,43.5587746917,321307,0.0,1.0
3,2015-01-07,46.76,47.44,46.18,46.48,209176,42.7093374834,43.3304313562,42.1795809449,42.4535929476,209176,0.0,1.0
4,2015-01-08,48.38,48.7,46.96,47.3,185540,44.1890022979,44.4812817674,42.8920121519,43.2025590883,185540,0.0,1.0
5,2015-01-09,48.09,48.715,47.48,48.51,168310,43.9241240286,44.4949823675,43.3669662899,44.3077408324,168310,0.0,1.0
6,2015-01-12,47.13,48.27,46.74,48.02,169813,43.0472856201,44.0885312302,42.6910700166,43.8601878947,169813,0.0,1.0
7,2015-01-13,46.94,48.43,46.31,47.6,212008,42.8737446851,44.234670965,42.2983194794,43.4765710909,212008,0.0,1.0
8,2015-01-14,46.79,47.3,46.35,46.43,171367,42.7367386837,43.2025590883,42.3348544131,42.4079242805,171367,0.0,1.0
9,2015-01-15,45.8,47.31,45.4538,46.85,235906,41.8324990749,43.2116928217,41.5162892238,42.7915410842,235906,0.0,1.0
10,2015-01-16,46.81,46.98,45.02,45.63,268304,42.7550061506,42.9102796187,41.1200678679,41.6772256067,268304,0.0,1.0
11,2015-01-20,46.65,47.5,46.03,46.89,259690,42.6088664158,43.3852337567,42.0425749436,42.8280760179,259690,0.0,1.0
12,2015-01-21,46.46,47.06,45.92,46.39,242883,42.4353254808,42.9833494861,41.942103876,42.3713893468,242883,0.0,1.0
13,2015-01-22,47.01,47.14,45.48,46.65,279139,42.937680819,43.0564193535,41.5402196054,42.6088664158,279139,0.0,1.0
14,2015-01-23,48.0,48.45,46.9,47.03,226300,43.8419204278,44.2529384318,42.8372097514,42.9559482859,226300,0.0,1.0
15,2015-01-26,47.84,48.48,47.53,47.82,215152,43.6957806931,44.2803396321,43.412634957,43.6775132262,215152,0.0,1.0
16,2015-01-27,47.73,48.32,46.6892,47.3,169956,43.5953096254,44.1341998974,42.6446706508,43.2025590883,169956,0.0,1.0
17,2015-01-28,47.84,49.12,47.77,48.18,300046,43.6957806931,44.8648985711,43.6318445591,44.0063276294,300046,0.0,1.0
18,2015-01-29,48.88,48.94,47.34,47.93,224687,44.645688969,44.7004913695,43.2390940219,43.7779842939,224687,0.0,1.0
19,2015-01-30,47.49,49.44,47.47,48.57,234820,43.3761000233,45.1571780407,43.3578325564,44.3625432329,234820,0.0,1.0
20,2015-02-02,47.43,48.06,46.64,47.8,314852,43.3212976228,43.8967228284,42.5997326824,43.6592457594,314852,0.0,1.0
21,2015-02-03,48.53,48.83,47.21,47.21,312971,44.3260082992,44.6000203019,43.1203554875,43.1203554875,312971,0.0,1.0
22,2015-02-04,47.8,48.48,47.25,48.07,535724,43.6592457594,44.2803396321,43.1568904211,43.9058565618,535724,0.0,1.0
23,2015-02-05,47.53,50.3,45.76,49.71,657981,43.412634957,45.942679115,41.7959641412,45.4037888431,657981,0.0,1.0
24,2015-02-06,48.21,48.49,47.09,47.39,442223,44.0337288297,44.2894733655,43.0107506864,43.2847626891,442223,0.0,1.0
25,2015-02-09,47.37,47.95,46.92,47.56,286462,43.2664952222,43.7962517607,42.8554772182,43.4400361572,286462,0.0,1.0
26,2015-02-10,49.1,49.16,47.62,47.87,468994,44.8466311043,44.9014335048,43.4948385578,43.7231818933,468994,0.0,1.0
27,2015-02-11,49.51,50.08,49.1,49.1,709876,45.2211141746,45.7417369797,44.8466311043,44.8466311043,709876,0.0,1.0
28,2015-02-12,50.16,50.3,49.17,49.75,281819,45.8148068471,45.942679115,44.9105672383,45.4403237768,281819,0.0,1.0
29,2015-02-13,50.32,50.82,49.79,50.41,243667,45.9609465818,46.417633253,45.4768587105,46.0431501826,243667,0.0,1.0
30,2015-02-17,50.61,50.75,50.02,50.05,241324,46.2258248511,46.353697119,45.6869345792,45.7143357794,241324,0.0,1.0
31,2015-02-18,50.45,50.52,49.84,50.21,151977,46.0796851163,46.1436212503,45.5225273776,45.8604755142,151977,0.0,1.0
32,2015-02-19,51.04,51.22,50.2,50.31,391421,46.6185753883,46.7829825899,45.8513417808,45.9518128484,391421,0.0,1.0
33,2015-02-20,51.99,52.29,50.61,50.93,463829,47.4862800634,47.7602920661,46.2258248511,46.5181043206,463829,0.0,1.0
34,2015-02-23,52.22,52.671,51.72,52.37,586189,47.6963559321,48.1082873095,47.239669261,47.8333619334,586189,0.0,1.0
35,2015-02-24,52.72,52.77,51.84,52.28,406432,48.1530426032,48.1987112703,47.3492740621,47.7511583326,406432,0.0,1.0
36,2015-02-25,52.75,52.9,52.34,52.88,212880,48.1804438035,48.3174498048,47.8059607332,48.299182338,212880,0.0,1.0
37,2015-02-26,53.08,53.3899,52.47,52.75,265567,48.4818570064,48.7649114052,47.9246992677,48.1804438035,265567,0.0,1.0
38,2015-02-27,52.73,53.26,52.4601,52.92,195623,48.1621763367,48.646264208,47.9156568716,48.3357172717,195623,0.0,1.0
39,2015-03-02,54.16,54.37,52.31,52.31,405690,49.4683002161,49.6601086179,47.7785595329,47.7785595329,405690,0.0,1.0
40,2015-03-03,53.56,54.34,53.17,53.94,334409,48.9202762107,49.6327074177,48.5640606072,49.2673580808,334409,0.0,1.0
41,2015-03-04,53.15,53.59,52.77,53.25,184431,48.5457931404,48.947677411,48.1987112703,48.6371304746,184431,0.0,1.0
42,2015-03-05,52.69,53.47,52.31,53.2,188811,48.125641403,48.8380726099,47.7785595329,48.5914618075,188811,0.0,1.0
43,2015-03-06,51.72,52.48,51.52,52.22,338089,47.239669261,47.9338330011,47.0569945925,47.6963559321,338089,0.0,1.0
44,2015-03-09,52.3,52.46,51.46,51.71,256616,47.7694257995,47.9155655343,47.002192192,47.2305355276,256616,0.0,1.0
45,2015-03-10,52.28,52.695,51.51,51.69,361241,47.7511583326,48.1302082697,47.0478608591,47.2122680607,361241,0.0,1.0
46,2015-03-11,53.19,53.39,52.2153,52.53,368705,48.5823280741,48.7650027425,47.6920630774,47.9795016682,368705,0.0,1.0
