,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,46.76,47.42,46.54,46.66,27913852,40.0723261572,40.6379321295,39.8837908331,39.9866282826,27913852,0.0,1.0
1,2015-01-05,46.325,46.73,46.25,46.37,39673865,39.6995404027,40.0466167948,39.6352669968,39.7381044463,39673865,0.0,1.0
2,2015-01-06,45.65,46.749,45.54,46.38,36447854,39.1210797493,40.062899391,39.0268120872,39.7466742338,36447854,0.0,1.0
3,2015-01-07,46.23,46.46,45.49,45.98,29114061,39.6181274219,39.8152325334,38.9839631499,39.4038827354,29114061,0.0,1.0
4,2015-01-08,47.59,47.7499,46.72,46.75,29645202,40.7836185163,40.9206494177,40.0380470074,40.0637563697,29645202,0.0,1.0
5,2015-01-09,47.19,47.82,46.9,47.61,23715642,40.4408270179,40.9807236278,40.1923031816,40.8007580912,23715642,0.0,1.0
6,2015-01-12,46.6,47.54,46.36,47.42,23651887,39.9352095579,40.740769579,39.7295346589,40.6379321295,23651887,0.0,1.0
7,2015-01-13,46.355,47.91,46.06,46.97,35270601,39.7252497651,41.057851715,39.4724410351,40.2522916938,35270601,0.0,1.0
8,2015-01-14,45.955,46.24,45.62,45.96,29719580,39.3824582668,39.6266972093,39.0953703869,39.3867431605,29719580,0.0,1.0
9,2015-01-15,45.48,46.38,45.41,46.22,32750779,38.9753933625,39.7466742338,38.9154048503,39.6095576344,32750779,0.0,1.0
10,2015-01-16,46.24,46.28,45.17,45.31,35695289,39.6266972093,39.6609763592,38.7097299513,38.8297069757,35695289,0.0,1.0
11,2015-01-20,46.39,46.65,45.57,46.3,36161860,39.7552440212,39.9780584952,39.0525214496,39.6781159341,36161860,0.0,1.0
12,2015-01-21,45.92,46.14,45.48,45.94,39081143,39.3524640107,39.5409993348,38.9753933625,39.3696035856,39081143,0.0,1.0
13,2015-01-22,47.13,47.135,46.08,46.38,35898035,40.3894082932,40.3936931869,39.48958061,39.7466742338,35898035,0.0,1.0
14,2015-01-23,47.18,47.39,46.8,47.36,26211594,40.4322572305,40.6122227671,40.106605307,40.5865134047,26211594,0.0,1.0
15,2015-01-26,47.01,47.1339,46.2399,47.0,42525530,40.2865708437,40.3927505103,39.6266115115,40.2780010562,42525530,0.0,1.0
16,2015-01-27,42.66,43.2,42.105,42.95,169163953,36.5587132991,37.0214818219,36.0830900951,36.8072371354,169163953,0.0,1.0
17,2015-01-28,41.19,42.79,41.16,42.74,84507078,35.2989545427,36.6701205361,35.2732451803,36.6272715988,84507078,0.0,1.0
18,2015-01-29,42.01,42.12,40.79,40.93,63585273,36.0016771143,36.0959447763,34.9561630443,35.0761400687,63585273,0.0,1.0
19,2015-01-30,40.4,41.58,40.35,41.55,78004944,34.6219413334,35.6331762536,34.5790923961,35.6074668912,78004944,0.0,1.0
20,2015-02-02,41.28,41.37,40.23,40.59,50352532,35.3760826298,35.4532107169,34.4762549466,34.7847672951,50352532,0.0,1.0
21,2015-02-03,41.6,41.93,41.045,41.63,52082448,35.6503158285,35.9331188146,35.1746926245,35.6760251909,52082448,0.0,1.0
22,2015-02-04,41.84,42.21,41.36,41.94,41614812,35.8559907275,36.1730728635,35.4446409295,35.9416886021,41614812,0.0,1.0
23,2015-02-05,42.45,42.64,41.855,42.22,36548168,36.3787477625,36.5415737242,35.8688454087,36.1816426509,36548168,0.0,1.0
24,2015-02-06,42.41,42.79,42.15,42.68,34616554,36.3444686126,36.6701205361,36.1216541387,36.575852874,34616554,0.0,1.0
25,2015-02-09,42.36,42.74,42.21,42.24,31381061,36.3016196753,36.6272715988,36.1730728635,36.1987822258,31381061,0.0,1.0
26,2015-02-10,42.6,42.77,42.18,42.74,29670676,36.5072945744,36.6529809612,36.1473635011,36.6272715988,29670676,0.0,1.0
27,2015-02-11,42.38,42.65,42.21,42.65,38262509,36.3187592503,36.5501435117,36.1730728635,36.5501435117,38262509,0.0,1.0
28,2015-02-12,43.09,43.09,42.51,42.66,33268831,36.9272141598,36.9272141598,36.4301664872,36.5587132991,33268831,0.0,1.0
29,2015-02-13,43.87,43.87,43.15,43.38,40264887,37.5956575816,37.5956575816,36.9786328846,37.1757379961,40264887,0.0,1.0
30,2015-02-17,43.58,44.0,43.19,43.97,33695749,37.6127971565,37.9752885472,37.2761980081,37.949396305,33695749,0.31,1.0
31,2015-02-18,43.53,43.7,43.39,43.63,27111657,37.5696434196,37.7163661253,37.448812956,37.6559508935,27111657,0.0,1.0
32,2015-02-19,43.5,43.5263,43.05,43.18,27603420,37.5437511774,37.566450043,37.1553675445,37.2675672607,27603420,0.0,1.0
33,2015-02-20,43.855,43.88,43.29,43.51,29721133,37.85014271,37.8717195785,37.362505482,37.5523819248,29721133,0.0,1.0
34,2015-02-23,44.15,44.19,43.65,43.7,32518754,38.1047497582,38.1392727478,37.6732123883,37.7163661253,32518754,0.0,1.0
35,2015-02-24,44.09,44.3,43.92,44.15,25271747,38.0529652738,38.2342109691,37.906242568,38.1047497582,25271747,0.0,1.0
36,2015-02-25,43.99,44.09,43.8,43.95,29759820,37.9666577998,38.0529652738,37.8026735993,37.9321348102,29759820,0.0,1.0
37,2015-02-26,44.055,44.23,43.89,43.99,28957329,38.0227576579,38.1737957374,37.8803503258,37.9666577998,28957329,0.0,1.0
38,2015-02-27,43.85,44.2,43.66,44.13,33807740,37.8458273363,38.1479034952,37.6818431357,38.0874882634,33807740,0.0,1.0
39,2015-03-02,43.88,44.19,43.55,43.67,31924049,37.8717195785,38.1392727478,37.5869049143,37.6904738831,31924049,0.0,1.0
40,2015-03-03,43.28,43.825,43.09,43.56,31748648,37.3538747346,37.8242504678,37.1898905341,37.5955356617,31748648,0.0,1.0
41,2015-03-04,43.055,43.21,42.88,43.01,25748692,37.1596829182,37.2934595028,37.0086448387,37.1208445549,25748692,0.0,1.0
42,2015-03-05,43.11,43.24,42.82,43.07,23193541,37.2071520289,37.319351745,36.9568603544,37.1726290393,23193541,0.0,1.0
43,2015-03-06,42.36,43.11,42.15,43.0,36248785,36.5598459741,37.2071520289,36.3786002788,37.1122138075,36248785,0.0,1.0
44,2015-03-09,42.85,43.125,42.19,42.19,32107957,36.9827525966,37.22009815,36.4131232683,36.4131232683,32107957,0.0,1.0
45,2015-03-10,42.03,42.71,42.03,42.35,39159730,36.27503131,36.861922133,36.27503131,36.5512152267,39159730,0.0,1.0
46,2015-03-11,41.98,42.37,41.84,42.31,32215314,36.231877573,36.5684767215,36.1110471094,36.5166922371,32215314,0.0,1.0
47,2015-03-12,41.02,41.65,40.86,41.33,59992502,35.4033258229,35.9470629089,35.2652338645,35.6708789922,59992502,0.0,1.0
48,2015-03-13,41.38,41.47,40.61,40.7,58007705,35.7140327292,35.7917094558,35.0494651796,35.1271419062,58007705,0.0,1.0
49,2015-03-16,41.56,41.64,41.28,41.47,35273452,35.8693861823,35.9384321615,35.6277252552,35.7917094558,35273452,0.0,1.0
50,2015-03-17,41.695,41.83,41.15,41.37,31673448,35.9859012722,36.102416362,35.515525539,35.7054019818,31673448,0.0,1.0
51,2015-03-18,42.5,42.83,41.33,41.43,44194771,36.6806764377,36.9654911018,35.6708789922,35.7571864662,44194771,0.0,1.0
52,2015-03-19,42.285,42.59,42.22,42.26,33879066,36.4951153686,36.7583531642,36.4390155105,36.4735385001,33879066,0.0,1.0
53,2015-03-20,42.88,42.98,42.49,42.56,71904529,37.0086448387,37.0949523127,36.6720456903,36.732460922,71904529,0.0,1.0
54,2015-03-23,42.855,43.13,42.78,42.88,26246086,36.9870679702,37.2244135237,36.9223373648,37.0086448387,26246086,0.0,1.0
55,2015-03-24,42.9,43.17,42.75,42.78,25513252,37.0259063335,37.2589365133,36.8964451226,36.9223373648,25513252,0.0,1.0
56,2015-03-25,41.46,42.925,41.44,42.92,43469907,35.7830787084,37.047483202,35.7658172136,37.0431678283,43469907,0.0,1.0
57,2015-03-26,41.21,41.61,40.92,41.22,37495627,35.5673100234,35.9125399193,35.3170183489,35.5759407708,37495627,0.0,1.0
58,2015-03-27,40.97,41.43,40.83,41.12,34401398,35.3601720859,35.7571864662,35.2393416223,35.4896332969,34401398,0.0,1.0
59,2015-03-30,40.96,41.54,40.91,41.1,35049662,35.3515413385,35.8521246875,35.3083876015,35.4723718021,35049662,0.0,1.0
60,2015-03-31,40.655,41.03,40.54,40.78,34887219,35.0883035429,35.4119565703,34.9890499478,35.1961878854,34887219,0.0,1.0
61,2015-04-01,40.72,40.76,40.31,40.6,36865322,35.144403401,35.1789263906,34.7905427577,35.0408344322,36865322,0.0,1.0
62,2015-04-02,40.29,40.74,40.12,40.66,37487476,34.7732812629,35.1616648958,34.6265585571,35.0926189166,37487476,0.0,1.0
