,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,47.86,48.4116,47.42,48.22,596409,13.4612382105,13.6163827779,13.337482573,13.562492823,1789227,0.0,1.0
1,2015-01-05,47.61,47.908,47.26,47.62,956080,13.3909225074,13.4747388255,13.292480523,13.3937351355,2868240,0.0,1.0
2,2015-01-06,47.58,47.975,47.16,47.76,1034698,13.382484623,13.493583434,13.2643542417,13.4331119293,3104094,0.0,1.0
3,2015-01-07,48.26,48.28,47.32,47.89,991107,13.5737433355,13.5793685918,13.3093562917,13.4696760949,2973321,0.0,1.0
4,2015-01-08,49.01,49.33,48.44,48.49,1205573,13.784690445,13.874694545,13.6243706418,13.6384337824,3616719,0.0,1.0
5,2015-01-09,48.5,49.39,48.32,49.21,705855,13.6412464106,13.8915703138,13.5906191043,13.8409430075,2117565,0.0,1.0
6,2015-01-12,47.35,48.49,47.25,48.39,1388196,13.3177941761,13.6384337824,13.2896678948,13.6103075012,4164588,0.0,1.0
7,2015-01-13,46.71,48.04,46.35,47.55,1773827,13.137785976,13.5118655168,13.0365313635,13.3740467386,5321481,0.0,1.0
8,2015-01-14,45.66,46.63,45.1,46.15,1408961,12.8424600228,13.115284951,12.6849528478,12.980278801,4226883,0.0,1.0
9,2015-01-15,45.76,46.2,45.205,45.67,1224063,12.8705863041,12.9943419416,12.7144854431,12.8452726509,3672189,0.0,1.0
10,2015-01-16,46.29,46.39,45.54,45.73,2202546,13.0196555947,13.047781876,12.8087084853,12.8621484197,6607638,0.0,1.0
11,2015-01-20,45.95,46.77,45.68,46.6,1265721,12.9240262385,13.1546617448,12.8480852791,13.1068470666,3797163,0.0,1.0
12,2015-01-21,45.7,46.18,45.38,45.74,818275,12.8537105353,12.9887166854,12.7637064353,12.8649610478,2454825,0.0,1.0
13,2015-01-22,46.54,46.64,45.38,45.69,1202862,13.0899712979,13.1180975792,12.7637064353,12.8508979072,3608586,0.0,1.0
14,2015-01-23,46.56,46.7752,46.2,46.46,823892,13.0955965541,13.1561243114,12.9943419416,13.0674702729,2471676,0.0,1.0
15,2015-01-26,46.57,46.72,46.13,46.46,906477,13.0984091823,13.1405986042,12.9746535447,13.0674702729,2719431,0.0,1.0
16,2015-01-27,46.08,46.54,45.89,46.16,738488,12.9605904041,13.0899712979,12.9071504697,12.9830914291,2215464,0.0,1.0
17,2015-01-28,45.04,46.32,44.93,46.08,1131358,12.668077079,13.0280934791,12.6371381696,12.9605904041,3394074,0.0,1.0
18,2015-01-29,45.17,45.87,44.82,45.27,1502594,12.7046412446,12.9015252135,12.6061992602,12.7327675259,4507782,0.0,1.0
19,2015-01-30,45.6,45.99,44.912,45.12,1435493,12.8255842541,12.935276751,12.632075439,12.690578104,4306479,0.0,1.0
20,2015-02-02,46.81,46.85,45.61,45.61,1346522,13.1659122573,13.1771627698,12.8283968822,12.8283968822,4039566,0.0,1.0
21,2015-02-03,47.05,47.2722,46.76,46.98,1026472,13.2334153323,13.2959119293,13.1518491167,13.2137269354,3079416,0.0,1.0
22,2015-02-04,47.6,47.87,46.726,46.92,1124044,13.3881098792,13.4640508386,13.142286181,13.1968511667,3372132,0.0,1.0
23,2015-02-05,48.3,48.905,47.694,47.78,841806,13.5849938481,13.7551578497,13.4145485836,13.4387371855,2525418,0.0,1.0
24,2015-02-06,49.235,49.24,48.41,48.63,1277275,13.8479745778,13.8493808919,13.6159327574,13.6778105762,3831825,0.0,1.0
25,2015-02-09,48.49,49.13,48.38,49.0,822142,13.6384337824,13.8184419825,13.6074948731,13.7818778169,2466426,0.0,1.0
26,2015-02-10,48.55,49.05,48.07,48.71,888421,13.6553095512,13.7959409575,13.5203034012,13.7003116012,2665263,0.0,1.0
27,2015-02-11,49.18,49.37,48.41,48.53,985661,13.8325051231,13.8859450575,13.6159327574,13.6496842949,2956983,0.0,1.0
28,2015-02-12,49.75,50.0,49.22,49.29,819228,13.9928249263,14.0631406295,13.8437556356,13.8634440325,2457684,0.0,1.0
29,2015-02-13,49.48,49.98,49.34,49.84,811207,13.9168839669,14.0575153732,13.8775071731,14.0181385794,2433621,0.0,1.0
30,2015-02-17,49.92,49.93,49.26,49.51,854304,14.0406396044,14.0434522326,13.8550061481,13.9253218513,2562912,0.0,1.0
31,2015-02-18,49.91,50.195,49.623,49.68,821561,14.0378269763,14.1179868779,13.9571045491,13.9731365294,2464683,0.0,1.0
32,2015-02-19,50.3,50.39,49.62,49.62,886853,14.1475194732,14.1728331264,13.9562607607,13.9562607607,2660559,0.0,1.0
33,2015-02-20,50.94,50.96,49.82,50.25,740582,14.3275276733,14.3331529295,14.0125133232,14.1334563326,2221746,0.0,1.0
34,2015-02-23,50.79,50.94,50.42,50.92,711921,14.2853382514,14.3275276733,14.1812710107,14.321902417,2135763,0.0,1.0
35,2015-02-24,50.65,51.22,50.41,50.78,888213,14.2459614576,14.4062812608,14.1784583826,14.2825256233,2664639,0.0,1.0
36,2015-02-25,50.79,50.96,50.495,50.65,581671,14.2853382514,14.3331529295,14.2023657217,14.2459614576,1745013,0.0,1.0
37,2015-02-26,50.64,50.995,50.31,50.76,949064,14.2431488295,14.342997128,14.1503321014,14.276900367,2847192,0.0,1.0
38,2015-02-27,50.16,50.565,50.09,50.51,724642,14.1081426795,14.2220541186,14.0884542826,14.2065846639,2173926,0.0,1.0
39,2015-03-02,50.92,50.93,50.29,50.37,762929,14.321902417,14.3247150452,14.1447068451,14.1672078701,2288787,0.0,1.0
40,2015-03-03,50.595,51.13,50.21,50.9,646853,14.2304920029,14.3809676077,14.1222058201,14.3162771608,1940559,0.0,1.0
41,2015-03-04,51.015,51.1,50.24,50.51,987526,14.3486223842,14.3725297233,14.1306437045,14.2065846639,2962578,0.0,1.0
42,2015-03-05,50.78,51.04,50.4,51.04,635775,14.2825256233,14.3556539545,14.1756457545,14.3556539545,1907325,0.0,1.0
43,2015-03-06,50.19,51.1,50.12,50.66,742039,14.1165805638,14.3725297233,14.096892167,14.2487740858,2226117,0.0,1.0
44,2015-03-09,50.7,50.85,50.01,50.26,619147,14.2600245983,14.3022140202,14.0659532576,14.1362689607,1857441,0.0,1.0
45,2015-03-10,49.64,50.3851,49.64,50.31,918244,13.9618860169,14.1714549386,13.9618860169,14.1503321014,2754732,0.0,1.0
46,2015-03-11,49.34,49.79,49.24,49.6,1001244,13.919696595,14.0466496446,13.8914848062,13.9930472459,3003732,0.15,1.0
47,2015-03-12,49.985,50.03,49.45,49.45,792541,14.1016626328,14.1143579378,13.9507295627,13.9507295627,2377623,0.0,1.0
48,2015-03-13,50.25,50.33,49.5,50.06,865889,14.1764238731,14.1989933042,13.9648354571,14.1228214744,2597667,0.0,1.0
49,2015-03-16,50.805,51.181,50.62,50.62,562540,14.332999301,14.4390756269,14.2808074917,14.2808074917,1687620,0.0,1.0
50,2015-03-17,50.94,51.0,50.33,50.55,546863,14.3710852159,14.3880122891,14.1989933042,14.2610592395,1640589,0.0,1.0
51,2015-03-18,49.52,50.72,49.2,50.63,1747684,13.9704778149,14.3090192805,13.8802000907,14.2836286706,5243052,0.0,1.0
