,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,19.34,19.385,18.6,18.65,6535481,15.2710519132,15.3065843504,14.6867407231,14.726221209,6535481,0.0,1.0
1,2015-01-05,19.46,19.6,18.86,19.51,7508108,15.3658050792,15.4763504394,14.8920392494,15.405285565,7508108,0.0,1.0
2,2015-01-06,20.27,20.66,19.62,19.65,13197692,16.0053889494,16.3133367387,15.4921426338,15.5158309253,13197692,0.0,1.0
3,2015-01-07,20.09,20.52,19.74,20.04,8172062,15.8632592004,16.2027913784,15.5868957997,15.8237787146,8172062,0.0,1.0
4,2015-01-08,19.98,20.38,19.89,20.1,7803436,15.7764021316,16.0922460182,15.7053372572,15.8711552976,7803436,0.0,1.0
5,2015-01-09,20.72,20.73,20.1701,20.21,7473173,16.3607133217,16.3686094189,15.9265069387,15.9580123664,7473173,0.0,1.0
6,2015-01-12,21.19,21.4,20.68,20.86,9233764,16.7318298884,16.8976479288,16.329128933,16.471258682,9233764,0.0,1.0
7,2015-01-13,20.36,21.53,20.22,21.5,12197184,16.0764538238,17.0002971919,15.9659084635,16.9766089004,12197184,0.0,1.0
8,2015-01-14,19.76,20.74,19.42,20.53,13541883,15.602687994,16.376505516,15.3342206905,16.2106874756,13541883,0.0,1.0
9,2015-01-15,21.51,21.9,20.65,20.75,16717705,16.9845049976,17.2924527869,16.3054406416,16.3844016132,16717705,0.0,1.0
10,2015-01-16,22.29,22.29,21.49,21.72,17596208,17.6004005763,17.6004005763,16.9687128032,17.150323038,17596208,0.0,1.0
11,2015-01-20,23.57,23.72,22.72,22.85,17805262,18.6111010131,18.7295424706,17.9399327543,18.0425820174,17805262,0.0,1.0
12,2015-01-21,24.32,24.44,23.43,23.77,16959847,19.2033083004,19.2980614663,18.5005556529,18.7690229564,16959847,0.0,1.0
13,2015-01-22,24.29,24.69,23.98,24.31,13132423,19.1796200089,19.4954638954,18.9348409968,19.1954122032,13132423,0.0,1.0
14,2015-01-23,24.15,24.43,23.67,24.14,12056412,19.0690746486,19.2901653692,18.6900619848,19.0611785514,12056412,0.0,1.0
15,2015-01-26,24.49,24.63,23.35,23.82,11187793,19.3375419521,19.4480873124,18.4373868756,18.8085034422,11187793,0.0,1.0
16,2015-01-27,25.14,25.25,24.5299,24.67,10774534,19.8507882677,19.9376453365,19.3690473798,19.4796717011,10774534,0.0,1.0
17,2015-01-28,24.26,25.05,24.025,24.89,11251272,19.1559317174,19.7797233933,18.9703734341,19.6533858387,11251272,0.0,1.0
18,2015-01-29,24.17,24.34,23.42,23.61,8849962,19.0848668429,19.2191004947,18.4926595557,18.6426854018,8849962,0.0,1.0
19,2015-01-30,25.15,25.22,23.92,24.19,11593149,19.8586843649,19.913957045,18.8874644138,19.1006590372,11593149,0.0,1.0
