,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,27.5,27.58,26.85,27.03,4712883,21.7288051729,21.7920162425,21.2152152324,21.357440139,4712883,0.0,1.0
1,2015-01-05,26.45,27.9,26.24,27.9,4980185,20.8991598845,22.0448605209,20.7332308268,22.0448605209,4980185,0.0,1.0
2,2015-01-06,26.11,26.66,25.86,26.55,4629874,20.6305128387,21.0650889422,20.4329782462,20.9781737215,4629874,0.0,1.0
3,2015-01-07,26.23,26.72,26.12,26.38,3568044,20.7253294431,21.1124972444,20.6384142224,20.8438501986,3568044,0.0,1.0
4,2015-01-08,26.81,26.9,26.22,26.25,3245404,21.1836096976,21.2547221509,20.7174280594,20.7411322105,3245404,0.0,1.0
5,2015-01-09,27.14,27.315,26.88,27.19,3488761,21.4443553597,21.5826295745,21.2389193835,21.4838622782,3488761,0.0,1.0
6,2015-01-12,26.69,27.1,26.51,27.1,3448941,21.0887930933,21.4127498249,20.9465681867,21.4127498249,3448941,0.0,1.0
7,2015-01-13,26.88,27.03,26.33,26.37,5944854,21.2389193835,21.357440139,20.8043432801,20.8359488149,5944854,0.0,1.0
8,2015-01-14,26.97,27.01,26.28,26.44,4111984,21.3100318368,21.3416373716,20.7648363616,20.8912585008,4111984,0.0,1.0
9,2015-01-15,26.57,27.42,26.5001,27.11,4819663,20.9939764889,21.6655941033,20.9387458168,21.4206512086,4819663,0.0,1.0
10,2015-01-16,26.3,26.95,26.06,26.54,5447770,20.780639129,21.2942290694,20.5910059202,20.9702723378,5447770,0.0,1.0
11,2015-01-20,24.68,26.5,24.6,26.5,6384910,19.5006149697,20.938666803,19.4374039001,20.938666803,6384910,0.0,1.0
12,2015-01-21,25.47,25.58,24.57,24.96,8804084,20.124824282,20.2117395026,19.413699749,19.7218537133,8804084,0.0,1.0
13,2015-01-22,25.09,25.63,24.72,25.5,4536306,19.8245717014,20.2512464211,19.5322205045,20.1485284331,4536306,0.0,1.0
14,2015-01-23,25.04,25.3,25.0,25.15,3082983,19.7850647829,19.9905007591,19.7534592481,19.8719800036,3082983,0.0,1.0
15,2015-01-26,25.54,25.55,24.87,24.93,2051309,20.1801339678,20.1880353515,19.65074126,19.6981495622,2051309,0.0,1.0
16,2015-01-27,25.34,25.6,25.23,25.45,2478712,20.0221062939,20.22754227,19.9351910732,20.1090215146,2478712,0.0,1.0
17,2015-01-28,24.61,25.57,24.585,25.37,3536237,19.4453052838,20.2038381189,19.4255518246,20.045810445,3536237,0.0,1.0
18,2015-01-29,24.43,24.54,23.76,24.51,6014621,19.4176504409,19.5050815317,18.885115615,19.4812366887,6014621,0.145,1.0
19,2015-01-30,24.66,25.255,24.13,24.2,5081111,19.6004609035,20.0733836219,19.1792020114,19.2348399783,5081111,0.0,1.0
20,2015-02-02,25.22,25.37,24.34,24.7,4732694,20.0455646385,20.1647888532,19.346115912,19.6322540274,4732694,0.0,1.0
21,2015-02-03,26.04,26.37,25.21,25.21,6356531,20.6973236791,20.9596169515,20.0376163575,20.0376163575,6356531,0.0,1.0
22,2015-02-04,26.04,26.19,25.56,25.89,5278601,20.6973236791,20.8165478938,20.3158061919,20.5780994644,5278601,0.0,1.0
23,2015-02-05,26.34,26.51,26.03,26.18,3833352,20.9357721086,21.0708928853,20.6893753981,20.8085996129,3833352,0.0,1.0
24,2015-02-06,25.28,26.29,25.155,26.24,3337288,20.0932543244,20.8960307037,19.9939008121,20.8562892987,3337288,0.0,1.0
25,2015-02-09,26.03,26.47,25.26,25.34,4397176,20.6893753981,21.0390997614,20.0773577624,20.1409440103,4397176,0.0,1.0
26,2015-02-10,26.55,26.66,25.65,26.08,3870639,21.1026860092,21.1901171,20.3873407208,20.729116803,3870639,0.0,1.0
27,2015-02-11,25.79,26.32,25.73,26.3,3923567,20.4986166545,20.9198755466,20.4509269686,20.9039789846,3923567,0.0,1.0
28,2015-02-12,25.46,25.91,25.32,25.86,2969262,20.2363233821,20.5939960263,20.1250474483,20.5542546214,2969262,0.0,1.0
29,2015-02-13,25.37,25.62,25.18,25.3,2776740,20.1647888532,20.3634958778,20.0137715146,20.1091508864,2776740,0.0,1.0
30,2015-02-17,24.98,25.22,24.64,25.22,4148186,19.8548058949,20.0455646385,19.5845643415,20.0455646385,4148186,0.0,1.0
31,2015-02-18,25.92,26.13,24.78,25.39,3628233,20.6019443073,20.7688582079,19.6958402753,20.1806854152,3628233,0.0,1.0
32,2015-02-19,25.34,25.92,24.92,25.9,5299819,20.1409440103,20.6019443073,19.807116209,20.5860477453,5299819,0.0,1.0
33,2015-02-20,25.39,25.47,24.97,25.4,3259427,20.1806854152,20.2442716631,19.8468576139,20.1886336962,3259427,0.0,1.0
34,2015-02-23,25.34,25.43,24.915,25.36,2538917,20.1409440103,20.2124785391,19.8031420685,20.1568405723,2538917,0.0,1.0
35,2015-02-24,25.88,26.17,25.32,25.33,3262503,20.5701511834,20.8006513319,20.1250474483,20.1329957293,3262503,0.0,1.0
36,2015-02-25,25.38,25.92,25.29,25.87,2414788,20.1727371342,20.6019443073,20.1012026054,20.5622029024,2414788,0.0,1.0
37,2015-02-26,24.77,25.4,24.75,25.37,4176816,19.6878919943,20.1886336962,19.6719954323,20.1647888532,4176816,0.0,1.0
38,2015-02-27,23.98,25.85,23.62,25.8,5528832,19.0599777966,20.5463063404,18.7738396813,20.5065649355,5528832,0.0,1.0
39,2015-03-02,23.39,23.98,23.21,23.98,5422977,18.5910292187,19.0599777966,18.447960161,19.0599777966,5422977,0.0,1.0
40,2015-03-03,24.14,24.295,23.39,23.41,4761340,19.1871502924,19.3103486476,18.5910292187,18.6069257806,4761340,0.0,1.0
41,2015-03-04,24.39,24.44,23.82,24.05,4188697,19.3858573169,19.4255987219,18.9328053009,19.1156157635,4188697,0.0,1.0
42,2015-03-05,25.07,25.19,24.39,24.54,4996651,19.9263404238,20.0217197956,19.3858573169,19.5050815317,4996651,0.0,1.0
43,2015-03-06,24.49,24.97,24.41,24.95,5034774,19.4653401268,19.8468576139,19.4017538789,19.830961052,5034774,0.0,1.0
44,2015-03-09,23.72,24.65,23.635,24.56,5089425,18.8533224911,19.5925126225,18.7857621027,19.5209780936,5089425,0.0,1.0
45,2015-03-10,23.39,23.76,23.33,23.55,5691370,18.5910292187,18.885115615,18.5433395328,18.7182017144,5691370,0.0,1.0
46,2015-03-11,23.12,23.63,23.095,23.42,4634513,18.3764256321,18.7817879623,18.3565549297,18.6148740616,4634513,0.0,1.0
47,2015-03-12,23.28,23.415,23.11,23.25,3797394,18.5035981279,18.6108999211,18.3684773511,18.4797532849,3797394,0.0,1.0
48,2015-03-13,23.47,23.66,22.78,23.13,5190309,18.6546154665,18.8056328052,18.1061840787,18.3843739131,5190309,0.0,1.0
49,2015-03-16,23.78,23.99,23.65,23.78,4158248,18.901012177,19.0679260776,18.7976845242,18.901012177,4158248,0.0,1.0
50,2015-03-17,24.33,24.4,23.73,23.74,2971555,19.338167631,19.3938055979,18.8612707721,18.8692190531,2971555,0.0,1.0
51,2015-03-18,25.34,25.575,24.18,24.21,5036098,20.1409440103,20.3277286134,19.2189434163,19.2427882593,5036098,0.0,1.0
52,2015-03-19,24.62,25.45,24.43,25.08,3506450,19.5686677795,20.2283751011,19.4176504409,19.9342887047,3506450,0.0,1.0
53,2015-03-20,25.45,25.5,24.7,24.81,5664290,20.2283751011,20.268116506,19.6322540274,19.7196851182,5664290,0.0,1.0
54,2015-03-23,25.73,26.08,25.37,25.39,3895444,20.4509269686,20.729116803,20.1647888532,20.1806854152,3895444,0.0,1.0
55,2015-03-24,25.29,25.92,25.21,25.73,6032242,20.1012026054,20.6019443073,20.0376163575,20.4509269686,6032242,0.0,1.0
56,2015-03-25,24.76,25.46,24.69,25.43,2813252,19.6799437133,20.2363233821,19.6243057464,20.2124785391,2813252,0.0,1.0
57,2015-03-26,24.66,25.19,24.64,24.83,3815143,19.6004609035,20.0217197956,19.5845643415,19.7355816802,3815143,0.0,1.0
58,2015-03-27,24.2,24.85,24.07,24.66,4548437,19.2348399783,19.7514782421,19.1315123255,19.6004609035,4548437,0.0,1.0
59,2015-03-30,24.92,25.235,24.2,24.35,5634591,19.807116209,20.05748706,19.2348399783,19.354064193,5634591,0.0,1.0
60,2015-03-31,25.19,25.26,24.79,24.9,4283900,20.0217197956,20.0773577624,19.7037885563,19.7912196471,4283900,0.0,1.0
61,2015-04-01,23.6,24.99,23.53,24.99,9702737,18.7579431193,19.8627541759,18.7023051524,19.8627541759,9702737,0.0,1.0
62,2015-04-02,23.99,24.3,23.66,23.66,5972023,19.0679260776,19.3143227881,18.8056328052,18.8056328052,5972023,0.0,1.0
63,2015-04-06,24.5,24.625,23.59,23.93,4588649,19.4732884078,19.57264192,18.7499948383,19.0202363917,4588649,0.0,1.0
64,2015-04-07,24.89,25.055,24.25,24.52,4397548,19.7832713661,19.9144180023,19.2745813832,19.4891849697,4397548,0.0,1.0
65,2015-04-08,24.92,25.31,24.84,25.1,4759582,19.807116209,20.1170991674,19.7435299612,19.9501852667,4759582,0.0,1.0
66,2015-04-09,24.61,25.0398,24.38,24.93,3750919,19.5607194986,19.9023366152,19.377909036,19.81506449,3750919,0.0,1.0
67,2015-04-10,24.57,24.77,24.39,24.65,2280225,19.5289263746,19.6878919943,19.3858573169,19.5925126225,2280225,0.0,1.0
68,2015-04-13,24.59,24.96,24.43,24.62,3138073,19.5448229366,19.838909333,19.4176504409,19.5686677795,3138073,0.0,1.0
69,2015-04-14,24.35,24.8,24.15,24.57,3883586,19.354064193,19.7117368372,19.1950985734,19.5289263746,3883586,0.0,1.0
70,2015-04-15,25.15,25.3,24.46,24.51,5177537,19.9899266716,20.1091508864,19.4414952838,19.4812366887,5177537,0.0,1.0
71,2015-04-16,25.1,25.35,24.7,25.1,2909916,19.9501852667,20.1488922913,19.6322540274,19.9501852667,2909916,0.0,1.0
72,2015-04-17,24.96,25.17,24.75,24.95,3858640,19.838909333,20.0058232336,19.6719954323,19.830961052,3858640,0.0,1.0
73,2015-04-20,25.91,25.99,25.05,25.1,5317237,20.5939960263,20.6575822742,19.9104438618,19.9501852667,5317237,0.0,1.0
74,2015-04-21,25.47,26.17,25.335,25.97,4260644,20.2442716631,20.8006513319,20.1369698698,20.6416857122,4260644,0.0,1.0
75,2015-04-22,25.07,25.45,24.945,25.45,3802952,19.9263404238,20.2283751011,19.8269869115,20.2283751011,3802952,0.0,1.0
76,2015-04-23,24.71,25.34,24.595,25.06,4254087,19.6402023084,20.1409440103,19.5487970771,19.9183921428,4254087,0.0,1.0
77,2015-04-24,25.53,26.93,24.595,24.73,6397619,20.291961349,21.4047206866,19.5487970771,19.6560988704,6397619,0.0,1.0
