,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,48.62,48.67,47.95,47.98,1226391,29.5444642974,29.5748473334,29.1373316137,29.1555614354,1265635,0.0,1.0
1,2015-01-05,49.62,49.71,48.26,48.57,1816344,30.1521250192,30.2068144842,29.3257064375,29.5140812613,1874467,0.0,1.0
2,2015-01-06,50.27,50.3801,49.55,49.66,1939975,30.5471044884,30.6140079339,30.1095887687,30.1764314481,2002054,0.0,1.0
3,2015-01-07,51.09,51.62,49.95,50.37,2808156,31.0453862804,31.367446463,30.3526530574,30.6078705606,2898016,0.0,1.0
4,2015-01-08,49.74,50.83,49.47,50.37,3728411,30.2250443058,30.8873944927,30.0609759109,30.6078705606,3847720,0.0,1.0
5,2015-01-09,50.33,50.43,49.18,49.18,2666029,30.5835641318,30.6443302039,29.8847543016,29.8847543016,2751341,0.0,1.0
6,2015-01-12,51.03,51.08,50.13,50.2,2301502,31.0089266371,31.0393096732,30.4620319874,30.5045682379,2375150,0.0,1.0
7,2015-01-13,51.13,51.52,50.77,51.04,2492209,31.0696927092,31.3066803908,30.8509348494,31.0150032443,2571959,0.0,1.0
8,2015-01-14,51.7,51.75,49.98,50.13,2712121,31.4160593207,31.4464423568,30.3708828791,30.4620319874,2798908,0.0,1.0
9,2015-01-15,52.21,52.32,51.59,51.61,2881238,31.7259662889,31.7928089683,31.3492166413,31.3613698557,2973437,0.0,1.0
10,2015-01-16,52.78,52.84,51.9603,52.03,3083883,32.0723329003,32.1087925436,31.5742334066,31.6165873589,3182567,0.0,1.0
11,2015-01-20,52.74,53.12,52.52,52.76,2820211,32.0480264715,32.2789375458,31.9143411127,32.0601796859,2910457,0.0,1.0
12,2015-01-21,52.75,52.96,52.27,52.6,2117414,32.0541030787,32.1817118303,31.7624259322,31.9629539704,2185171,0.0,1.0
13,2015-01-22,53.19,53.23,52.77,52.86,2377616,32.3214737963,32.3457802252,32.0662562931,32.1209457581,2453699,0.0,1.0
14,2015-01-23,53.54,53.8883,53.12,53.15,2373220,32.534155049,32.7458032784,32.2789375458,32.2971673674,2449163,0.0,1.0
15,2015-01-26,54.72,54.83,53.68,53.76,3580442,33.2511947008,33.3180373802,32.61922755,32.6678404078,3695016,0.0,1.0
16,2015-01-27,55.05,55.12,54.37,54.57,2853014,33.451722739,33.4942589895,33.0385134481,33.1600455925,2944310,0.0,1.0
17,2015-01-28,55.1,55.5399,54.9,55.11,2645567,33.4821057751,33.7494157266,33.3605736307,33.4881823823,2730225,0.0,1.0
18,2015-01-29,55.14,55.34,54.071,54.86,3511974,33.6212600804,33.743208793,32.9694442112,33.4505318827,3624357,0.189,1.0
