,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,27.04,27.23,26.78,27.09,2850003,20.6813984102,20.8267188872,20.4825388101,20.719640641,2850003,0.0,1.0
1,2015-01-05,26.74,26.91,26.63,26.86,3425597,20.4519450255,20.5819686102,20.3678121177,20.5437263794,3425597,0.0,1.0
2,2015-01-06,26.41,26.82,26.39,26.75,3639379,20.1995463023,20.5131325947,20.18424941,20.4595934716,3639379,0.0,1.0
3,2015-01-07,26.96,26.96,26.58,26.68,3606595,20.620210841,20.620210841,20.329569887,20.4060543485,3606595,0.0,1.0
4,2015-01-08,27.5,27.51,27.1,27.17,2748080,21.0332269335,21.0408753796,20.7272890872,20.7808282103,2748080,0.0,1.0
5,2015-01-09,26.92,27.5,26.87,27.5,4648426,20.5896170563,21.0332269335,20.5513748255,21.0332269335,4648426,0.0,1.0
6,2015-01-12,26.54,26.99,26.45,26.89,2820461,20.2989761023,20.6431561794,20.2301400869,20.5666717178,2820461,0.0,1.0
7,2015-01-13,26.5,27.05,26.445,26.77,3467765,20.2683823177,20.6890468564,20.2263158638,20.474890364,3467765,0.0,1.0
8,2015-01-14,26.03,26.44,25.955,26.4,6148876,19.9089053483,20.2224916408,19.8515420021,20.1918978561,6148876,0.0,1.0
9,2015-01-15,26.27,26.35,26.05,26.05,5021177,20.0924680561,20.1536556253,19.9242022406,19.9242022406,5021177,0.0,1.0
10,2015-01-16,26.37,26.37,25.97,26.07,4181200,20.1689525177,20.1689525177,19.8630146713,19.9394991329,4181200,0.0,1.0
11,2015-01-20,26.32,26.62,26.14,26.55,1983389,20.1307102869,20.3601636716,19.993038256,20.3066245485,1983389,0.0,1.0
12,2015-01-21,26.19,26.37,26.03,26.21,2762590,20.0312804868,20.1689525177,19.9089053483,20.0465773791,2762590,0.0,1.0
13,2015-01-22,26.69,26.75,26.17,26.39,2516503,20.4137027947,20.4595934716,20.0159835945,20.18424941,2516503,0.0,1.0
14,2015-01-23,26.49,26.77,26.48,26.73,1641282,20.2607338715,20.474890364,20.2530854254,20.4442965793,1641282,0.0,1.0
15,2015-01-26,26.87,26.89,26.35,26.47,2920957,20.5513748255,20.5666717178,20.1536556253,20.2454369792,2920957,0.0,1.0
16,2015-01-27,26.69,26.92,26.53,26.63,2349940,20.4137027947,20.5896170563,20.2913276562,20.3678121177,2349940,0.0,1.0
17,2015-01-28,26.53,27.35,26.505,27.09,5805830,20.2913276562,20.9185002411,20.2722065408,20.719640641,5805830,0.0,1.0
18,2015-01-29,26.65,26.69,26.2,26.58,3264469,20.3831090101,20.4137027947,20.038928933,20.329569887,3264469,0.0,1.0
19,2015-01-30,25.95,26.5,25.94,26.37,4914059,19.847717779,20.2683823177,19.8400693329,20.1689525177,4914059,0.0,1.0
20,2015-02-02,25.85,25.87,25.23,25.46,3720330,20.2960696928,20.3117726481,19.8092780793,19.9898620649,3720330,0.6862,1.0
21,2015-02-03,26.1,26.29,25.75,25.83,4049154,20.4923566337,20.6415347088,20.2175549164,20.2803667375,4049154,0.0,1.0
22,2015-02-04,26.1,26.275,25.97,26.0,3317144,20.4923566337,20.6297574924,20.3902874244,20.4138418574,3317144,0.0,1.0
23,2015-02-05,26.38,26.4,25.95,26.16,3472455,20.7121980076,20.7279009628,20.3745844692,20.5394654996,3472455,0.0,1.0
24,2015-02-06,26.38,26.53,26.19,26.4,3772749,20.7121980076,20.8299701721,20.5630199325,20.7279009628,3772749,0.0,1.0
25,2015-02-09,26.34,26.45,26.14,26.22,2597773,20.680792097,20.767158351,20.5237625443,20.5865743654,2597773,0.0,1.0
26,2015-02-10,26.46,26.55,26.32,26.5,2997710,20.7750098287,20.8456731274,20.6650891417,20.8064157392,2997710,0.0,1.0
27,2015-02-11,26.67,26.75,26.435,26.45,2686322,20.9398908591,21.0027026802,20.7553811346,20.767158351,2686322,0.0,1.0
28,2015-02-12,27.05,27.07,26.69,26.71,3554857,21.2382470093,21.2539499646,20.9555938143,20.9712967696,3554857,0.0,1.0
29,2015-02-13,27.11,27.15,26.89,27.02,3223421,21.2853558751,21.3167617857,21.1126233671,21.2146925764,3223421,0.0,1.0
30,2015-02-17,26.74,27.15,26.7,27.13,3355972,20.9948512025,21.3167617857,20.963445292,21.3010588304,3355972,0.0,1.0
31,2015-02-18,26.75,26.78,26.48,26.71,3402884,21.0027026802,21.0262571131,20.7907127839,20.9712967696,3402884,0.0,1.0
32,2015-02-19,26.71,26.75,26.49,26.68,2868168,20.9712967696,21.0027026802,20.7985642616,20.9477423367,2868168,0.0,1.0
33,2015-02-20,26.61,26.69,26.19,26.61,5153936,20.8927819932,20.9555938143,20.5630199325,20.8927819932,5153936,0.0,1.0
34,2015-02-23,26.56,26.6,26.38,26.6,2623829,20.853524605,20.8849305156,20.7121980076,20.8849305156,2623829,0.0,1.0
35,2015-02-24,26.62,26.7,26.47,26.53,1763457,20.9006334709,20.963445292,20.7828613063,20.8299701721,1763457,0.0,1.0
36,2015-02-25,26.57,26.69,26.52,26.66,1744529,20.8613760827,20.9555938143,20.8221186945,20.9320393814,1744529,0.0,1.0
37,2015-02-26,26.73,26.76,26.38,26.51,3034394,20.9869997249,21.0105541578,20.7121980076,20.8142672169,3034394,0.0,1.0
38,2015-02-27,26.65,26.76,26.6,26.66,2553580,20.9241879038,21.0105541578,20.8849305156,20.9320393814,2553580,0.0,1.0
39,2015-03-02,27.09,27.13,26.52,26.63,3564695,21.2696529198,21.3010588304,20.8221186945,20.9084849485,3564695,0.0,1.0
40,2015-03-03,26.79,27.04,26.655,26.93,2814357,21.0341085907,21.2303955316,20.9281136426,21.1440292776,2814357,0.0,1.0
41,2015-03-04,26.42,26.72,26.35,26.7,2581470,20.7436039181,20.9791482472,20.6886435747,20.963445292,2581470,0.0,1.0
42,2015-03-05,26.54,26.55,26.35,26.45,2208324,20.8378216498,20.8456731274,20.6886435747,20.767158351,2208324,0.0,1.0
43,2015-03-06,26.26,26.65,26.17,26.37,4490608,20.6179802759,20.9241879038,20.5473169772,20.7043465299,4490608,0.0,1.0
44,2015-03-09,26.41,26.445,26.24,26.24,1739071,20.7357524405,20.7632326122,20.6022773207,20.6022773207,1739071,0.0,1.0
45,2015-03-10,25.98,26.31,25.96,26.27,3518964,20.3981389021,20.6572376641,20.3824359468,20.6258317536,3518964,0.0,1.0
46,2015-03-11,26.32,26.38,25.92,25.98,2945755,20.6650891417,20.7121980076,20.3510300363,20.3981389021,2945755,0.0,1.0
47,2015-03-12,26.8,26.81,26.43,26.5,3331464,21.0419600683,21.049811546,20.7514553958,20.8064157392,3331464,0.0,1.0
48,2015-03-13,26.49,26.76,26.35,26.69,2464509,20.7985642616,21.0105541578,20.6886435747,20.9555938143,2464509,0.0,1.0
49,2015-03-16,26.98,26.99,26.55,26.6,3232371,21.1832866658,21.1911381435,20.8456731274,20.8849305156,3232371,0.0,1.0
50,2015-03-17,27.03,27.07,26.81,26.86,2807236,21.222544054,21.2539499646,21.049811546,21.0890689342,2807236,0.0,1.0
51,2015-03-18,27.51,27.61,26.84,26.91,5820808,21.5994149806,21.677929757,21.0733659789,21.1283263224,5820808,0.0,1.0
52,2015-03-19,27.53,27.68,27.37,27.47,4873506,21.6151179359,21.7328901004,21.4894942937,21.5680090701,4873506,0.0,1.0
53,2015-03-20,27.65,27.7,27.53,27.55,4922458,21.7093356675,21.7485930557,21.6151179359,21.6308208912,4922458,0.0,1.0
54,2015-03-23,27.68,27.9,27.62,27.68,2805968,21.7328901004,21.9056226085,21.6857812346,21.7328901004,2805968,0.0,1.0
55,2015-03-24,27.31,27.685,27.2,27.39,4542182,21.4423854279,21.7368158393,21.3560191738,21.505197249,4542182,0.0,1.0
56,2015-03-25,27.07,27.47,27.07,27.35,3203526,21.2539499646,21.5680090701,21.2539499646,21.4737913384,3203526,0.0,1.0
57,2015-03-26,26.93,27.14,26.81,26.97,3592486,21.1440292776,21.308910308,21.049811546,21.1754351882,3592486,0.0,1.0
58,2015-03-27,27.03,27.07,26.84,26.92,2296850,21.222544054,21.2539499646,21.0733659789,21.1361778,2296850,0.0,1.0
59,2015-03-30,27.37,27.48,27.12,27.12,2708851,21.4894942937,21.5758605477,21.2932073527,21.2932073527,2708851,0.0,1.0
60,2015-03-31,27.2,27.34,26.99,27.18,3159815,21.3560191738,21.4659398608,21.1911381435,21.3403162186,3159815,0.0,1.0
61,2015-04-01,26.96,27.14,26.89,27.09,5389366,21.1675837105,21.308910308,21.1126233671,21.2696529198,5389366,0.0,1.0
62,2015-04-02,26.84,27.07,26.8,27.01,3310873,21.0733659789,21.2539499646,21.0419600683,21.2068410987,3310873,0.0,1.0
63,2015-04-06,27.0,27.1,26.59,26.64,5665505,21.1989896211,21.2775043975,20.877079038,20.9163364261,5665505,0.0,1.0
64,2015-04-07,26.81,27.05,26.795,27.04,2309709,21.049811546,21.2382470093,21.0380343295,21.2303955316,2309709,0.0,1.0
65,2015-04-08,26.81,26.99,26.72,26.79,5634814,21.049811546,21.1911381435,20.9791482472,21.0341085907,5634814,0.0,1.0
66,2015-04-09,26.76,26.96,26.72,26.81,4089025,21.0105541578,21.1675837105,20.9791482472,21.049811546,4089025,0.0,1.0
67,2015-04-10,26.9,26.955,26.76,26.8,2866120,21.1204748447,21.1636579717,21.0105541578,21.0419600683,2866120,0.0,1.0
68,2015-04-13,26.83,27.06,26.79,26.9,2459963,21.0655145013,21.2460984869,21.0341085907,21.1204748447,2459963,0.0,1.0
69,2015-04-14,26.75,26.91,26.68,26.75,3383722,21.0027026802,21.1283263224,20.9477423367,21.0027026802,3383722,0.0,1.0
70,2015-04-15,27.19,27.38,26.9,27.12,5802014,21.3481676962,21.4973457713,21.1204748447,21.2932073527,5802014,0.0,1.0
71,2015-04-16,27.18,27.27,26.96,27.15,2473911,21.3403162186,21.4109795173,21.1675837105,21.3167617857,2473911,0.0,1.0
72,2015-04-17,26.75,27.03,26.63,26.95,3975702,21.0027026802,21.222544054,20.9084849485,21.1597322329,3975702,0.0,1.0
73,2015-04-20,27.09,27.15,26.83,26.94,2614425,21.2696529198,21.3167617857,21.0655145013,21.1518807553,2614425,0.0,1.0
74,2015-04-21,26.76,27.18,26.72,27.11,2598415,21.0105541578,21.3403162186,20.9791482472,21.2853558751,2598415,0.0,1.0
75,2015-04-22,26.71,26.78,26.44,26.75,4263546,20.9712967696,21.0262571131,20.7593068734,21.0027026802,4263546,0.0,1.0
76,2015-04-23,26.81,26.91,26.6,26.66,1902943,21.049811546,21.1283263224,20.8849305156,20.9320393814,1902943,0.0,1.0
77,2015-04-24,26.86,26.89,26.66,26.79,1761496,21.0890689342,21.1126233671,20.9320393814,21.0341085907,1761496,0.0,1.0
78,2015-04-27,26.58,26.99,26.56,26.99,3101758,20.8692275603,21.1911381435,20.853524605,21.1911381435,3101758,0.0,1.0
79,2015-04-28,26.74,26.805,26.48,26.51,2722178,20.9948512025,21.0458858072,20.7907127839,20.8142672169,2722178,0.0,1.0
80,2015-04-29,26.55,26.66,26.4439,26.56,2552869,20.8456731274,20.9320393814,20.7623689497,20.853524605,2552869,0.0,1.0
81,2015-04-30,26.66,26.8499,26.57,26.7,4381708,20.9320393814,21.0811389418,20.8613760827,20.963445292,4381708,0.0,1.0
82,2015-05-01,26.97,27.0,26.62,26.75,2553799,21.1754351882,21.1989896211,20.9006334709,21.0027026802,2553799,0.0,1.0
83,2015-05-04,27.14,27.16,26.91,26.99,4120242,21.308910308,21.3246132633,21.1283263224,21.1911381435,4120242,0.0,1.0
84,2015-05-05,27.09,27.205,26.98,27.11,3909618,21.2696529198,21.3599449127,21.1832866658,21.2853558751,3909618,0.0,1.0
85,2015-05-06,26.83,27.15,26.67,27.12,4108032,21.0655145013,21.3167617857,20.9398908591,21.2932073527,4108032,0.0,1.0
86,2015-05-07,26.95,27.01,26.74,26.83,3653675,21.1597322329,21.2068410987,20.9948512025,21.0655145013,3653675,0.0,1.0
87,2015-05-08,27.14,27.25,27.055,27.15,2582615,21.308910308,21.395276562,21.2421727481,21.3167617857,2582615,0.0,1.0
88,2015-05-11,27.06,27.17,26.96,27.05,2633018,21.2460984869,21.3324647409,21.1675837105,21.2382470093,2633018,0.0,1.0
89,2015-05-12,26.97,27.005,26.8,26.92,3547710,21.1754351882,21.2029153599,21.0419600683,21.1361778,3547710,0.0,1.0
90,2015-05-13,27.0,27.07,26.81,26.96,2179960,21.1989896211,21.2539499646,21.049811546,21.1675837105,2179960,0.0,1.0
91,2015-05-14,27.39,27.4,27.0,27.14,2926616,21.505197249,21.5130487266,21.1989896211,21.308910308,2926616,0.0,1.0
92,2015-05-15,27.23,27.55,27.17,27.41,5154062,21.3795736068,21.6308208912,21.3324647409,21.5209002042,5154062,0.0,1.0
93,2015-05-18,27.25,27.3,27.12,27.25,3068322,21.395276562,21.4345339502,21.2932073527,21.395276562,3068322,0.0,1.0
94,2015-05-19,27.27,27.32,27.15,27.31,2889793,21.4109795173,21.4502369055,21.3167617857,21.4423854279,2889793,0.0,1.0
95,2015-05-20,27.32,27.45,27.21,27.41,3617046,21.4502369055,21.5523061148,21.3638706515,21.5209002042,3617046,0.0,1.0
96,2015-05-21,27.35,27.42,27.16,27.23,2413350,21.4737913384,21.5287516819,21.3246132633,21.3795736068,2413350,0.0,1.0
97,2015-05-22,27.28,27.5,27.26,27.35,2635433,21.4188309949,21.591563503,21.4031280397,21.4737913384,2635433,0.0,1.0
98,2015-05-26,27.1,27.325,27.07,27.24,4486003,21.2775043975,21.4541626443,21.2539499646,21.3874250844,4486003,0.0,1.0
99,2015-05-27,27.27,27.3,27.08,27.22,1799965,21.4109795173,21.4345339502,21.2618014422,21.3717221291,1799965,0.0,1.0
100,2015-05-28,27.42,27.43,27.16,27.18,6090268,21.5287516819,21.5366031595,21.3246132633,21.3403162186,6090268,0.0,1.0
101,2015-05-29,27.34,27.43,27.21,27.37,10815654,21.4659398608,21.5366031595,21.3638706515,21.4894942937,10815654,0.0,1.0
102,2015-06-01,27.34,27.495,27.301,27.43,4661742,21.4659398608,21.5876377641,21.435319098,21.5366031595,4661742,0.0,1.0
103,2015-06-02,27.38,27.52,27.24,27.24,4569749,21.4973457713,21.6072664582,21.3874250844,21.3874250844,4569749,0.0,1.0
104,2015-06-03,27.59,27.59,27.35,27.48,2999336,21.6622268017,21.6622268017,21.4737913384,21.5758605477,2999336,0.0,1.0
105,2015-06-04,27.27,27.525,27.22,27.44,4997735,21.4109795173,21.6111921971,21.3717221291,21.5444546371,4997735,0.0,1.0
106,2015-06-05,27.31,27.45,27.1895,27.38,6964304,21.4423854279,21.5523061148,21.3477751223,21.4973457713,6964304,0.0,1.0
107,2015-06-08,27.08,27.37,27.06,27.26,5832050,21.2618014422,21.4894942937,21.2460984869,21.4031280397,5832050,0.0,1.0
108,2015-06-09,26.98,27.07,26.88,27.03,5192168,21.1832866658,21.2539499646,21.1047718894,21.222544054,5192168,0.0,1.0
109,2015-06-10,27.57,27.59,27.05,27.11,5261710,21.6465238464,21.6622268017,21.2382470093,21.2853558751,5261710,0.0,1.0
110,2015-06-11,27.83,27.87,27.54,27.6,2410090,21.850662265,21.8820681756,21.6229694135,21.6700782793,2410090,0.0,1.0
111,2015-06-12,27.77,27.82,27.62,27.77,2001337,21.8035533992,21.8428107874,21.6857812346,21.8035533992,2001337,0.0,1.0
112,2015-06-15,27.59,27.72,27.48,27.56,3370469,21.6622268017,21.764296011,21.5758605477,21.6386723688,3370469,0.0,1.0
113,2015-06-16,27.71,27.785,27.48,27.55,2028911,21.7564445334,21.8153306156,21.5758605477,21.6308208912,2028911,0.0,1.0
