,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,21.26,21.62,20.84,21.59,5481666,18.594657415,18.9095246149,18.2273123485,18.8832856815,5481666,0.0,1.0
1,2015-01-05,20.95,21.19,20.81,21.19,5094079,18.3235217706,18.5334332372,18.2010734151,18.5334332372,5094079,0.0,1.0
2,2015-01-06,20.7,21.06,20.589,21.05,6824675,18.1048639929,18.4197311928,18.0077799397,18.4109848817,6824675,0.0,1.0
3,2015-01-07,21.72,22.12,20.84,20.88,11698888,18.9969877259,19.3468401702,18.2273123485,18.2622975929,11698888,0.0,1.0
4,2015-01-08,22.39,22.4,21.9,21.92,9436489,19.5829905702,19.5917368813,19.1544213259,19.1719139481,9436489,0.0,1.0
5,2015-01-09,22.64,22.82,22.36,22.48,6628369,19.8016483478,19.9590819478,19.5567516368,19.6617073701,6628369,0.0,1.0
6,2015-01-12,22.69,22.845,22.33,22.68,6798383,19.8453799034,19.9809477256,19.5305127035,19.8366335923,6798383,0.0,1.0
7,2015-01-13,22.13,23.28,21.675,23.1,11171120,19.3555864814,20.3614122587,18.957629326,20.2039786588,11171120,0.0,1.0
8,2015-01-14,22.23,22.39,21.75,21.87,6075446,19.4430495924,19.5829905702,19.0232266593,19.1281823926,6075446,0.0,1.0
9,2015-01-15,21.03,22.58,20.74,22.25,10701641,18.3934922595,19.7491704812,18.1398492374,19.4605422146,10701641,0.0,1.0
10,2015-01-16,21.57,21.61,20.27,20.95,10363797,18.8657930593,18.9007783038,17.7287726153,18.3235217706,10363797,0.0,1.0
11,2015-01-20,20.8,21.29,20.38,21.22,8206740,18.192327104,18.6208963483,17.8249820375,18.5596721705,8206740,0.0,1.0
12,2015-01-21,21.01,21.27,20.79,20.85,5478771,18.3759996373,18.6034037261,18.1835807929,18.2360586596,5478771,0.0,1.0
13,2015-01-22,20.93,21.2,20.78,21.12,5411796,18.3060291484,18.5421795483,18.1748344818,18.4722090595,5411796,0.0,1.0
14,2015-01-23,20.69,21.08,20.58,20.99,5026909,18.0961176818,18.437223815,17.9999082597,18.3585070151,5026909,0.0,1.0
15,2015-01-26,21.21,21.25,20.79,20.95,6081767,18.5509258594,18.5859111039,18.1835807929,18.3235217706,6081767,0.0,1.0
16,2015-01-27,20.96,21.15,20.77,20.94,6191456,18.3322680817,18.4984479928,18.1660881707,18.3147754595,6191456,0.0,1.0
17,2015-01-28,20.58,21.18,20.55,21.09,10193292,17.9999082597,18.5246869261,17.9736693263,18.4459701261,10193292,0.0,1.0
18,2015-01-29,21.82,21.96,20.72,20.88,11779032,19.084450837,19.2068991925,18.1223566152,18.2622975929,11779032,0.0,1.0
19,2015-01-30,20.59,21.45,20.23,21.4,18817290,18.0086545708,18.760837326,17.6937873709,18.7171057705,18817290,0.0,1.0
20,2015-02-02,20.56,20.81,20.16,20.63,7245711,17.9824156374,18.2010734151,17.6325631931,18.0436398152,7245711,0.0,1.0
21,2015-02-03,21.09,21.2,20.54,20.55,6874282,18.4459701261,18.5421795483,17.9649230152,17.9736693263,6874282,0.0,1.0
22,2015-02-04,21.59,21.88,21.03,21.04,8005792,18.8832856815,19.1369287037,18.3934922595,18.4022385706,8005792,0.0,1.0
23,2015-02-05,21.48,21.8,21.16,21.54,5515388,18.7870762593,19.0669582148,18.5071943039,18.839554126,5515388,0.0,1.0
24,2015-02-06,22.26,22.49,21.53,21.55,12547965,19.4692885258,19.6704536812,18.8308078149,18.8483004371,12547965,0.0,1.0
25,2015-02-09,22.32,22.48,22.23,22.27,4736984,19.5217663924,19.6617073701,19.4430495924,19.4780348369,4736984,0.0,1.0
26,2015-02-10,22.77,22.85,22.3,22.49,7324832,19.9153503922,19.9853208811,19.5042737702,19.6704536812,7324832,0.0,1.0
27,2015-02-11,22.41,22.99,22.25,22.84,6588395,19.6004831924,20.1077692366,19.4605422146,19.97657457,6588395,0.0,1.0
28,2015-02-12,22.87,22.91,22.37,22.48,3248317,20.0028135033,20.0377987478,19.5654979479,19.6617073701,3248317,0.0,1.0
29,2015-02-13,22.89,22.9,22.45,22.77,5395776,20.0203061255,20.0290524366,19.6354684368,19.9153503922,5395776,0.0,1.0
30,2015-02-17,22.92,22.935,22.45,22.68,4648809,20.0465450589,20.0596645255,19.6354684368,19.8366335923,4648809,0.0,1.0
31,2015-02-18,22.71,22.95,22.475,22.92,4049337,19.8628725256,20.0727839922,19.6573342146,20.0465450589,4049337,0.0,1.0
32,2015-02-19,22.71,22.97,22.62,22.76,3106883,19.8628725256,20.0902766144,19.7841557256,19.9066040811,3106883,0.0,1.0
33,2015-02-20,22.75,22.79,22.45,22.65,3237748,19.89785777,19.9328430145,19.6354684368,19.810394659,3237748,0.0,1.0
34,2015-02-23,22.58,22.9,22.32,22.73,3610798,19.7491704812,20.0290524366,19.5217663924,19.8803651478,3610798,0.0,1.0
35,2015-02-24,23.24,23.36,22.73,22.92,6493529,20.3264270143,20.4313827476,19.8803651478,20.0465450589,6493529,0.0,1.0
36,2015-02-25,22.93,23.35,22.8,23.26,3769200,20.05529137,20.4226364365,19.9415893256,20.3439196365,3769200,0.0,1.0
37,2015-02-26,22.66,22.919,22.41,22.84,3991644,19.8191409701,20.0456704277,19.6004831924,19.97657457,3991644,0.0,1.0
38,2015-02-27,22.56,22.78,22.45,22.62,3258871,19.731677859,19.9240967034,19.6354684368,19.7841557256,3258871,0.0,1.0
39,2015-03-02,22.43,22.755,22.29,22.63,4308900,19.6179758146,19.9022309256,19.4955274591,19.7929020367,4308900,0.0,1.0
40,2015-03-03,21.78,22.3,21.43,22.27,11055065,19.0494655926,19.5042737702,18.7433447038,19.4780348369,11055065,0.0,1.0
41,2015-03-04,22.15,22.265,21.67,21.72,4038294,19.3730791036,19.4736616813,18.9532561704,18.9969877259,4038294,0.0,1.0
42,2015-03-05,22.24,22.265,22.05,22.24,2881815,19.4517959035,19.4736616813,19.2856159925,19.4517959035,2881815,0.0,1.0
43,2015-03-06,21.22,22.06,20.98,22.06,8504717,18.5596721705,19.2943623036,18.349760704,19.2943623036,8504717,0.0,1.0
44,2015-03-09,21.35,21.62,21.31,21.55,3949554,18.6733742149,18.9095246149,18.6383889705,18.8483004371,3949554,0.0,1.0
45,2015-03-10,21.04,21.33,21.04,21.14,3506619,18.4722090595,18.7268165037,18.4722090595,18.5600047299,3506619,0.08,1.0
46,2015-03-11,21.17,21.37,20.955,21.14,2857386,18.586343431,18.7619347719,18.3975827396,18.5600047299,2857386,0.0,1.0
47,2015-03-12,21.28,21.58,21.16,21.2,3541018,18.6829186685,18.9463056798,18.577563864,18.6126821322,3541018,0.0,1.0
48,2015-03-13,21.05,21.39,20.97,21.16,3968845,18.4809886265,18.779493906,18.4107520902,18.577563864,3968845,0.0,1.0
49,2015-03-16,21.07,21.35,20.95,21.17,3276710,18.4985477606,18.7443756378,18.3931929561,18.586343431,3276710,0.0,1.0
50,2015-03-17,20.95,21.0,20.59,20.98,5247919,18.3931929561,18.4370907913,18.0771285425,18.4195316572,5247919,0.0,1.0
51,2015-03-18,21.31,21.47,20.66,20.99,5680014,18.7092573696,18.8497304423,18.1385855118,18.4283112243,5680014,0.0,1.0
52,2015-03-19,21.37,21.69,21.11,21.5,3824897,18.7619347719,19.0428809173,18.5336660288,18.8760691435,3824897,0.0,1.0
53,2015-03-20,21.77,22.14,21.56,21.58,5050328,19.1131174536,19.4379614343,18.9287465457,18.9463056798,5050328,0.0,1.0
54,2015-03-23,21.54,21.97,21.54,21.76,3013219,18.9111874116,19.2887087945,18.9111874116,19.1043378866,3013219,0.0,1.0
55,2015-03-24,21.94,22.3,21.35,21.56,4952775,19.2623700934,19.578434507,18.7443756378,18.9287465457,4952775,0.0,1.0
56,2015-03-25,21.6,22.13,21.59,22.0,3178002,18.9638648139,19.4291818672,18.9550852469,19.3150474956,3178002,0.0,1.0
57,2015-03-26,21.52,21.72,21.4,21.52,3477525,18.8936282776,19.0692196184,18.788273473,18.8936282776,3477525,0.0,1.0
58,2015-03-27,22.02,22.21,21.51,21.53,7100460,19.3326066297,19.4994184036,18.8848487105,18.9024078446,7100460,0.0,1.0
59,2015-03-30,22.44,22.65,22.11,22.24,4119898,19.7013484456,19.8857193535,19.4116227331,19.5257571047,4119898,0.0,1.0
60,2015-03-31,22.23,22.77,22.15,22.41,6007557,19.5169775376,19.991074158,19.4467410013,19.6750097444,6007557,0.0,1.0
61,2015-04-01,22.29,22.32,21.95,22.27,4487699,19.5696549399,19.595993641,19.2711496604,19.5520958058,4487699,0.0,1.0
62,2015-04-02,22.7,22.72,22.24,22.27,3495378,19.9296171887,19.9471763228,19.5257571047,19.5520958058,3495378,0.0,1.0
63,2015-04-06,22.67,22.95,22.55,22.63,3016422,19.9032784876,20.1491063648,19.797923683,19.8681602194,3016422,0.0,1.0
64,2015-04-07,22.17,22.7,22.125,22.67,4261830,19.4643001354,19.9296171887,19.4247920837,19.9032784876,4261830,0.0,1.0
65,2015-04-08,22.47,22.505,22.16,22.2,3313616,19.7276871467,19.7584156313,19.4555205683,19.4906388365,3313616,0.0,1.0
66,2015-04-09,22.31,22.42,21.82,21.99,6233228,19.587214074,19.6837893115,19.1570152889,19.3062679286,6233228,0.0,1.0
67,2015-04-10,22.32,22.43,22.04,22.31,3098108,19.595993641,19.6925688785,19.3501657638,19.587214074,3098108,0.0,1.0
68,2015-04-13,22.23,22.53,22.2,22.38,2905670,19.5169775376,19.780364549,19.4906388365,19.6486710433,2905670,0.0,1.0
69,2015-04-14,22.54,22.58,22.07,22.26,3219285,19.789144116,19.8242623842,19.376504465,19.5433162388,3219285,0.0,1.0
70,2015-04-15,22.78,22.9,22.5,22.65,3565021,19.999853725,20.1052085296,19.7540258478,19.8857193535,3565021,0.0,1.0
71,2015-04-16,22.34,22.65,22.205,22.65,4059324,19.6135527751,19.8857193535,19.49502862,19.8857193535,4059324,0.0,1.0
72,2015-04-17,22.19,22.26,21.705,22.11,5245057,19.4818592695,19.5433162388,19.0560502679,19.4116227331,5245057,0.0,1.0
73,2015-04-20,21.9,22.42,21.7,22.3,4519062,19.2272518252,19.6837893115,19.0516604843,19.578434507,4519062,0.0,1.0
74,2015-04-21,22.21,22.37,21.95,21.95,5060619,19.4994184036,19.6398914763,19.2711496604,19.2711496604,5060619,0.0,1.0
75,2015-04-22,21.69,22.2,21.455,22.18,7439984,19.0428809173,19.4906388365,18.8365610918,19.4730797024,7439984,0.0,1.0
76,2015-04-23,19.97,20.74,19.65,20.52,27580445,17.5327953858,18.2088220482,17.2518492404,18.0156715732,27580445,0.0,1.0
