,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,90.82,92.1,89.88,91.84,2083710,66.1305258944,67.0625570896,65.4460654855,66.873238253,2083710,0.0,1.0
1,2015-01-05,88.04,90.6297,88.02,90.21,3416689,64.1062706424,65.9919590691,64.091707655,65.686354778,3416689,0.0,1.0
2,2015-01-06,85.76,89.32,85.38,88.35,4422103,62.446090076,65.0383018376,62.169393315,64.3319969475,4422103,0.0,1.0
3,2015-01-07,86.75,87.27,86.09,86.81,2249154,63.1669579535,63.5455956266,62.6863793685,63.2106469158,2249154,0.0,1.0
4,2015-01-08,88.42,88.59,87.45,87.49,2124191,64.3829674035,64.5067527966,63.6766625134,63.7057884882,2124191,0.0,1.0
5,2015-01-09,86.77,88.46,86.61,88.43,2318328,63.181520941,64.4120933783,63.0650170416,64.3902488972,2318328,0.0,1.0
6,2015-01-12,86.16,86.96,85.85,86.68,2543965,62.7373498245,63.3198693215,62.5116235194,63.1159874975,2543965,0.0,1.0
7,2015-01-13,84.52,87.01,84.14,86.15,3591416,61.8926965539,63.7160852716,61.6144283962,63.0863204936,3591416,0.48,1.0
8,2015-01-14,83.0,83.98,81.84,83.17,6015413,60.779623923,61.4972628561,59.9301737573,60.9041123094,6015413,0.0,1.0
9,2015-01-15,82.42,83.39,82.07,82.62,4736968,60.3548988402,61.065214927,60.0985992212,60.5013557653,4736968,0.0,1.0
10,2015-01-16,84.44,84.91,82.6,82.87,4162317,61.8341137838,62.1782875579,60.4867100728,60.6844269217,4162317,0.0,1.0
11,2015-01-20,84.62,85.45,84.12,84.73,5253615,61.9659250164,62.5737212557,61.5997827037,62.0464763253,5253615,0.0,1.0
12,2015-01-21,84.78,85.55,83.66,83.94,3550188,62.0830905565,62.6469497182,61.2629317759,61.4679714711,3550188,0.0,1.0
13,2015-01-22,87.06,87.31,85.095,85.31,3769937,63.7526995029,63.9357706593,62.3137602136,62.4712014081,3769937,0.0,1.0
14,2015-01-23,86.28,87.23,86.25,86.78,2841319,63.1815174949,63.8771878892,63.1595489561,63.5476598077,2841319,0.0,1.0
15,2015-01-26,86.78,86.85,85.737,86.0,1860919,63.5476598077,63.5989197315,62.7838869432,62.9764777997,1860919,0.0,1.0
16,2015-01-27,85.5,86.28,85.19,85.76,2218579,62.610335487,63.1815174949,62.383327253,62.8007294896,2218579,0.0,1.0
17,2015-01-28,83.65,86.23,83.62,85.96,2668381,61.2556089296,63.1449032636,61.2336403909,62.9471864147,2668381,0.0,1.0
18,2015-01-29,85.54,85.54,83.58,83.65,3586761,62.639626872,62.639626872,61.2043490058,61.2556089296,3586761,0.0,1.0
19,2015-01-30,84.54,85.81,84.18,84.45,4301174,61.9073422464,62.8373437209,61.6437197812,61.8414366301,4301174,0.0,1.0
20,2015-02-02,86.18,86.39,84.29,85.01,2625712,63.1082890323,63.2620688037,61.72427109,62.2515160204,2625712,0.0,1.0
21,2015-02-03,87.61,87.695,86.58,86.69,2546125,64.1554560469,64.2177002401,63.4012028826,63.4817541914,2546125,0.0,1.0
22,2015-02-04,87.75,88.46,87.23,87.23,3292890,64.2579758945,64.7778979787,63.8771878892,63.8771878892,3292890,0.0,1.0
23,2015-02-05,88.82,88.93,87.77,87.88,2571860,65.0415204439,65.1220717527,64.272621587,64.3531728958,2571860,0.0,1.0
24,2015-02-06,90.44,91.79,89.8,90.13,3618653,66.2278215373,67.2164057818,65.7591593769,66.0008133034,3618653,0.0,1.0
25,2015-02-09,89.51,90.33,89.36,89.5,2212836,65.5467968355,66.1472702285,65.4369541417,65.5394739893,2212836,0.0,1.0
26,2015-02-10,90.2,90.55,89.45,90.27,1485638,66.0520732272,66.3083728461,65.502859758,66.103333151,1485638,0.0,1.0
27,2015-02-11,89.79,90.0276,89.23,89.86,1515042,65.7518365307,65.9258273577,65.3417571404,65.8030964545,1515042,0.0,1.0
28,2015-02-12,91.56,91.56,89.88,90.3,2227811,67.047980318,67.047980318,65.817742147,66.1253016897,2227811,0.0,1.0
