,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,45.18,46.9099,44.88,46.08,401100,45.18,46.9099,44.88,46.08,401100,0.0,1.0
1,2015-01-05,45.09,45.75,44.85,44.85,525100,45.09,45.75,44.85,44.85,525100,0.0,1.0
2,2015-01-06,43.49,46.31,43.43,45.36,654700,43.49,46.31,43.43,45.36,654700,0.0,1.0
3,2015-01-07,44.53,44.55,43.81,43.95,545600,44.53,44.55,43.81,43.95,545600,0.0,1.0
4,2015-01-08,40.52,41.97,39.76,41.35,3503100,40.52,41.97,39.76,41.35,3503100,0.0,1.0
5,2015-01-09,41.29,41.7108,40.37,40.38,608600,41.29,41.7108,40.37,40.38,608600,0.0,1.0
6,2015-01-12,40.65,41.8,40.42,41.39,619300,40.65,41.8,40.42,41.39,619300,0.0,1.0
7,2015-01-13,40.05,41.39,39.775,41.07,681900,40.05,41.39,39.775,41.07,681900,0.0,1.0
8,2015-01-14,38.5,39.33,38.42,38.78,1336900,38.5,39.33,38.42,38.78,1336900,0.0,1.0
9,2015-01-15,31.86,33.3,27.02,31.31,7363700,31.86,33.3,27.02,31.31,7363700,0.0,1.0
10,2015-01-16,33.09,33.64,31.74,31.74,1137900,33.09,33.64,31.74,31.74,1137900,0.0,1.0
11,2015-01-20,33.63,33.91,33.0,33.09,602100,33.63,33.91,33.0,33.09,602100,0.0,1.0
12,2015-01-21,32.93,33.88,32.8,33.41,501600,32.93,33.88,32.8,33.41,501600,0.0,1.0
13,2015-01-22,32.63,33.49,32.26,33.26,921600,32.63,33.49,32.26,33.26,921600,0.0,1.0
14,2015-01-23,32.22,32.89,32.12,32.67,628700,32.22,32.89,32.12,32.67,628700,0.0,1.0
15,2015-01-26,31.3,31.81,30.93,31.69,1403000,31.3,31.81,30.93,31.69,1403000,0.0,1.0
16,2015-01-27,31.31,31.41,30.6,30.98,988300,31.31,31.41,30.6,30.98,988300,0.0,1.0
17,2015-01-28,30.18,31.84,30.15,31.58,989700,30.18,31.84,30.15,31.58,989700,0.0,1.0
18,2015-01-29,30.01,30.67,29.8,30.35,945300,30.01,30.67,29.8,30.35,945300,0.0,1.0
19,2015-01-30,29.39,30.24,29.03,29.73,1081800,29.39,30.24,29.03,29.73,1081800,0.0,1.0
20,2015-02-02,29.76,30.95,29.175,30.27,985400,29.76,30.95,29.175,30.27,985400,0.0,1.0
21,2015-02-03,29.84,30.0,29.6,29.9,542700,29.84,30.0,29.6,29.9,542700,0.0,1.0
22,2015-02-04,29.68,29.97,29.5,29.61,552100,29.68,29.97,29.5,29.61,552100,0.0,1.0
23,2015-02-05,30.36,30.5,29.69,29.69,876200,30.36,30.5,29.69,29.69,876200,0.0,1.0
24,2015-02-06,30.87,31.01,30.12,30.4,499200,30.87,31.01,30.12,30.4,499200,0.0,1.0
25,2015-02-09,30.58,31.0,30.5,30.8,828800,30.58,31.0,30.5,30.8,828800,0.0,1.0
26,2015-02-10,30.63,30.94,30.1,30.81,475100,30.63,30.94,30.1,30.81,475100,0.0,1.0
27,2015-02-11,31.43,31.66,30.44,30.63,771600,31.43,31.66,30.44,30.63,771600,0.0,1.0
28,2015-02-12,32.07,32.11,31.02,31.35,808100,32.07,32.11,31.02,31.35,808100,0.0,1.0
29,2015-02-13,32.0,32.36,31.65,31.99,600400,32.0,32.36,31.65,31.99,600400,0.0,1.0
30,2015-02-17,32.36,32.42,31.31,31.86,548600,32.36,32.42,31.31,31.86,548600,0.0,1.0
31,2015-02-18,31.45,31.815,30.53,31.46,1087900,31.45,31.815,30.53,31.46,1087900,0.0,1.0
32,2015-02-19,31.88,32.09,31.16,31.46,614800,31.88,32.09,31.16,31.46,614800,0.0,1.0
33,2015-02-20,31.985,32.31,31.56,31.86,451800,31.985,32.31,31.56,31.86,451800,0.0,1.0
34,2015-02-23,32.06,32.38,31.92,32.03,526500,32.06,32.38,31.92,32.03,526500,0.0,1.0
35,2015-02-24,32.64,33.29,31.74,32.0,990200,32.64,33.29,31.74,32.0,990200,0.0,1.0
36,2015-02-25,33.24,33.35,32.64,32.71,618500,33.24,33.35,32.64,32.71,618500,0.0,1.0
37,2015-02-26,32.91,33.79,32.55,32.55,588400,32.91,33.79,32.55,32.55,588400,0.0,1.0
