,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,187.23,187.63,185.05,185.35,415403,126.1603140168,126.4298441434,124.6913748267,124.8935224217,415403,0.0,1.0
1,2015-01-05,188.11,188.91,186.17,186.82,481883,126.7532802954,127.2923405486,125.4460591813,125.884045637,481883,0.0,1.0
2,2015-01-06,191.32,191.8,189.19,189.79,642780,128.9162595615,129.2396957134,127.4810116372,127.8853068272,642780,0.0,1.0
3,2015-01-07,195.24,195.53,190.67,191.8,734201,131.5576548023,131.7530641441,128.4782731057,129.2396957134,734201,0.0,1.0
4,2015-01-08,197.9,198.56,194.71,195.82,893929,133.3500301443,133.7947548533,131.2005273846,131.9484734859,893929,0.0,1.0
5,2015-01-09,198.5,198.77,195.63,198.4,604210,133.7543253343,133.9362581697,131.8204466758,133.6869428026,604210,0.0,1.0
6,2015-01-12,198.15,199.28,197.93,198.52,404385,133.5184864735,134.2799090812,133.3702449038,133.7678018406,404385,0.0,1.0
7,2015-01-13,198.92,200.4,198.2,198.75,769870,134.0373319672,135.0345934357,133.5521777393,133.9227816634,769870,0.0,1.0
8,2015-01-14,198.82,199.482,197.01,197.98,608386,133.9699494356,134.4160217951,132.7503256126,133.4039361697,608386,0.0,1.0
9,2015-01-15,199.44,201.14,198.55,199.28,720885,134.3877211318,135.5332241699,133.7880166001,134.2799090812,720885,0.0,1.0
10,2015-01-16,202.25,202.65,198.5601,199.82,609581,136.2811702713,136.5507003979,133.7948222358,134.6437747521,609581,0.0,1.0
11,2015-01-20,202.58,203.7799,201.82,203.36,555231,136.5035326258,137.3120556231,135.9914253852,137.0291163727,555231,0.0,1.0
12,2015-01-21,201.01,202.09,200.175,201.72,559309,135.4456268788,136.1733582207,134.8829827395,135.9240428535,559309,0.0,1.0
13,2015-01-22,205.22,205.45,201.05,201.46,767957,138.2824314614,138.4374112843,135.4725798915,135.7488482712,767957,0.0,1.0
14,2015-01-23,202.75,206.1608,202.17,204.08,536572,136.6180829296,138.9163663193,136.227264246,137.5142706006,536572,0.0,1.0
15,2015-01-26,204.39,204.505,201.54,202.73,516031,137.7231564487,137.8006463601,135.8027542966,136.6046064233,516031,0.0,1.0
16,2015-01-27,204.67,206.14,203.08,203.64,443017,137.9118275374,138.9023507527,136.840445284,137.2177874613,443017,0.0,1.0
17,2015-01-28,202.76,206.915,202.68,205.5,467964,136.6248211827,139.424565373,136.5709151574,138.4711025501,467964,0.0,1.0
18,2015-01-29,204.19,204.41,201.59,202.66,333298,137.5883913854,137.736632955,135.8364455624,136.5574386511,333298,0.0,1.0
19,2015-01-30,200.84,203.87,200.74,203.38,1259767,135.331076575,137.3727672841,135.2636940433,137.042592879,1259767,0.0,1.0
20,2015-02-02,201.75,202.125,197.82,201.01,628557,135.944257613,136.1969421067,133.296124119,135.4456268788,628557,0.0,1.0
21,2015-02-03,203.03,203.06,200.06,201.87,663243,136.8067540182,136.8269687777,134.8054928281,136.025116651,663243,0.0,1.0
22,2015-02-04,202.66,203.3,200.51,202.06,679587,136.5574386511,136.9886868537,135.1087142205,136.1531434612,679587,0.0,1.0
23,2015-02-05,206.76,206.81,202.57,202.72,639525,139.3201224489,139.3538137148,136.4967943726,136.5978681701,639525,0.0,1.0
24,2015-02-06,204.47,206.17,202.96,206.12,1871625,137.777062474,138.9225655122,136.7595862461,138.8888742463,1871625,0.0,1.0
25,2015-02-09,202.6,204.63,202.29,204.25,781287,136.5170091321,137.8848745247,136.308123284,137.6288209044,781287,0.0,1.0
26,2015-02-10,203.68,204.1,201.705,203.65,657751,137.244740474,137.5277471069,135.9139354738,137.2245257145,657751,0.0,1.0
27,2015-02-11,202.83,204.92,201.81,204.18,737581,136.6719889549,138.0802838665,135.984687132,137.5816531322,737581,0.0,1.0
28,2015-02-12,203.79,204.17,201.68,202.69,459981,137.3188612588,137.5749148791,135.8970898409,136.5776534106,459981,0.0,1.0
29,2015-02-13,202.61,203.46,201.1,203.46,447598,136.5237473853,137.0964989043,135.5062711573,137.0964989043,447598,0.0,1.0
30,2015-02-17,203.13,204.09,201.96,202.75,724490,136.8741365499,137.5210088538,136.0857609295,136.6180829296,724490,0.0,1.0
31,2015-02-18,203.16,203.58,200.835,203.28,508179,136.8943513094,137.1773579423,135.3277074484,136.9752103474,508179,0.0,1.0
32,2015-02-19,198.79,202.55,198.34,202.13,749362,133.9497346761,136.4833178663,133.6465132836,136.2003112333,749362,0.0,1.0
33,2015-02-20,200.18,201.71,198.79,199.87,950271,134.8863518661,135.9173046004,133.9497346761,134.6774660179,950271,0.0,1.0
34,2015-02-23,201.01,201.71,199.43,200.56,611563,135.4456268788,135.9173046004,134.3809828787,135.1424054863,611563,0.0,1.0
35,2015-02-24,198.5,200.9,198.28,200.14,571142,133.7543253343,135.371506094,133.6060837646,134.8593988534,571142,0.0,1.0
36,2015-02-25,198.28,199.84,197.41,198.17,498627,133.6060837646,134.6572512584,133.0198557392,133.5319629798,498627,0.0,1.0
37,2015-02-26,196.76,198.59,196.03,198.15,452127,132.5818692835,133.8149696128,132.0899768024,133.5184864735,452127,0.0,1.0
38,2015-02-27,197.22,197.74,195.3801,197.09,626222,132.8918289291,133.2422180937,131.6520577292,132.8042316379,626222,0.0,1.0
39,2015-03-02,197.55,199.67,195.95,195.95,635791,133.1141912835,134.5427009546,132.0360707771,132.0360707771,635791,0.0,1.0
40,2015-03-03,196.92,197.48,195.52,197.36,473897,132.6896813341,133.0670235114,131.746325891,132.9861644734,473897,0.0,1.0
41,2015-03-04,195.18,197.3,194.77,196.71,597809,131.5172252833,132.9457349544,131.2409569035,132.5481780176,597809,0.0,1.0
42,2015-03-05,195.6,196.82,194.04,195.22,499303,131.8002319163,132.6222988025,130.7490644225,131.544178296,499303,0.0,1.0
43,2015-03-06,188.15,192.39,187.83,192.05,1066207,126.780233308,129.6372526502,126.5646092067,129.4081520425,1066207,0.0,1.0
44,2015-03-09,187.96,190.785,187.93,189.01,749451,126.6522064979,128.5557630171,126.6319917384,127.3597230802,749451,0.0,1.0
45,2015-03-10,186.65,188.47,186.01,187.65,876019,125.7694953332,126.9958574093,125.3382471306,126.4433206497,876019,0.0,1.0
46,2015-03-11,185.86,188.22,185.2,186.45,1021720,125.2371733331,126.8274010802,124.7924486242,125.6347302699,1021720,0.0,1.0
47,2015-03-12,188.23,188.42,185.61,185.71,776266,127.7774947765,127.9064738128,125.9989417493,126.0668254526,776266,1.4,1.0
48,2015-03-13,188.83,189.19,186.63,188.5,644615,128.1847969965,128.4291783285,126.6913555232,127.9607807755,644615,0.0,1.0
49,2015-03-16,190.77,191.53,189.14,189.14,624901,129.5017408411,130.0176569864,128.3952364768,128.3952364768,624901,0.0,1.0
