,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,262.44,264.94,260.34,262.18,566944,79.4680965389,80.2251085849,78.8322064203,79.3893672861,1700832,0.0,1.0
1,2015-01-05,261.66,262.49,259.78,260.15,722874,79.2319087805,79.4832367798,78.662635722,78.7746735048,2168622,0.0,1.0
2,2015-01-06,260.87,264.44,259.11,261.06,710957,78.992692974,80.0737061757,78.4597564936,79.0502258895,2132871,0.0,1.0
3,2015-01-07,265.32,265.38,261.0,262.82,829078,80.3401744159,80.358342705,79.0320576004,79.5831623699,2487234,0.0,1.0
4,2015-01-08,272.58,273.59,265.59,266.02,1079297,82.5385373974,82.844370264,80.4219317168,80.5521377887,3237891,0.0,1.0
5,2015-01-09,274.42,275.54,271.01,272.95,969413,83.0956982632,83.4348396598,82.0631338325,82.6505751802,2908239,0.0,1.0
6,2015-01-12,271.1,274.17,270.89,273.24,903807,82.0903862662,83.0199970586,82.0267972543,82.7383885775,2711421,0.0,1.0
7,2015-01-13,269.14,274.26,266.955,274.26,788245,81.4968888221,83.0472494923,80.8352602939,83.0472494923,2364735,0.0,1.0
8,2015-01-14,269.22,269.82,265.49,265.49,694561,81.5211132076,81.7027960986,80.391651235,80.391651235,2083683,0.0,1.0
9,2015-01-15,270.59,273.24,268.33,271.25,721755,81.9359558088,82.7383885775,81.2516169192,82.1358069889,2165265,0.0,1.0
10,2015-01-16,273.82,274.55,269.665,271.48,835816,82.9140153722,83.1350628896,81.6558613518,82.2054520972,2507448,0.0,1.0
11,2015-01-20,272.51,276.23,270.39,273.68,639255,82.5173410601,83.6437749845,81.8753948451,82.8716226976,1917765,0.0,1.0
12,2015-01-21,273.22,275.39,271.96,273.14,550361,82.7323324812,83.3894189371,82.35079841,82.7081080957,1651083,0.0,1.0
13,2015-01-22,277.11,277.29,272.77,275.49,595245,83.9102432247,83.964748092,82.5960703129,83.4196994189,1785735,0.0,1.0
14,2015-01-23,274.01,277.12,273.3,277.07,484208,82.9715482877,83.9132712729,82.7565568666,83.898131032,1452624,0.0,1.0
15,2015-01-26,275.29,275.448,272.58,274.29,471684,83.3591384552,83.4069816165,82.5385373974,83.0563336368,1415052,0.0,1.0
16,2015-01-27,274.18,275.3799,272.0,275.0,627702,83.0230251068,83.3863606084,82.3629106027,83.2713250579,1883106,0.0,1.0
17,2015-01-28,270.93,276.82,270.45,275.74,685100,82.038909447,83.8224298274,81.8935631342,83.4954006235,2055300,0.0,1.0
18,2015-01-29,274.87,275.72,265.14,269.12,711412,83.2319604315,83.4893445271,80.2856695486,81.4908327258,2134236,0.0,1.0
19,2015-01-30,271.27,276.0,271.18,273.73,990686,82.1418630853,83.5741298763,82.1146106516,82.8867629385,2972058,0.0,1.0
20,2015-02-02,272.86,274.3799,268.4292,272.76,731156,82.6233227465,83.08355579,81.2816551572,82.5930422647,2193468,0.0,1.0
21,2015-02-03,273.57,274.0,270.31,273.92,898757,82.8383141676,82.9685202395,81.8511704596,82.944295854,2696271,0.0,1.0
22,2015-02-04,274.1,277.0,271.21,271.21,761667,82.9988007214,83.8769346947,82.1236947962,82.1236947962,2285001,0.0,1.0
23,2015-02-05,277.9,278.12,274.785,275.42,536219,84.1494590312,84.2160760913,83.2062220219,83.3985030816,1608657,0.0,1.0
24,2015-02-06,280.31,280.79,276.59,277.7,571409,84.8792186436,85.0245649564,83.7527847191,84.0888980676,1714227,0.0,1.0
25,2015-02-09,274.39,280.59,274.035,279.98,664194,83.0866141187,84.9640039927,82.9791184082,84.7792930535,1992582,0.0,1.0
26,2015-02-10,280.06,280.38,273.64,275.7,644303,84.803517439,84.9004149809,82.8595105049,83.4832884308,1932909,0.0,1.0
27,2015-02-11,277.95,280.89,277.01,280.01,516452,84.1645992722,85.0548454382,83.8799627429,84.788377198,1549356,0.0,1.0
28,2015-02-12,283.02,283.18,278.55,278.55,476642,85.6998197014,85.7482684724,84.3462821632,84.3462821632,1429926,0.0,1.0
29,2015-02-13,285.0,285.51,282.49,283.0,523141,86.2993732418,86.4538036992,85.5393331477,85.693763605,1569423,0.0,1.0
30,2015-02-17,286.1,287.7999,283.98,284.21,508175,86.6324585421,87.1471964528,85.9905123271,86.0601574353,1524525,0.0,1.0
31,2015-02-18,288.05,288.2,285.05,285.43,441381,87.2229279379,87.2683486607,86.3145134827,86.4295793137,1324143,0.0,1.0
32,2015-02-19,286.76,289.28,286.1,288.04,374429,86.8323097222,87.5953778645,86.6324585421,87.2198998897,1123287,0.0,1.0
33,2015-02-20,289.75,290.29,285.01,286.51,451076,87.7376961292,87.9012107311,86.30240129,86.7566085176,1353228,0.0,1.0
34,2015-02-23,289.56,290.5,288.165,289.75,474772,87.6801632137,87.964799743,87.257750492,87.7376961292,1424316,0.0,1.0
35,2015-02-24,290.62,291.27,288.34,289.65,433507,88.0011363212,88.1979594531,87.3107413353,87.7074156474,1300521,0.0,1.0
36,2015-02-25,287.75,290.91,287.56,290.46,440874,87.1320864924,88.0889497185,87.0745535769,87.9526875502,1322622,0.0,1.0
37,2015-02-26,287.7,289.73,286.36,287.02,559091,87.3198254798,87.9359507691,86.9131220869,87.1134386834,1677273,0.67,1.0
38,2015-02-27,285.2,288.31,285.06,287.81,527013,86.561050493,87.5049665766,86.5185590938,87.3532115792,1581039,0.0,1.0
39,2015-03-02,290.89,290.99,285.34,286.56,698702,88.288022363,88.3183733624,86.6035418923,86.9738240858,2096106,0.0,1.0
40,2015-03-03,285.93,289.92,283.22,288.75,617927,86.7826127892,87.9936176681,85.9601007035,87.6385109743,1853781,0.0,1.0
41,2015-03-04,285.91,288.45,282.72,284.87,696541,86.7765425893,87.5474579758,85.8083457061,86.4608921948,2089623,0.0,1.0
42,2015-03-05,289.17,289.77,286.12,286.43,689780,87.765985172,87.9480911689,86.8402796882,86.9343677865,2069340,0.0,1.0
43,2015-03-06,286.44,289.21,285.43,287.79,575754,86.9374028865,87.7781255718,86.6308577918,87.3471413793,1727262,0.0,1.0
44,2015-03-09,285.74,288.4,284.82,286.92,577016,86.7249458902,87.5322824761,86.445716695,87.0830876839,1731048,0.0,1.0
45,2015-03-10,281.46,284.42,281.42,283.35,576556,85.4259231128,86.3243126971,85.413782713,85.9995570028,1729668,0.0,1.0
46,2015-03-11,280.95,282.88,280.92,282.13,554414,85.2711330155,85.8569073053,85.2620277156,85.6292748092,1663242,0.0,1.0
47,2015-03-12,285.23,286.24,281.04,282.11,515298,86.5701557929,86.8767008875,85.298448915,85.6232046093,1545894,0.0,1.0
48,2015-03-13,285.24,286.14,283.78,284.75,571729,86.5731908928,86.8463498881,86.1300663005,86.4244709954,1715187,0.0,1.0
49,2015-03-16,288.14,288.63,285.35,285.83,600433,87.4533698775,87.6020897749,86.6065769922,86.7522617897,1801299,0.0,1.0
50,2015-03-17,286.05,287.54,285.38,286.66,568809,86.8190339885,87.2712638807,86.6156822921,87.0041750853,1706427,0.0,1.0
51,2015-03-18,282.8,286.04,275.84,285.29,1240172,85.8326265057,86.8159988886,83.7201969425,86.5883663925,3720516,0.0,1.0
52,2015-03-19,284.49,285.77,282.36,283.14,857976,86.3455583968,86.73405119,85.699082108,85.9358199039,2573928,0.0,1.0
53,2015-03-20,290.0,290.0,284.79,286.5,2149807,88.0178984677,88.0178984677,86.4366113952,86.9556134862,6449421,0.0,1.0
54,2015-03-23,287.86,289.6,286.85,287.9,782642,87.368387079,87.8964944698,87.0618419843,87.3805274788,2347926,0.0,1.0
55,2015-03-24,285.86,288.25,285.5801,287.11,930573,86.7613670895,87.4867559769,86.676414642,87.1407545829,2791719,0.0,1.0
56,2015-03-25,281.35,287.845,281.2,286.83,761469,85.3925370134,87.363834429,85.3470105142,87.0557717844,2284407,0.0,1.0
57,2015-03-26,279.32,280.95,278.28,280.74,708887,84.7764117241,85.2711330155,84.4607613296,85.2073959166,2126661,0.0,1.0
58,2015-03-27,281.68,282.11,278.76,280.39,485267,85.4926953116,85.6232046093,84.606446127,85.1011674184,1455801,0.0,1.0
59,2015-03-30,284.24,285.04,282.73,284.29,437112,86.2696808981,86.5124888939,85.8113808061,86.2848563978,1311336,0.0,1.0
60,2015-03-31,284.5,285.95,281.95,281.97,619925,86.3485934967,86.7886829891,85.5746430102,85.5807132101,1859775,0.0,1.0
61,2015-04-01,285.82,285.87,282.47,285.13,691495,86.7492266897,86.7644021895,85.7324682074,86.5398047934,2074485,0.0,1.0
62,2015-04-02,284.35,287.23,283.17,286.2,706776,86.3030669975,87.1771757823,85.9449252037,86.8645604877,2120328,0.0,1.0
63,2015-04-06,286.88,287.15,282.57,283.31,490010,87.0709472841,87.1528949827,85.7628192069,85.987416603,1470030,0.0,1.0
64,2015-04-07,287.6,288.9999,285.55,286.88,484885,87.2894744803,87.7143581219,86.6672789912,87.0709472841,1454655,0.0,1.0
65,2015-04-08,290.65,290.65,287.94,288.5,545705,88.2151799642,88.2151799642,87.3926678785,87.5626334756,1637115,0.0,1.0
66,2015-04-09,291.05,292.42,289.69,290.46,631126,88.3365839621,88.7523926549,87.9238103693,88.1575130652,1893378,0.0,1.0
67,2015-04-10,290.65,292.46,289.9,291.8,529617,88.2151799642,88.7645330547,87.9875474682,88.5642164581,1588851,0.0,1.0
68,2015-04-13,289.8,292.51,289.27,291.53,744118,87.9571964687,88.7797085544,87.7963361715,88.4822687596,2232354,0.0,1.0
69,2015-04-14,290.19,291.39,288.62,290.45,511796,88.0755653667,88.4397773603,87.5990546749,88.1544779653,1535388,0.0,1.0
70,2015-04-15,288.73,292.31,287.4,291.36,644125,87.6324407744,88.7190065555,87.2287724814,88.4306720605,1932375,0.0,1.0
71,2015-04-16,283.81,287.85,280.0,285.99,1331325,86.1391716004,87.365351979,84.9827985205,86.8008233888,3993975,0.0,1.0
72,2015-04-17,282.14,284.685,280.8905,281.94,940388,85.6323099092,86.4047428457,85.2530741708,85.5716079102,2821164,0.0,1.0
73,2015-04-20,281.91,285.01,280.9,283.52,592046,85.5625026104,86.503383594,85.2559575157,86.0511537019,1776138,0.0,1.0
74,2015-04-21,282.42,284.02,280.97,283.31,563984,85.7172927077,86.2029086993,85.2772032154,85.987416603,1691952,0.0,1.0
75,2015-04-22,281.64,282.9,279.75,282.9,529365,85.4805549118,85.8629775052,84.9069210218,85.8629775052,1588095,0.0,1.0
76,2015-04-23,282.36,283.64,280.08,281.25,704419,85.699082108,86.0875749013,85.0070793201,85.3621860139,2113257,0.0,1.0
77,2015-04-24,282.62,284.34,281.18,282.72,718286,85.7779947067,86.3000318976,85.3409403143,85.8083457061,2154858,0.0,1.0
78,2015-04-27,282.91,284.76,282.04,282.94,682436,85.8660126051,86.4275060953,85.6019589097,85.875117905,2047308,0.0,1.0
79,2015-04-28,281.88,283.08,280.17,282.31,753779,85.5533973106,85.9176093042,85.0343952196,85.6839066083,2261337,0.0,1.0
80,2015-04-29,279.2,281.82,277.1678,281.14,975903,84.7399905247,85.5351867109,84.1231975135,85.3287999145,2927709,0.0,1.0
81,2015-04-30,278.0,281.17,277.31,278.05,1058944,84.3757785311,85.3379052143,84.1663566347,84.3909540308,3176832,0.0,1.0
82,2015-05-01,282.16,283.25,278.2,279.58,527404,85.6383801091,85.9692060033,84.43648053,84.8553243227,1582212,0.0,1.0
83,2015-05-04,280.04,284.09,279.69,282.24,547188,84.9949389203,86.2241543989,84.8887104221,85.6626609087,1641564,0.0,1.0
84,2015-05-05,274.93,281.09,274.13,280.58,719789,83.4440028473,85.3136244147,83.2011948515,85.1588343174,2159367,0.0,1.0
85,2015-05-06,277.89,278.19,274.022,276.18,628087,84.3423924316,84.4334454301,83.1684157721,83.8233903407,1884261,0.0,1.0
86,2015-05-07,281.4,281.94,277.4809,278.65,615341,85.4077125131,85.5716079102,84.2182264928,84.5730600276,1846023,0.0,1.0
87,2015-05-08,287.2,288.47,283.787,284.63,784800,87.1680704825,87.5535281757,86.1321908705,86.388049796,2354400,0.0,1.0
88,2015-05-11,286.95,288.77,285.945,287.0,540557,87.0921929838,87.6445811742,86.7871654391,87.1073684835,1621671,0.0,1.0
89,2015-05-12,288.71,289.84,284.54,286.14,735453,87.6263705745,87.9693368685,86.3607338965,86.8463498881,2206359,0.0,1.0
90,2015-05-13,287.93,289.55,285.04,287.91,758550,87.5929844751,88.0858147979,86.7137995164,87.5869001501,2275650,0.67,1.0
91,2015-05-14,291.3,291.74,288.17,288.96,478478,88.618193233,88.7520483824,87.6659963747,87.9063272112,1435434,0.0,1.0
92,2015-05-15,291.22,292.23,289.7,291.75,662910,88.5938559331,88.9011143443,88.1314472352,88.7550905449,1988730,0.0,1.0
93,2015-05-18,291.05,291.99,289.48,290.84,373288,88.5421391709,88.8281024446,88.0645196605,88.4782537586,1119864,0.0,1.0
94,2015-05-19,292.44,294.35,291.1,291.74,671664,88.9649997565,89.5460527914,88.5573499833,88.7520483824,2014992,0.0,1.0
95,2015-05-20,287.67,292.9325,287.55,292.52,603044,87.5138882504,89.1148262589,87.4773823006,88.9893370564,1809132,0.0,1.0
96,2015-05-21,287.45,288.73,287.06,288.45,396480,87.4469606757,87.836357474,87.3283163387,87.7511769244,1189440,0.0,1.0
97,2015-05-22,286.51,288.03,286.51,286.98,523867,87.160997402,87.6234060999,87.160997402,87.3039790388,1571601,0.0,1.0
98,2015-05-26,286.39,287.2575,284.63,286.32,697347,87.1244914521,87.3883990478,86.5890708545,87.1031963147,2092041,0.0,1.0
99,2015-05-27,289.74,290.92,286.26,286.95,671247,88.1436158851,88.5025910585,87.0849433398,87.2948525514,2013741,0.0,1.0
100,2015-05-28,289.91,290.27,288.48,288.59,484988,88.1953326474,88.3048504969,87.7603034118,87.7937671992,1454964,0.0,1.0
101,2015-05-29,288.18,289.99,287.08,289.77,593613,87.6690385372,88.2196699473,87.3344006637,88.1527423726,1780839,0.0,1.0
102,2015-06-01,288.24,288.92,286.23,288.92,519494,87.6872915121,87.8941585612,87.0758168523,87.8941585612,1558482,0.0,1.0
103,2015-06-02,286.52,289.2,285.75,287.57,380734,87.1640395645,87.9793391108,86.929793053,87.4834666255,1142202,0.0,1.0
104,2015-06-03,287.26,287.7,286.21,286.68,328554,87.3891595885,87.5230147379,87.0697325274,87.2127141642,985662,0.0,1.0
105,2015-06-04,282.21,286.37,281.77,285.84,396106,85.8528675328,87.1184071272,85.7190123833,86.9571725154,1188318,0.0,1.0
106,2015-06-05,280.38,283.01,278.42,283.01,608832,85.2961517977,86.0962405317,84.6998879504,86.0962405317,1826496,0.0,1.0
107,2015-06-08,278.3,280.22,278.09,279.63,432737,84.6633820005,85.2474771979,84.5994965883,85.0679896112,1298211,0.0,1.0
108,2015-06-09,278.17,279.65,276.89,278.66,351812,84.6238338882,85.0740739362,84.2344370899,84.77289985,1055436,0.0,1.0
109,2015-06-10,282.49,282.84,277.57,279.13,739849,85.9380480824,86.0445237694,84.441304139,84.9158814869,2219547,0.0,1.0
110,2015-06-11,282.77,284.815,282.53,283.49,375503,86.023228632,86.6453508605,85.9502167323,86.242264331,1126509,0.0,1.0
111,2015-06-12,280.91,283.49,280.25,282.0,336126,85.4573864095,86.242264331,85.2566036854,85.7889821205,1008378,0.0,1.0
112,2015-06-15,278.86,280.57,278.09,279.33,391275,84.8337430998,85.353952885,84.5994965883,84.9767247366,1173825,0.0,1.0
113,2015-06-16,279.11,279.27,277.48,279.08,328787,84.9097971619,84.9584717617,84.4139246766,84.9006706745,986361,0.0,1.0
114,2015-06-17,280.23,281.59,278.61,280.35,588308,85.2505193604,85.6642534586,84.7576890376,85.2870253103,1764924,0.0,1.0
115,2015-06-18,283.51,283.895,281.3468,281.54,473581,86.248348656,86.3654719117,85.5902680669,85.6490426462,1420743,0.0,1.0
116,2015-06-19,281.99,284.72,281.87,284.65,1757045,85.785939958,86.6164503169,85.7494340082,86.5951551795,5271135,0.0,1.0
117,2015-06-22,285.18,285.47,282.5801,283.19,552377,86.7563897913,86.8446125034,85.9654579664,86.1509994564,1657131,0.0,1.0
118,2015-06-23,284.52,286.29,283.555,286.0,415756,86.5556070671,87.0940698273,86.2620383872,87.0058471152,1247268,0.0,1.0
119,2015-06-24,281.98,284.15,281.98,284.15,417104,85.7828977956,86.4430470551,85.7828977956,86.4430470551,1251312,0.0,1.0
