,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,100.48,101.685,99.95,101.14,362736,74.7134983152,75.609495185,74.3194084057,75.2042517874,362736,0.0,1.0
1,2015-01-05,98.84,100.11,98.6,99.9,478447,73.4940502934,74.4383789444,73.3155944853,74.2822301124,478447,0.0,1.0
2,2015-01-06,98.05,99.27,97.28,99.0,675764,72.9066332584,73.8137836162,72.3340875409,73.6130208321,675764,0.0,1.0
3,2015-01-07,100.24,100.42,98.23,98.43,488644,74.5350425072,74.6688843632,73.0404751145,73.1891882879,488644,0.0,1.0
4,2015-01-08,101.69,101.86,100.62,101.43,487516,75.6132130143,75.7396192117,74.8175975366,75.4198858889,487516,0.0,1.0
5,2015-01-09,101.04,102.06,100.74,101.96,421903,75.1298952007,75.8883323851,74.9068254406,75.8139757984,421903,0.0,1.0
6,2015-01-12,100.34,101.44,99.77,101.11,581160,74.6093990939,75.4273215475,74.1855665497,75.1819448114,581160,0.0,1.0
7,2015-01-13,100.94,101.85,99.97,101.25,539672,75.055538614,75.732183553,74.3342797231,75.2860440328,539672,0.0,1.0
8,2015-01-14,100.96,101.1,99.98,100.27,381674,75.0704099314,75.1745091528,74.3417153817,74.5573494832,381674,0.0,1.0
9,2015-01-15,101.3,102.1,101.05,101.45,705426,75.3232223262,75.9180750198,75.1373308594,75.4347572062,705426,0.0,1.0
10,2015-01-16,101.86,101.996,100.7,101.35,396810,75.7396192117,75.8407441696,74.877082806,75.3604006195,396810,0.0,1.0
11,2015-01-20,104.19,104.3,102.0,102.25,744023,77.4721276818,77.5539199271,75.8437184331,76.0296098998,744023,0.0,1.0
12,2015-01-21,106.04,107.21,103.87,104.52,1108762,78.8477245357,79.7176966001,77.2341866043,77.7175044179,1108762,0.0,1.0
13,2015-01-22,106.87,107.04,105.68,106.42,508342,79.4648842053,79.5912904027,78.5800408236,79.1302795652,508342,0.0,1.0
14,2015-01-23,106.49,107.19,106.09,106.85,402133,79.1823291758,79.7028252827,78.884902829,79.450012888,402133,0.0,1.0
15,2015-01-26,106.45,106.79,106.11,106.24,366977,79.1525865412,79.4053989359,78.8997741464,78.9964377091,366977,0.0,1.0
16,2015-01-27,105.77,106.35,105.17,106.0,362302,78.6469617516,79.0782299545,78.2008222314,78.817981901,362302,0.0,1.0
17,2015-01-28,104.73,106.71,104.62,105.96,399317,77.8736532499,79.3459136666,77.7918610046,78.7882392663,399317,0.0,1.0
18,2015-01-29,105.1,105.16,103.5,104.76,576377,78.1487726207,78.1933865727,76.9590672335,77.8959602259,576377,0.0,1.0
19,2015-01-30,103.15,104.44,103.01,104.43,453626,76.6988191801,77.6580191485,76.5947199587,77.6505834898,453626,0.0,1.0
20,2015-02-02,104.47,104.49,101.88,103.23,398474,77.6803261245,77.6951974419,75.754490529,76.7583044495,398474,0.0,1.0
21,2015-02-03,105.88,105.91,104.68,104.68,405883,78.728753997,78.751060973,77.8364749566,77.8364749566,405883,0.0,1.0
22,2015-02-04,112.1,114.47,111.52,113.02,6184203,83.3537336897,85.1159847944,82.9224654868,84.0378142873,6184203,0.0,1.0
23,2015-02-05,113.33,113.41,111.68,112.02,1535816,84.2683197061,84.3278049754,83.0414360255,83.2942484203,1535816,0.0,1.0
24,2015-02-06,113.0,113.47,112.51,113.33,843654,84.02294297,84.3724189274,83.6585956951,84.2683197061,843654,0.0,1.0
25,2015-02-09,112.91,113.31,112.456,112.68,640317,83.9560220419,84.2534483887,83.6184431383,83.7850018925,640317,0.0,1.0
26,2015-02-10,113.15,113.55,112.31,113.34,574810,84.13447785,84.4319041968,83.5098825217,84.2757553647,574810,0.0,1.0
27,2015-02-11,111.26,113.08,110.89,112.44,1051626,83.2050205163,84.5660949126,82.9283185785,84.0874753447,1051626,0.64,1.0
28,2015-02-12,112.39,112.47,110.52,110.94,892581,84.0500831909,84.1099106369,82.6516166408,82.9657107323,892581,0.0,1.0
29,2015-02-13,113.89,114.91,109.57,111.14,1744524,85.1718478033,85.9346477397,81.9411657196,83.1152793473,1744524,0.0,1.0
30,2015-02-17,113.21,113.8199,112.64,113.28,1174168,84.6633145124,85.1194240038,84.2370439597,84.7156635276,1174168,0.0,1.0
31,2015-02-18,114.3,114.39,112.69,112.69,506156,85.478463464,85.5457693408,84.2744361134,84.2744361134,506156,0.0,1.0
32,2015-02-19,113.88,114.43,112.85,113.96,661802,85.1643693726,85.5756830638,84.3940910054,85.2241968186,661802,0.0,1.0
33,2015-02-20,113.44,114.0,112.24,113.32,1466704,84.8353184196,85.2541105416,83.9379067297,84.7455772506,1466704,0.0,1.0
34,2015-02-23,113.25,113.64,112.73,113.06,944458,84.6932282354,84.9848870346,84.3043498364,84.5511380511,944458,0.0,1.0
35,2015-02-24,113.47,113.8108,112.04,112.91,776565,84.8577537119,85.1126186318,83.7883381147,84.4389615899,776565,0.0,1.0
36,2015-02-25,113.11,113.84,112.92,113.6,567302,84.5885302049,85.1344556496,84.4464400206,84.9549733116,567302,0.0,1.0
37,2015-02-26,115.21,115.4,112.91,113.98,1039669,86.1590006622,86.3010908465,84.4389615899,85.2391536801,1039669,0.0,1.0
38,2015-02-27,115.35,115.84,114.67,115.39,754289,86.2636986927,86.6301417994,85.7551654018,86.2936124157,754289,0.0,1.0
39,2015-03-02,114.96,115.66,114.5,115.38,570191,85.9720398935,86.4955300459,85.628032079,86.286133985,570191,0.0,1.0
40,2015-03-03,114.12,114.95,113.02,114.92,673744,85.3438517106,85.9645614627,84.5212243281,85.9421261705,673744,0.0,1.0
41,2015-03-04,114.24,114.27,113.375,114.07,485128,85.4335928795,85.4560281718,84.7867086197,85.3064595568,485128,0.0,1.0
42,2015-03-05,114.23,114.76,113.7,114.76,580295,85.4261144488,85.8224712785,85.0297576191,85.8224712785,580295,0.0,1.0
43,2015-03-06,112.77,114.19,112.23,114.03,601564,84.3342635594,85.3962007258,83.9304282989,85.2765458338,601564,0.0,1.0
44,2015-03-09,113.05,113.31,112.18,112.5,526791,84.5436596204,84.7380988199,83.8930361452,84.1323459292,526791,0.0,1.0
45,2015-03-10,110.73,112.53,110.73,112.25,719913,82.8086636866,84.1547812214,82.8086636866,83.9453851604,719913,0.0,1.0
46,2015-03-11,111.12,111.25,110.0601,110.74,649960,83.1003224858,83.1975420855,82.3076836107,82.8161421173,649960,0.0,1.0
47,2015-03-12,112.44,112.79,110.99,111.34,637080,84.0874753447,84.3492204209,83.003102886,83.2648479623,637080,0.0,1.0
48,2015-03-13,111.02,112.39,110.56,112.09,782131,83.0255381783,84.0500831909,82.6815303638,83.8257302685,782131,0.0,1.0
49,2015-03-16,111.78,112.63,111.17,111.66,635946,83.5938989152,84.2295655289,83.1377146395,83.5041577462,635946,0.0,1.0
50,2015-03-17,110.59,111.56,110.11,111.01,438423,82.7039656561,83.4293734387,82.3450009801,83.0180597475,438423,0.0,1.0
51,2015-03-18,112.61,112.94,109.27,110.45,911277,84.2146086674,84.4613968821,81.7168127972,82.5992676256,911277,0.0,1.0
52,2015-03-19,112.0,112.36,111.36,112.08,489380,83.7584243917,84.0276478987,83.2798048238,83.8182518377,489380,0.0,1.0
53,2015-03-20,113.71,114.13,112.57,112.8,894371,85.0372360498,85.3513301413,84.1846949444,84.3566988516,894371,0.0,1.0
54,2015-03-23,113.39,114.25,113.26,113.9,441472,84.7979262659,85.4410713103,84.7007066661,85.1793262341,441472,0.0,1.0
55,2015-03-24,112.62,114.9499,112.5,113.97,562700,84.2220870982,85.9644866784,84.1323459292,85.2316752493,562700,0.0,1.0
56,2015-03-25,114.64,115.96,112.64,113.57,1153313,85.7327301095,86.7198829684,84.2370439597,84.9325380193,1153313,0.0,1.0
57,2015-03-26,114.48,115.32,113.83,114.7,671710,85.6130752175,86.2412634005,85.1269772188,85.777600694,671710,0.0,1.0
58,2015-03-27,116.01,116.26,114.23,114.37,729238,86.7572751222,86.9442358909,85.4261144488,85.5308124793,729238,0.0,1.0
59,2015-03-30,117.13,117.22,115.03,116.45,875895,87.5948593661,87.6621652428,86.0243889087,87.0863260751,875895,0.0,1.0
60,2015-03-31,115.73,117.65,115.63,116.89,705370,86.5478790612,87.983737765,86.4730947537,87.4153770281,705370,0.0,1.0
61,2015-04-01,115.48,115.68,113.93,115.65,856541,86.3609182925,86.5104869074,85.2017615263,86.4880516152,856541,0.0,1.0
62,2015-04-02,116.01,116.55,114.89,115.32,1213012,86.7572751222,87.1611103826,85.9196908782,86.2412634005,1213012,0.0,1.0
63,2015-04-06,117.24,117.66,115.482,115.95,649116,87.6771221043,87.9912161958,86.3624139786,86.7124045377,649116,0.0,1.0
64,2015-04-07,115.87,117.49,115.73,117.22,500537,86.6525770917,87.8640828731,86.5478790612,87.6621652428,500537,0.0,1.0
65,2015-04-08,115.55,116.4,114.91,115.79,638386,86.4132673077,87.0489339214,85.9346477397,86.5927496457,638386,0.0,1.0
66,2015-04-09,116.14,116.26,115.04,115.69,472491,86.8544947219,86.9442358909,86.0318673395,86.5179653382,472491,0.0,1.0
67,2015-04-10,116.75,116.93,116.02,116.16,440179,87.3106789976,87.4452907511,86.7647535529,86.8694515834,440179,0.0,1.0
