,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,85.67,86.2,84.62,84.81,5500771,64.1308457865,64.5275931691,63.344836821,63.4870670148,5500771,0.0,1.0
1,2015-01-05,83.35,84.4,82.5936,84.4,10039424,62.3941402627,63.1801492282,61.8279143755,63.1801492282,10039424,0.0,1.0
2,2015-01-06,81.72,83.36,80.66,82.94,9758305,61.1739549162,62.4016260624,60.380460151,62.0872224762,9758305,0.0,1.0
3,2015-01-07,81.71,82.66,80.53,82.55,7950988,61.1664691166,61.8776200854,60.2831447553,61.795276289,7950988,0.0,1.0
4,2015-01-08,82.7,83.29,81.94,82.49,7907460,61.9075632841,62.3492254647,61.338642509,61.7503614909,7907460,0.0,1.0
5,2015-01-09,81.22,83.37,80.575,83.28,7597702,60.7996649327,62.409111862,60.3168308538,62.341739665,7597702,0.0,1.0
6,2015-01-12,78.05,79.13,76.73,79.13,13255450,58.4266664368,59.2351328013,57.4385408801,59.2351328013,13255450,0.0,1.0
7,2015-01-13,77.78,79.0,77.03,78.0,12167817,58.2245498456,59.1378174056,57.6631148703,58.3892374384,12167817,0.0,1.0
8,2015-01-14,78.39,78.56,75.6,75.99,12225338,58.6811836256,58.80844222,56.5926455172,56.8845917044,12225338,0.0,1.0
9,2015-01-15,76.63,79.16,76.425,78.74,10916282,57.3636828834,59.2575902003,57.2102239901,58.9431866141,10916282,0.0,1.0
10,2015-01-16,81.33,81.52,77.47,77.48,17587516,60.882008729,61.0242389228,57.9924900558,57.9999758555,17587516,0.0,1.0
11,2015-01-20,80.48,80.94,78.9,80.38,10925632,60.245715757,60.5900625419,59.0629594088,60.1708577602,10925632,0.0,1.0
12,2015-01-21,82.21,82.64,79.6,80.42,9178212,61.5407591001,61.862648486,59.5869653859,60.2008009589,9178212,0.0,1.0
13,2015-01-22,82.14,83.12,80.71,82.94,9039167,61.4883585024,62.2219668703,60.4178891494,62.0872224762,9039167,0.0,1.0
14,2015-01-23,82.0,83.2,81.6,81.93,8032608,61.383557307,62.2818532676,61.0841253202,61.3311567093,8032608,0.0,1.0
15,2015-01-26,83.68,84.1,81.55,82.06,7060468,62.6411716519,62.9555752381,61.0466963218,61.4284721051,7060468,0.0,1.0
16,2015-01-27,84.55,85.0,82.72,82.72,7332821,63.2924362233,63.6292972085,61.9225348834,61.9225348834,7332821,0.0,1.0
17,2015-01-28,80.75,84.24,80.53,84.2,10040971,60.4478323481,63.0603764335,60.2831447553,63.0304332348,10040971,0.0,1.0
18,2015-01-29,81.9,82.06,79.52,81.16,9036645,61.3086993103,61.4284721051,59.5270789885,60.7547501346,9036645,0.0,1.0
19,2015-01-30,82.39,83.82,80.77,81.34,9946559,61.6755034942,62.7459728473,60.4628039474,60.8894945287,9946559,0.0,1.0
