,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,19.9,20.18,19.775,19.8,2400869,16.0071673992,16.2323938752,15.9066198653,15.9267293721,2400869,0.0,1.0
1,2015-01-05,18.7,19.55,18.59,19.5,3476316,15.0419110736,15.7256343042,14.9534292438,15.6854152907,3476316,0.0,1.0
2,2015-01-06,18.16,18.77,18.05,18.71,4350018,14.6075457271,15.0982176926,14.5190638973,15.0499548763,4350018,0.0,1.0
3,2015-01-07,18.42,19.11,18.27,19.01,4147023,14.8166845976,15.3717069849,14.6960275569,15.2912689577,4147023,0.0,1.0
4,2015-01-08,19.055,19.25,18.35,18.54,4824994,15.3274660699,15.4843202228,14.7603779787,14.9132102302,4824994,0.0,1.0
5,2015-01-09,18.9,19.23,18.5,19.05,4091214,15.2027871279,15.4682326174,14.8810350193,15.3234441686,4091214,0.0,1.0
6,2015-01-12,18.17,18.97,17.82,18.79,4708995,14.6155895298,15.2590937469,14.3340564349,15.114305298,4708995,0.0,1.0
7,2015-01-13,17.51,18.38,17.35,18.18,5688031,14.0846985507,14.7845093868,13.9559977073,14.6236333325,5688031,0.0,1.0
8,2015-01-14,17.25,17.26,16.81,17.0,5549962,13.8755596802,13.8836034829,13.5216323608,13.6744646124,5549962,0.0,1.0
9,2015-01-15,17.175,17.6097,17.09,17.36,3808730,13.8152311599,14.1648952638,13.7468588368,13.96404151,3808730,0.0,1.0
10,2015-01-16,17.35,17.4,17.12,17.18,3608213,13.9559977073,13.9962167209,13.7709902449,13.8192530612,3608213,0.0,1.0
11,2015-01-20,17.13,17.497,16.92,17.43,3626747,13.7790340476,14.0742416072,13.6101141907,14.020348129,3626747,0.0,1.0
12,2015-01-21,17.3,17.465,16.98,17.11,4511725,13.9157786938,14.0485014385,13.6583770069,13.7629464422,4511725,0.0,1.0
13,2015-01-22,17.83,17.91,17.3,17.48,3072143,14.3421002376,14.4064506593,13.9157786938,14.0605671426,3072143,0.0,1.0
14,2015-01-23,17.025,17.81,17.02,17.73,3317115,13.6945741192,14.3260126321,13.6905522178,14.2616622104,3317115,0.0,1.0
15,2015-01-26,17.47,17.525,16.88,17.0,5108722,14.0525233399,14.0967642548,13.5779389798,13.6744646124,5108722,0.0,1.0
16,2015-01-27,17.67,17.87,17.11,17.25,3271864,14.2133993942,14.3742754484,13.7629464422,13.8755596802,3271864,0.0,1.0
17,2015-01-28,17.7,18.08,17.47,18.02,4575940,14.2375308023,14.5431953054,14.0525233399,14.4949324891,4575940,0.0,1.0
18,2015-01-29,16.935,17.6,16.51,16.87,7589394,13.6221798947,14.1570927752,13.2803182794,13.5698951771,7589394,0.0,1.0
19,2015-01-30,17.04,17.255,16.59,16.85,3987775,13.7066398232,13.8795815816,13.3446687011,13.5538075717,3987775,0.0,1.0
20,2015-02-02,17.14,17.19,16.72,17.05,3882235,13.7870778504,13.8272968639,13.4492381364,13.7146836259,3882235,0.0,1.0
21,2015-02-03,18.085,18.105,17.25,17.48,4678431,14.5472172068,14.5633048122,13.8755596802,14.0605671426,4678431,0.0,1.0
