,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,29.48,29.8,29.35,29.79,579959,23.8131542454,24.0716416728,23.7081437281,24.0635639407,579959,0.0,1.0
1,2015-01-05,29.25,29.62,28.68,29.38,1593916,23.627366407,23.9262424949,23.166935677,23.7323769244,1593916,0.0,1.0
2,2015-01-06,28.85,29.43,28.45,29.4,2198339,23.3042571228,23.7727655849,22.9811478386,23.7485323886,2198339,0.0,1.0
3,2015-01-07,29.2,29.68,28.91,29.52,1365129,23.5869777465,23.9747088875,23.3527235154,23.8454651738,1365129,0.0,1.0
4,2015-01-08,29.98,30.1,29.49,29.53,835026,24.2170408507,24.3139736359,23.8212319775,23.8535429059,835026,0.0,1.0
5,2015-01-09,29.7,30.07,29.49,30.07,472157,23.9908643517,24.2897404396,23.8212319775,24.2897404396,472157,0.0,1.0
6,2015-01-12,29.53,29.8,29.53,29.76,756826,23.8535429059,24.0716416728,23.8535429059,24.0393307444,756826,0.0,1.0
7,2015-01-13,29.71,30.0,29.46,29.77,630157,23.9989420838,24.2331963149,23.7969987812,24.0474084765,630157,0.0,1.0
8,2015-01-14,29.15,29.6,29.07,29.39,866825,23.546589086,23.9100870307,23.4819672291,23.7404546565,866825,0.0,1.0
9,2015-01-15,28.52,29.25,27.92,29.19,1094307,23.0376919633,23.627366407,22.553028037,23.5789000144,1094307,0.0,1.0
10,2015-01-16,28.99,29.05,28.206,28.34,425216,23.4173453723,23.4658117649,22.7840511752,22.8922927855,425216,0.0,1.0
11,2015-01-20,29.1,29.195,28.61,28.99,958207,23.5062004254,23.5829388804,23.1103915523,23.4173453723,958207,0.0,1.0
12,2015-01-21,29.18,29.29,28.97,29.1,863735,23.5708222823,23.6596773354,23.4011899081,23.5062004254,863735,0.0,1.0
13,2015-01-22,29.05,29.5,28.43,29.22,2514827,23.4658117649,23.8293097096,22.9649923744,23.6031332107,2514827,0.0,1.0
14,2015-01-23,30.97,32.0,29.0,30.0,3174311,25.0167363291,25.8487427359,23.4254231044,24.2331963149,3174311,0.0,1.0
15,2015-01-26,31.33,31.46,30.72,30.8,3123229,25.3075346848,25.4125452022,24.8147930264,24.8794148833,3123229,0.0,1.0
16,2015-01-27,31.32,31.4999,30.89,31.19,1401782,25.2994569527,25.4447753533,24.9521144722,25.1944464354,1401782,0.0,1.0
17,2015-01-28,31.25,31.76,31.1,31.76,1038068,25.242912828,25.6548771653,25.1217468464,25.6548771653,1038068,0.0,1.0
18,2015-01-29,31.23,31.49,31.0,31.22,1383433,25.2267573638,25.4367783985,25.0409695254,25.2186796317,1383433,0.0,1.0
19,2015-01-30,30.86,31.33,30.77,31.11,1255059,24.9278812759,25.3075346848,24.855181687,25.1298245785,1255059,0.0,1.0
20,2015-02-02,31.16,31.19,30.69,30.84,758830,25.1702132391,25.1944464354,24.7905598301,24.9117258117,758830,0.0,1.0
21,2015-02-03,31.13,31.5,30.96,31.3,919994,25.1459800427,25.4448561306,25.008658597,25.2833014885,919994,0.0,1.0
22,2015-02-04,31.25,31.38,30.98,31.11,1276172,25.242912828,25.3479233454,25.0248140612,25.1298245785,1276172,0.0,1.0
23,2015-02-05,32.0,32.08,31.13,31.27,1114358,25.8487427359,25.9133645927,25.1459800427,25.2590682922,1114358,0.0,1.0
24,2015-02-06,32.14,32.68,31.965,32.07,1115925,25.9618309853,26.398028519,25.8204706735,25.9052868606,1115925,0.0,1.0
25,2015-02-09,32.4,32.405,32.01,32.12,1118072,26.1718520201,26.1758908861,25.856820468,25.9456755211,1118072,0.0,1.0
26,2015-02-10,33.11,33.13,32.37,32.62,2354003,26.7453709995,26.7615264637,26.1476188238,26.3495621264,2354003,0.0,1.0
27,2015-02-11,33.55,33.61,33.01,33.25,2110842,27.1007912121,27.1492576048,26.6645936785,26.858459249,2110842,0.0,1.0
28,2015-02-12,33.61,33.96,33.53,33.74,2334621,27.1492576048,27.4319782284,27.0846357479,27.2542681221,2334621,0.0,1.0
29,2015-02-13,32.8,33.57,32.62,33.39,1234821,26.4949613043,27.1169466763,26.3495621264,26.9715474985,1234821,0.0,1.0
30,2015-02-17,31.92,32.81,31.85,32.8,1728014,25.784120879,26.5030390364,25.7275767543,26.4949613043,1728014,0.0,1.0
31,2015-02-18,31.91,32.2,31.75,31.8,1054540,25.7760431469,26.010297378,25.6467994332,25.6871880938,1054540,0.0,1.0
32,2015-02-19,31.88,32.08,31.79,31.94,556185,25.7518099506,25.9133645927,25.6791103617,25.8002763432,556185,0.0,1.0
33,2015-02-20,32.59,32.77,31.675,31.96,2082271,26.3253289301,26.4707281079,25.5862164425,25.8164318074,2082271,0.0,1.0
34,2015-02-23,32.62,32.7108,32.25,32.56,868710,26.3495621264,26.4229079339,26.0506860385,26.3010957337,868710,0.0,1.0
35,2015-02-24,32.36,33.0,31.91,32.46,1028756,26.1395410916,26.6565159464,25.7760431469,26.2203184127,1028756,0.0,1.0
36,2015-02-25,32.29,32.59,32.1,32.33,672495,26.0829969669,26.3253289301,25.9295200569,26.1153078953,672495,0.0,1.0
37,2015-02-26,32.45,32.71,32.36,32.53,356757,26.2122406806,26.4222617153,26.1395410916,26.2768625374,356757,0.0,1.0
38,2015-02-27,31.95,32.55,31.93,32.37,553121,25.8083540753,26.2930180016,25.7921986111,26.1476188238,553121,0.0,1.0
39,2015-03-02,31.96,32.04,31.2212,31.67,785989,25.8164318074,25.8810536643,25.2196489595,25.5821775764,785989,0.0,1.0
40,2015-03-03,32.14,32.25,31.85,32.16,484593,25.9618309853,26.0506860385,25.7275767543,25.9779864495,484593,0.0,1.0
41,2015-03-04,31.89,32.05,31.82,32.05,439583,25.7598876827,25.8891313964,25.703343558,25.8891313964,439583,0.0,1.0
42,2015-03-05,31.96,32.47,31.78,31.98,485965,25.8164318074,26.2283961448,25.6710326296,25.8325872717,485965,0.0,1.0
43,2015-03-06,31.2,32.0,31.19,31.94,694099,25.2025241675,25.8487427359,25.1944464354,25.8002763432,694099,0.0,1.0
44,2015-03-09,31.98,32.155,31.25,31.34,776250,25.8325872717,25.9739475835,25.242912828,25.3156124169,776250,0.0,1.0
45,2015-03-10,31.1,31.93,31.085,31.8,912289,25.1217468464,25.7921986111,25.1096302483,25.6871880938,912289,0.0,1.0
46,2015-03-11,31.55,31.72,31.11,31.25,588889,25.4852447911,25.6225662369,25.1298245785,25.242912828,588889,0.0,1.0
47,2015-03-12,31.89,32.02,31.56,31.78,503184,25.7598876827,25.8648982001,25.4933225232,25.6710326296,503184,0.0,1.0
48,2015-03-13,31.82,31.94,31.26,31.87,889927,25.703343558,25.8002763432,25.2509905601,25.7437322185,889927,0.0,1.0
49,2015-03-16,31.95,32.0,31.79,32.0,628174,25.8083540753,25.8487427359,25.6791103617,25.8487427359,628174,0.0,1.0
50,2015-03-17,32.23,32.44,31.58,31.68,818485,26.0345305743,26.2041629485,25.5094779875,25.5902553085,818485,0.0,1.0
51,2015-03-18,31.92,32.21,31.63,32.21,630626,25.784120879,26.0183751101,25.549866648,26.0183751101,630626,0.0,1.0
52,2015-03-19,32.37,32.4,31.84,31.92,657002,26.1476188238,26.1718520201,25.7194990222,25.784120879,657002,0.0,1.0
53,2015-03-20,32.25,32.885,32.21,32.5,1498010,26.0506860385,26.5636220272,26.0183751101,26.2526293411,1498010,0.0,1.0
54,2015-03-23,31.78,32.53,31.77,32.19,653907,25.6710326296,26.2768625374,25.6629548975,26.0022196459,653907,0.0,1.0
55,2015-03-24,31.65,31.92,31.5,31.78,723565,25.5660221122,25.784120879,25.4448561306,25.6710326296,723565,0.0,1.0
56,2015-03-25,30.92,31.51,30.83,31.38,1175374,24.9763476685,25.4529338627,24.9036480796,25.3479233454,1175374,0.0,1.0
57,2015-03-26,30.61,31.03,30.37,31.01,887918,24.7259379733,25.0652027217,24.5320724028,25.0490472575,887918,0.0,1.0
58,2015-03-27,30.06,30.74,29.93,30.74,960646,24.2816627075,24.8309484906,24.1766521901,24.8309484906,960646,0.0,1.0
59,2015-03-30,30.29,30.41,30.06,30.16,577155,24.4674505459,24.5643833312,24.2816627075,24.3624400286,577155,0.0,1.0
60,2015-03-31,30.35,30.49,29.97,30.24,1384355,24.5159169385,24.629005188,24.2089631186,24.4270618854,1384355,0.0,1.0
61,2015-04-01,30.41,30.69,29.91,30.13,1138728,24.5643833312,24.7905598301,24.1604967259,24.3382068322,1138728,0.0,1.0
62,2015-04-02,30.61,30.71,30.24,30.4,841350,24.7259379733,24.8067152943,24.4270618854,24.5563055991,841350,0.0,1.0
63,2015-04-06,29.84,30.8299,29.69,30.5,1070757,24.1039526012,24.9035673023,23.9827866196,24.6370829201,1070757,0.0,1.0
64,2015-04-07,29.76,30.72,29.5,30.13,1467380,24.0393307444,24.8147930264,23.8293097096,24.3382068322,1467380,0.0,1.0
65,2015-04-08,29.97,30.15,29.7275,29.8,734317,24.2089631186,24.3543622965,24.013078115,24.0716416728,734317,0.0,1.0
66,2015-04-09,30.14,30.35,29.9,30.02,839598,24.3462845643,24.5159169385,24.1524189938,24.2493517791,839598,0.0,1.0
67,2015-04-10,30.59,30.75,30.15,30.24,1288773,24.7097825091,24.8390262227,24.3543622965,24.4270618854,1288773,0.0,1.0
68,2015-04-13,30.64,30.805,30.4,30.51,1199517,24.7501711696,24.8834537493,24.5563055991,24.6451606522,1199517,0.0,1.0
69,2015-04-14,30.52,30.84,30.51,30.67,806462,24.6532383843,24.9117258117,24.6451606522,24.7744043659,806462,0.0,1.0
70,2015-04-15,30.68,30.81,30.48,30.51,389864,24.782482098,24.8874926154,24.6209274559,24.6451606522,389864,0.0,1.0
71,2015-04-16,30.77,30.94,30.3001,30.7,1208431,24.855181687,24.9925031327,24.4756090553,24.7986375622,1208431,0.0,1.0
72,2015-04-17,30.52,31.0,30.22,31.0,1362547,24.6532383843,25.0409695254,24.4109064212,25.0409695254,1362547,0.0,1.0
73,2015-04-20,30.9,31.28,30.6,31.1,2179450,24.9601922043,25.2671460243,24.7178602412,25.1217468464,2179450,0.0,1.0
74,2015-04-21,31.2,31.35,30.9,30.98,1879755,25.2025241675,25.323690149,24.9601922043,25.0248140612,1879755,0.0,1.0
75,2015-04-22,31.04,32.04,31.02,31.8,2040650,25.0732804538,25.8810536643,25.0571249896,25.6871880938,2040650,0.0,1.0
76,2015-04-23,30.96,31.55,30.83,31.52,1391268,25.008658597,25.4852447911,24.9036480796,25.4610115948,1391268,0.0,1.0
77,2015-04-24,30.82,31.12,30.63,30.93,661697,24.8955703475,25.1379023106,24.7420934375,24.9844254006,661697,0.0,1.0
78,2015-04-27,30.62,31.01,30.56,30.83,625480,24.7340157054,25.0490472575,24.6855493128,24.9036480796,625480,0.0,1.0
79,2015-04-28,30.66,30.88,30.5,30.81,567723,24.7663266338,24.9440367401,24.6370829201,24.8874926154,567723,0.0,1.0
80,2015-04-29,30.74,31.06,30.27,30.57,1600425,24.8309484906,25.089435918,24.4512950817,24.6936270449,1600425,0.0,1.0
81,2015-04-30,31.15,31.4,30.64,30.71,1228557,25.1621355069,25.3640788096,24.7501711696,24.8067152943,1228557,0.0,1.0
82,2015-05-01,31.52,31.55,31.245,31.39,594781,25.4610115948,25.4852447911,25.2388739619,25.3560010775,594781,0.0,1.0
83,2015-05-04,31.71,31.72,31.45,31.55,609980,25.6144885048,25.6225662369,25.4044674701,25.4852447911,609980,0.0,1.0
84,2015-05-05,31.94,32.25,31.74,31.9,1271574,25.8002763432,26.0506860385,25.6387217011,25.7679654148,1271574,0.0,1.0
85,2015-05-06,32.09,32.23,31.78,32.17,943264,25.9214423248,26.0345305743,25.6710326296,25.9860641817,943264,0.0,1.0
86,2015-05-07,32.65,32.66,31.81,32.06,1095478,26.3737953227,26.3818730548,25.6952658259,25.8972091285,1095478,0.0,1.0
87,2015-05-08,33.2,33.21,32.64,32.73,936180,26.8180705885,26.8261483206,26.3657175906,26.4384171795,936180,0.0,1.0
88,2015-05-11,32.89,33.31,32.785,33.17,549231,26.5676608932,26.9069256416,26.4828447061,26.7938373921,549231,0.0,1.0
89,2015-05-12,33.12,33.34,32.04,32.34,2022512,26.7534487316,26.9311588379,25.8810536643,26.1233856274,2022512,0.0,1.0
90,2015-05-13,32.9,33.42,32.74,33.12,1075821,26.5757386253,26.9957806948,26.4464949116,26.7534487316,1075821,0.0,1.0
91,2015-05-14,32.77,33.13,32.37,32.98,1448969,26.4707281079,26.7615264637,26.1476188238,26.6403604822,1448969,0.0,1.0
92,2015-05-15,31.81,32.905,31.765,32.86,1300124,25.6952658259,26.5797774914,25.6589160314,26.5434276969,1300124,0.0,1.0
93,2015-05-18,31.84,31.87,31.5,31.82,796481,25.7194990222,25.7437322185,25.4448561306,25.703343558,796481,0.0,1.0
94,2015-05-19,32.06,32.06,31.8002,31.84,743144,25.8972091285,25.8972091285,25.6873496484,25.7194990222,743144,0.0,1.0
95,2015-05-20,32.65,32.76,31.9861,32.19,634498,26.3737953227,26.4626503758,25.8375146882,26.0022196459,634498,0.0,1.0
96,2015-05-21,32.47,32.78,32.39,32.59,430394,26.2283961448,26.4788058401,26.163774288,26.3253289301,430394,0.0,1.0
97,2015-05-22,32.5,32.7,32.17,32.41,360571,26.2526293411,26.4141839832,25.9860641817,26.1799297522,360571,0.0,1.0
98,2015-05-26,32.12,32.5,31.87,32.46,566169,25.9456755211,26.2526293411,25.7437322185,26.2203184127,566169,0.0,1.0
99,2015-05-27,32.46,32.6,32.1,32.13,346149,26.2203184127,26.3334066622,25.9295200569,25.9537532532,346149,0.0,1.0
100,2015-05-28,32.53,32.66,32.25,32.33,355820,26.2768625374,26.3818730548,26.0506860385,26.1153078953,355820,0.0,1.0
101,2015-05-29,32.29,32.59,32.125,32.56,849985,26.0829969669,26.3253289301,25.9497143872,26.3010957337,849985,0.0,1.0
102,2015-06-01,32.41,32.62,31.9,32.36,483049,26.1799297522,26.3495621264,25.7679654148,26.1395410916,483049,0.0,1.0
103,2015-06-02,32.65,32.77,32.26,32.28,466741,26.3737953227,26.4707281079,26.0587637706,26.0749192348,466741,0.0,1.0
104,2015-06-03,33.18,33.62,32.51,32.69,1834946,26.8019151243,27.1573353369,26.2607070732,26.4061062511,1834946,0.0,1.0
105,2015-06-04,32.75,33.11,32.675,33.04,793011,26.4545726437,26.7453709995,26.393989653,26.6888268748,793011,0.0,1.0
106,2015-06-05,32.8,32.89,32.51,32.85,318954,26.4949613043,26.5676608932,26.2607070732,26.5353499648,318954,0.0,1.0
107,2015-06-08,32.65,32.8,32.585,32.79,484041,26.3737953227,26.4949613043,26.321290064,26.4868835722,484041,0.0,1.0
108,2015-06-09,32.86,32.92,32.5,32.62,700272,26.5434276969,26.5918940895,26.2526293411,26.3495621264,700272,0.0,1.0
109,2015-06-10,33.3,33.34,32.82,32.97,731181,26.8988479095,26.9311588379,26.5111167685,26.63228275,731181,0.0,1.0
110,2015-06-11,33.22,33.88,33.16,33.29,1152193,26.8342260527,27.3673563716,26.78575966,26.8907701774,1152193,0.0,1.0
111,2015-06-12,33.12,33.4,32.86,33.17,489013,26.7534487316,26.9796252306,26.5434276969,26.7938373921,489013,0.0,1.0
112,2015-06-15,32.97,33.14,32.53,32.92,1670466,26.63228275,26.7696041958,26.2768625374,26.5918940895,1670466,0.0,1.0
113,2015-06-16,32.5,33.16,32.445,33.0,632006,26.2526293411,26.78575966,26.2082018145,26.6565159464,632006,0.0,1.0
