,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,128.12,128.49,126.16,126.3,2043711,124.2653092841,124.624177255,122.3642789516,122.5000668325,2043711,0.0,1.0
1,2015-01-05,126.36,129.14,126.15,127.31,2438118,122.5582616386,125.2546209877,122.3545798172,123.4796794018,2438118,0.0,1.0
2,2015-01-06,125.18,128.19,124.54,126.36,2526156,121.4137637854,124.3332032245,120.793019187,122.5582616386,2526156,0.0,1.0
3,2015-01-07,128.93,128.97,125.94,126.56,2098338,125.0509391664,125.0897357038,122.1508979959,122.7522443256,2098338,0.0,1.0
4,2015-01-08,130.27,131.06,129.46,129.46,2524350,126.3506231692,127.1168547828,125.5649932869,125.5649932869,2524350,0.0,1.0
5,2015-01-09,129.75,131.12,129.33,130.76,1906464,125.846268183,127.1750495889,125.4389045403,126.8258807523,1906464,0.0,1.0
6,2015-01-12,128.5,130.62,128.3,130.11,1810406,124.6338763893,126.6900928714,124.4398937024,126.1954370196,1810406,0.0,1.0
7,2015-01-13,128.34,130.308,127.11,129.56,2109760,124.4786902398,126.3874798797,123.2856967148,125.6619846304,2109760,0.0,1.0
8,2015-01-14,126.2,127.37,125.09,126.95,2851541,122.403075489,123.5378742079,121.3264715762,123.1305105652,2851541,0.0,1.0
9,2015-01-15,124.13,126.546,124.11,126.3,2722727,120.3953546787,122.7386655375,120.37595641,122.5000668325,2722727,0.0,1.0
10,2015-01-16,125.29,125.51,123.2927,123.71,2034094,121.5204542632,121.7338352189,119.5832461596,119.987991036,2034094,0.0,1.0
11,2015-01-20,125.24,126.5,124.09,126.0,2270142,121.4719585914,122.6940495195,120.3565581413,122.209092802,2270142,0.0,1.0
12,2015-01-21,125.36,126.36,124.87,125.02,1278633,121.5883482036,122.5582616386,121.1130906205,121.2585776358,1278633,0.0,1.0
13,2015-01-22,127.0,127.57,125.38,126.35,2953796,123.1790062369,123.7318568948,121.6077464723,122.5485625042,2953796,0.0,1.0
14,2015-01-23,124.87,127.07,124.76,126.77,1993834,121.1130906205,123.2469001774,121.0064001427,122.9559261469,1993834,0.0,1.0
15,2015-01-26,125.64,125.77,123.2701,124.56,2032816,121.8599239654,121.986012712,119.561326116,120.8124174557,2032816,0.0,1.0
16,2015-01-27,124.88,125.85,124.12,124.16,1894282,121.1227897549,122.0636057868,120.3856555443,120.4244520817,1894282,0.0,1.0
17,2015-01-28,124.34,125.88,124.0,125.7,2401784,120.5990365,122.0927031898,120.2692659321,121.9181187715,2401784,0.0,1.0
18,2015-01-29,127.96,128.73,121.54,123.36,4902995,124.1101231345,124.8569564794,117.8832788822,119.6485213338,4902995,0.0,1.0
19,2015-01-30,125.21,127.62,125.01,126.81,3513094,121.4428611884,123.7803525666,121.2488785014,122.9947226843,3513094,0.0,1.0
20,2015-02-02,125.89,125.91,123.2,125.49,1835608,122.1024023242,122.1218005929,119.4933351842,121.7144369502,1835608,0.0,1.0
21,2015-02-03,127.33,127.47,125.38,126.43,1796981,123.4990776705,123.6348655514,121.6077464723,122.626155579,1796981,0.0,1.0
22,2015-02-04,126.35,128.03,126.03,126.85,1531088,122.5485625042,124.1780170749,122.238190205,123.0335192217,1531088,0.0,1.0
23,2015-02-05,127.04,127.49,125.87,126.76,1472761,123.2178027743,123.6542638201,122.0830040555,122.9462270126,1472761,0.0,1.0
24,2015-02-06,124.8,127.24,124.32,127.0,1573436,121.0451966801,123.4117854613,120.5796382313,123.1790062369,1573436,0.0,1.0
25,2015-02-09,123.4,124.75,122.93,123.86,1357217,119.6873178712,120.9967010083,119.2314585567,120.1334780512,1357217,0.0,1.0
26,2015-02-10,125.03,125.16,123.63,124.08,1232255,121.2682767701,121.3943655167,119.9103979612,120.3468590069,1232255,0.0,1.0
27,2015-02-11,125.42,126.19,124.86,125.27,1313650,121.6465430097,122.3933763546,121.1033914862,121.5010559945,1313650,0.0,1.0
28,2015-02-12,126.83,127.08,125.6,126.76,1370737,123.014120953,123.2565993117,121.821127428,122.9462270126,1370737,0.0,1.0
