,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,63.26,64.0,62.64,63.49,1104235,53.0782962927,53.6991932142,52.5580853584,53.2712777683,1104235,0.0,1.0
1,2015-01-05,62.16,62.99,61.89,62.7,1761834,52.1553414093,52.8517528213,51.9287979379,52.6084283521,1761834,0.0,1.0
2,2015-01-06,60.86,62.36,60.36,62.22,2218717,51.0645765471,52.3231513881,50.6450516002,52.205684403,2218717,0.0,1.0
3,2015-01-07,61.19,61.78,61.02,61.51,1715164,51.3414630122,51.8365024496,51.1988245302,51.6099589782,1715164,0.0,1.0
4,2015-01-08,62.43,62.46,61.648,61.69,1716821,52.3818848807,52.4070563775,51.7257478636,51.7609879591,1716821,0.0,1.0
5,2015-01-09,61.75,62.62,61.62,62.62,964306,51.8113309528,52.5413043605,51.7022544666,52.5413043605,964306,0.0,1.0
6,2015-01-12,62.2,62.97,61.44,62.94,2258651,52.1889034051,52.8349718234,51.5512254857,52.8098003266,2258651,0.0,1.0
7,2015-01-13,61.89,63.25,61.11,62.84,1337119,51.9287979379,53.0699057937,51.2743390206,52.7258953372,1337119,0.0,1.0
8,2015-01-14,61.43,61.49,60.53,60.73,1577410,51.5428349867,51.5931779804,50.7876900821,50.9555000609,1577410,0.0,1.0
9,2015-01-15,61.55,62.17,60.92,61.72,2754511,51.643520974,52.1637319083,51.1149195408,51.786159456,2754511,0.0,1.0
10,2015-01-16,61.62,61.7,60.15,61.31,2902902,51.7022544666,51.7693784581,50.4688511224,51.4421489994,2902902,0.0,1.0
11,2015-01-20,62.37,62.71,61.43,62.19,2466764,52.331541887,52.616818851,51.5428349867,52.1805129061,2466764,0.0,1.0
12,2015-01-21,63.12,63.275,61.85,62.06,1864221,52.9608293075,53.0908820411,51.8952359422,52.0714364199,1864221,0.0,1.0
13,2015-01-22,64.74,64.76,63.41,63.75,2714149,54.3200901358,54.3368711336,53.2041537768,53.4894307407,2714149,0.0,1.0
14,2015-01-23,64.66,65.601,64.35,64.5,3152733,54.2529661442,55.0425120945,53.9928606771,54.1187181612,3152733,0.0,1.0
15,2015-01-26,65.33,65.37,63.96,64.67,1670785,54.8151295732,54.848691569,53.6656312185,54.2613566432,1670785,0.0,1.0
16,2015-01-27,64.76,65.11,63.78,64.45,1697744,54.3368711336,54.6305385965,53.5146022375,54.0767656665,1697744,0.0,1.0
17,2015-01-28,63.85,65.47,63.8,65.15,2025810,53.5733357301,54.9325965584,53.5313832354,54.6641005923,2025810,0.0,1.0
18,2015-01-29,64.66,64.75,63.31,63.79,2839978,54.2529661442,54.3284806347,53.1202487874,53.5229927365,2839978,0.0,1.0
19,2015-01-30,66.4,66.54,64.85,65.89,4296044,55.7129129598,55.8303799449,54.4123856241,55.2849975138,4296044,0.0,1.0
20,2015-02-02,66.16,66.53,64.95,66.5,3058985,55.5115409852,55.821989446,54.4962906135,55.7968179492,3058985,0.0,1.0
21,2015-02-03,67.45,67.5799,66.52,66.59,2650089,56.5939153484,56.7029079297,55.813598947,55.8723324396,2650089,0.0,1.0
22,2015-02-04,66.81,67.5,66.47,67.5,2005880,56.0569234163,56.6358678431,55.7716464523,56.6358678431,2005880,0.0,1.0
23,2015-02-05,66.84,67.33,66.74,66.91,1890428,56.0820949131,56.4932293611,55.9981899237,56.1408284057,1890428,0.0,1.0
