,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,66.34,68.08,65.71,67.74,6215071,66.34,68.08,65.71,67.74,6215071,0.0,1.0
1,2015-01-05,66.15,67.35,65.5,66.87,5033887,66.15,67.35,65.5,66.87,5033887,0.0,1.0
2,2015-01-06,64.58,67.0,63.11,66.63,6051891,64.58,67.0,63.11,66.63,6051891,0.0,1.0
3,2015-01-07,65.53,66.11,64.0,64.96,5133939,65.53,66.11,64.0,64.96,5133939,0.0,1.0
4,2015-01-08,66.64,67.52,65.41,65.7,6889597,66.64,67.52,65.41,65.7,6889597,0.0,1.0
5,2015-01-09,65.34,66.97,64.9,66.76,3488027,65.34,66.97,64.9,66.76,3488027,0.0,1.0
6,2015-01-12,65.92,66.85,63.84,66.16,5246008,65.92,66.85,63.84,66.16,5246008,0.0,1.0
7,2015-01-13,66.41,68.26,65.45,66.84,6265791,66.41,68.26,65.45,66.84,6265791,0.0,1.0
8,2015-01-14,64.05,65.54,62.651,65.11,6747887,64.05,65.54,62.651,65.11,6747887,0.0,1.0
9,2015-01-15,63.83,66.03,63.72,64.28,6255211,63.83,66.03,63.72,64.28,6255211,0.0,1.0
10,2015-01-16,65.75,65.75,62.37,63.56,8142163,65.75,65.75,62.37,63.56,8142163,0.0,1.0
11,2015-01-20,68.03,68.54,65.85,67.11,9454538,68.03,68.54,65.85,67.11,9454538,0.0,1.0
12,2015-01-21,69.21,69.46,66.68,67.61,7078975,69.21,69.46,66.68,67.61,7078975,0.0,1.0
13,2015-01-22,72.34,73.2,69.82,71.0,9679596,72.34,73.2,69.82,71.0,9679596,0.0,1.0
14,2015-01-23,73.1,73.22,71.51,72.26,3811025,73.1,73.22,71.51,72.26,3811025,0.0,1.0
15,2015-01-26,73.62,74.52,72.31,72.54,5594003,73.62,74.52,72.31,72.54,5594003,0.0,1.0
16,2015-01-27,71.8,73.5108,71.61,72.21,4391943,71.8,73.5108,71.61,72.21,4391943,0.0,1.0
17,2015-01-28,70.77,73.8,70.41,72.68,4491265,70.77,73.8,70.41,72.68,4491265,0.0,1.0
18,2015-01-29,73.53,73.79,70.711,71.38,6116806,73.53,73.79,70.711,71.38,6116806,0.0,1.0
19,2015-01-30,69.37,73.52,68.26,72.88,8053183,69.37,73.52,68.26,72.88,8053183,0.0,1.0
20,2015-02-02,69.38,69.38,65.74,69.08,9992168,69.38,69.38,65.74,69.08,9992168,0.0,1.0
21,2015-02-03,67.97,68.97,66.7,67.3,8798098,67.97,68.97,66.7,67.3,8798098,0.0,1.0
22,2015-02-04,71.7,72.23,68.8,68.8,6393608,71.7,72.23,68.8,68.8,6393608,0.0,1.0
23,2015-02-05,69.6,71.35,68.63,71.29,5160371,69.6,71.35,68.63,71.29,5160371,0.0,1.0
24,2015-02-06,67.58,69.33,67.14,69.04,6422852,67.58,69.33,67.14,69.04,6422852,0.0,1.0
25,2015-02-09,64.57,66.67,63.76,65.7,7972225,64.57,66.67,63.76,65.7,7972225,0.0,1.0
26,2015-02-10,67.63,67.71,65.23,65.4,5488344,67.63,67.71,65.23,65.4,5488344,0.0,1.0
27,2015-02-11,67.12,68.576,66.569,68.34,4394791,67.12,68.576,66.569,68.34,4394791,0.0,1.0
28,2015-02-12,67.34,67.55,64.85,66.01,4416597,67.34,67.55,64.85,66.01,4416597,0.0,1.0
29,2015-02-13,66.23,66.59,65.39,66.11,4363901,66.23,66.59,65.39,66.11,4363901,0.0,1.0
30,2015-02-17,64.93,67.425,64.72,66.5,4445469,64.93,67.425,64.72,66.5,4445469,0.0,1.0
31,2015-02-18,66.72,66.74,64.5,65.9,4446295,66.72,66.74,64.5,65.9,4446295,0.0,1.0
32,2015-02-19,66.09,68.92,66.04,68.45,4806192,66.09,68.92,66.04,68.45,4806192,0.0,1.0
33,2015-02-20,68.01,68.28,65.52,66.09,4697722,68.01,68.28,65.52,66.09,4697722,0.0,1.0
34,2015-02-23,68.84,69.83,67.98,69.03,5116974,68.84,69.83,67.98,69.03,5116974,0.0,1.0
35,2015-02-24,70.89,71.38,67.27,67.95,5185595,70.89,71.38,67.27,67.95,5185595,0.0,1.0
36,2015-02-25,68.69,70.79,68.67,70.56,4416876,68.69,70.79,68.67,70.56,4416876,0.0,1.0
37,2015-02-26,67.42,69.7,66.39,69.63,6027305,67.42,69.7,66.39,69.63,6027305,0.0,1.0
38,2015-02-27,65.18,67.61,64.71,67.51,5823614,65.18,67.61,64.71,67.51,5823614,0.0,1.0
39,2015-03-02,66.81,67.14,65.935,66.14,5052341,66.81,67.14,65.935,66.14,5052341,0.0,1.0
40,2015-03-03,69.0,69.04,66.095,66.2,6007906,69.0,69.04,66.095,66.2,6007906,0.0,1.0
41,2015-03-04,68.67,69.13,67.59,68.37,4579137,68.67,69.13,67.59,68.37,4579137,0.0,1.0
42,2015-03-05,67.92,69.31,67.33,69.3,3902648,67.92,69.31,67.33,69.3,3902648,0.0,1.0
43,2015-03-06,66.67,68.31,66.54,67.66,2370175,66.67,68.31,66.54,67.66,2370175,0.0,1.0
44,2015-03-09,66.15,67.47,65.82,66.9,4612094,66.15,67.47,65.82,66.9,4612094,0.0,1.0
45,2015-03-10,64.61,65.98,64.3,65.77,4079019,64.61,65.98,64.3,65.77,4079019,0.0,1.0
46,2015-03-11,65.97,66.27,64.78,65.05,4881048,65.97,66.27,64.78,65.05,4881048,0.0,1.0
47,2015-03-12,67.74,67.96,66.08,66.19,4361298,67.74,67.96,66.08,66.19,4361298,0.0,1.0
48,2015-03-13,67.57,69.11,67.41,68.02,4763270,67.57,69.11,67.41,68.02,4763270,0.0,1.0
49,2015-03-16,67.92,68.92,67.41,68.22,4281468,67.92,68.92,67.41,68.22,4281468,0.0,1.0
50,2015-03-17,69.09,69.25,67.66,68.46,5052166,69.09,69.25,67.66,68.46,5052166,0.0,1.0
51,2015-03-18,68.1,69.5493,67.55,69.32,5663294,68.1,69.5493,67.55,69.32,5663294,0.0,1.0
52,2015-03-19,70.09,70.31,68.1901,68.83,5548305,70.09,70.31,68.1901,68.83,5548305,0.0,1.0
53,2015-03-20,69.45,70.3,68.86,69.39,10443570,69.45,70.3,68.86,69.39,10443570,0.0,1.0
54,2015-03-23,67.61,69.87,67.5,69.77,5258877,67.61,69.87,67.5,69.77,5258877,0.0,1.0
