,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,63.97,65.0,63.05,64.08,529877,61.4502632317,62.4396922005,60.5665014344,61.5559304032,529877,0.0,1.0
1,2015-01-05,63.14,63.98,62.71,63.82,885799,60.6529563929,61.4598693382,60.2398938137,61.3061716344,885799,0.0,1.0
2,2015-01-06,62.92,63.74,62.82,63.05,755307,60.44162205,61.2293227824,60.3455609851,60.5665014344,755307,0.0,1.0
3,2015-01-07,62.96,63.35,62.74,63.02,632053,60.480046476,60.8546846292,60.2687121332,60.537683115,632053,0.0,1.0
4,2015-01-08,63.59,63.93,63.19,63.19,894871,61.085231185,61.4118388058,60.7009869253,60.7009869253,894871,0.0,1.0
5,2015-01-09,63.09,63.61,62.804,63.32,559630,60.6049258604,61.104443398,60.3301912147,60.8258663097,559630,0.0,1.0
6,2015-01-12,62.965,63.67,62.6,63.33,472656,60.4848495293,61.162080037,60.1342266423,60.8354724162,472656,0.0,1.0
7,2015-01-13,63.43,64.09,63.02,63.4,576023,60.9315334812,61.5655365097,60.537683115,60.9027151617,576023,0.0,1.0
8,2015-01-14,62.97,64.06,62.56,63.02,484406,60.4896525825,61.5367181902,60.0958022163,60.537683115,484406,0.0,1.0
9,2015-01-15,62.7,63.11,62.43,62.92,479650,60.2302877072,60.6241380734,59.9709228319,60.44162205,479650,0.0,1.0
10,2015-01-16,62.9,63.24,62.28,62.5,584617,60.4224098371,60.7490174578,59.8268312345,60.0381655774,584617,0.0,1.0
11,2015-01-20,63.195,63.49,62.43,63.0,828877,60.7057899786,60.9891701201,59.9709228319,60.518470902,828877,0.0,1.0
12,2015-01-21,63.43,63.63,62.74,62.87,540280,60.9315334812,61.123655611,60.2687121332,60.3935915176,540280,0.0,1.0
13,2015-01-22,64.26,64.44,63.39,63.54,1548529,61.72884032,61.9017502369,60.8931090552,61.0372006526,1548529,0.0,1.0
14,2015-01-23,65.115,65.34,63.97,64.14,669174,62.5501624251,62.7662998212,61.4502632317,61.6135670421,669174,0.0,1.0
15,2015-01-26,64.91,65.29,64.53,65.0,628870,62.353237242,62.7182692887,61.9882051953,62.4396922005,628870,0.0,1.0
16,2015-01-27,64.295,64.91,64.01,64.24,483409,61.7624616928,62.353237242,61.4886876577,61.709628107,483409,0.0,1.0
