,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,57.19,57.4,56.565,57.23,685341,57.19,57.4,56.565,57.23,685341,0.0,1.0
1,2015-01-05,56.24,56.98,55.9,56.67,875258,56.24,56.98,55.9,56.67,875258,0.0,1.0
2,2015-01-06,55.18,56.39,54.76,56.17,1289320,55.18,56.39,54.76,56.17,1289320,0.0,1.0
3,2015-01-07,55.64,55.93,55.18,55.42,552415,55.64,55.93,55.18,55.42,552415,0.0,1.0
4,2015-01-08,56.88,56.96,55.63,55.89,1283914,56.88,56.96,55.63,55.89,1283914,0.0,1.0
5,2015-01-09,57.34,57.92,56.85,57.06,1088955,57.34,57.92,56.85,57.06,1088955,0.0,1.0
6,2015-01-12,56.77,57.64,56.48,57.34,767216,56.77,57.64,56.48,57.34,767216,0.0,1.0
7,2015-01-13,56.81,57.88,56.32,57.29,631840,56.81,57.88,56.32,57.29,631840,0.0,1.0
8,2015-01-14,56.265,56.72,55.79,56.1,527239,56.265,56.72,55.79,56.1,527239,0.0,1.0
9,2015-01-15,55.57,56.77,55.555,56.55,470404,55.57,56.77,55.555,56.55,470404,0.0,1.0
10,2015-01-16,56.66,56.765,55.58,55.67,802555,56.66,56.765,55.58,55.67,802555,0.0,1.0
11,2015-01-20,56.16,56.97,55.62,56.76,861243,56.16,56.97,55.62,56.76,861243,0.0,1.0
12,2015-01-21,56.37,56.64,55.6751,55.89,853970,56.37,56.64,55.6751,55.89,853970,0.0,1.0
13,2015-01-22,56.2,56.425,54.95,55.24,1516683,56.2,56.425,54.95,55.24,1516683,0.0,1.0
14,2015-01-23,56.81,57.91,56.03,56.04,944215,56.81,57.91,56.03,56.04,944215,0.0,1.0
15,2015-01-26,55.81,56.58,54.13,55.68,2157969,55.81,56.58,54.13,55.68,2157969,0.0,1.0
16,2015-01-27,54.85,55.61,54.19,55.06,1148744,54.85,55.61,54.19,55.06,1148744,0.0,1.0
17,2015-01-28,54.3,55.59,54.27,55.35,1048705,54.3,55.59,54.27,55.35,1048705,0.0,1.0
18,2015-01-29,54.69,54.82,53.7,54.27,815364,54.69,54.82,53.7,54.27,815364,0.0,1.0
19,2015-01-30,54.48,55.21,54.15,54.45,1317478,54.48,55.21,54.15,54.45,1317478,0.0,1.0
20,2015-02-02,55.21,55.3,53.48,54.47,1015987,55.21,55.3,53.48,54.47,1015987,0.0,1.0
21,2015-02-03,57.34,57.73,55.34,55.63,1830980,57.34,57.73,55.34,55.63,1830980,0.0,1.0
22,2015-02-04,56.88,58.16,56.67,57.31,1686232,56.88,58.16,56.67,57.31,1686232,0.0,1.0
23,2015-02-05,56.95,57.45,56.68,57.0,1601668,56.95,57.45,56.68,57.0,1601668,0.0,1.0
24,2015-02-06,59.97,61.38,57.18,58.44,3676015,59.97,61.38,57.18,58.44,3676015,0.0,1.0
25,2015-02-09,60.59,61.04,59.28,59.87,1623233,60.59,61.04,59.28,59.87,1623233,0.0,1.0
26,2015-02-10,60.88,61.1,60.31,61.1,1400909,60.88,61.1,60.31,61.1,1400909,0.0,1.0
27,2015-02-11,60.98,61.13,60.63,60.98,834286,60.98,61.13,60.63,60.98,834286,0.0,1.0
28,2015-02-12,61.72,62.19,61.35,61.58,1227145,61.72,62.19,61.35,61.58,1227145,0.0,1.0
29,2015-02-13,62.15,62.48,61.53,61.7,1108328,62.15,62.48,61.53,61.7,1108328,0.0,1.0
30,2015-02-17,62.16,62.52,62.0,62.18,1079939,62.16,62.52,62.0,62.18,1079939,0.0,1.0
31,2015-02-18,62.6,62.88,62.02,62.39,1135182,62.6,62.88,62.02,62.39,1135182,0.0,1.0
32,2015-02-19,63.52,63.61,62.36,62.49,1381748,63.52,63.61,62.36,62.49,1381748,0.0,1.0
33,2015-02-20,63.87,63.88,63.02,63.23,1045402,63.87,63.88,63.02,63.23,1045402,0.0,1.0
34,2015-02-23,63.61,63.7,63.322,63.4,1104843,63.61,63.7,63.322,63.4,1104843,0.0,1.0
35,2015-02-24,64.06,64.23,63.19,63.3,1144825,64.06,64.23,63.19,63.3,1144825,0.0,1.0
36,2015-02-25,64.4,64.46,63.99,63.99,984712,64.4,64.46,63.99,63.99,984712,0.0,1.0
37,2015-02-26,64.825,64.95,64.2,64.55,872204,64.825,64.95,64.2,64.55,872204,0.0,1.0
38,2015-02-27,64.02,64.9,63.97,64.6,1097133,64.02,64.9,63.97,64.6,1097133,0.0,1.0
39,2015-03-02,64.58,64.58,63.79,64.04,763604,64.58,64.58,63.79,64.04,763604,0.0,1.0
40,2015-03-03,63.96,64.47,63.91,64.21,883152,63.96,64.47,63.91,64.21,883152,0.0,1.0
41,2015-03-04,63.7,64.31,63.23,63.48,893279,63.7,64.31,63.23,63.48,893279,0.0,1.0
42,2015-03-05,64.39,64.46,63.69,63.72,1011662,64.39,64.46,63.69,63.72,1011662,0.0,1.0
43,2015-03-06,63.92,64.5,63.86,64.17,1305226,63.92,64.5,63.86,64.17,1305226,0.0,1.0
44,2015-03-09,64.33,64.49,63.96,64.16,637328,64.33,64.49,63.96,64.16,637328,0.0,1.0
45,2015-03-10,62.78,63.95,62.78,63.84,892009,62.78,63.95,62.78,63.84,892009,0.0,1.0
46,2015-03-11,63.21,63.39,62.61,63.33,698583,63.21,63.39,62.61,63.33,698583,0.0,1.0
47,2015-03-12,63.81,64.08,63.01,63.01,1019589,63.81,64.08,63.01,63.01,1019589,0.0,1.0
48,2015-03-13,63.63,64.07,63.51,63.72,597860,63.63,64.07,63.51,63.72,597860,0.0,1.0
49,2015-03-16,64.05,64.19,63.64,63.94,569499,64.05,64.19,63.64,63.94,569499,0.0,1.0
50,2015-03-17,63.975,64.165,63.53,63.76,578039,63.975,64.165,63.53,63.76,578039,0.0,1.0
51,2015-03-18,64.99,65.485,63.7,63.73,870536,64.99,65.485,63.7,63.73,870536,0.0,1.0
52,2015-03-19,64.27,65.44,64.27,64.96,910193,64.27,65.44,64.27,64.96,910193,0.0,1.0
53,2015-03-20,64.75,65.67,64.59,64.59,1824474,64.75,65.67,64.59,64.59,1824474,0.0,1.0
54,2015-03-23,65.99,66.06,64.63,64.93,837890,65.99,66.06,64.63,64.93,837890,0.0,1.0
55,2015-03-24,66.29,66.81,65.7,65.99,950045,66.29,66.81,65.7,65.99,950045,0.0,1.0
56,2015-03-25,65.13,66.5,65.08,66.22,1274649,65.13,66.5,65.08,66.22,1274649,0.0,1.0
57,2015-03-26,64.92,65.37,64.1599,64.8,923793,64.92,65.37,64.1599,64.8,923793,0.0,1.0
58,2015-03-27,66.295,66.78,64.92,65.22,1138301,66.295,66.78,64.92,65.22,1138301,0.0,1.0
59,2015-03-30,66.99,67.03,66.34,66.55,716061,66.99,67.03,66.34,66.55,716061,0.0,1.0
60,2015-03-31,66.97,67.5,66.3,66.8,916120,66.97,67.5,66.3,66.8,916120,0.0,1.0
61,2015-04-01,66.57,67.17,66.02,66.69,787412,66.57,67.17,66.02,66.69,787412,0.0,1.0
62,2015-04-02,66.69,66.85,66.25,66.67,1206751,66.69,66.85,66.25,66.67,1206751,0.0,1.0
63,2015-04-06,66.6,67.1,65.67,66.12,714765,66.6,67.1,65.67,66.12,714765,0.0,1.0
64,2015-04-07,66.52,67.13,66.2,66.5,590320,66.52,67.13,66.2,66.5,590320,0.0,1.0
65,2015-04-08,67.23,67.24,66.26,66.43,1653118,67.23,67.24,66.26,66.43,1653118,0.0,1.0
66,2015-04-09,67.52,67.79,66.71,67.18,471650,67.52,67.79,66.71,67.18,471650,0.0,1.0
67,2015-04-10,67.75,67.93,67.182,67.61,645119,67.75,67.93,67.182,67.61,645119,0.0,1.0
68,2015-04-13,67.515,67.96,67.45,67.69,781698,67.515,67.96,67.45,67.69,781698,0.0,1.0
69,2015-04-14,67.58,67.92,66.86,67.39,4183980,67.58,67.92,66.86,67.39,4183980,0.0,1.0
70,2015-04-15,67.7,68.23,67.43,68.01,959755,67.7,68.23,67.43,68.01,959755,0.0,1.0
71,2015-04-16,67.87,67.89,67.25,67.6,591752,67.87,67.89,67.25,67.6,591752,0.0,1.0
72,2015-04-17,66.055,67.58,65.79,67.36,1045994,66.055,67.58,65.79,67.36,1045994,0.0,1.0
73,2015-04-20,66.49,66.64,66.24,66.31,1056428,66.49,66.64,66.24,66.31,1056428,0.0,1.0
74,2015-04-21,67.06,67.17,66.45,66.94,1231640,67.06,67.17,66.45,66.94,1231640,0.0,1.0
75,2015-04-22,67.23,67.66,66.6,67.62,543392,67.23,67.66,66.6,67.62,543392,0.0,1.0
76,2015-04-23,67.73,68.25,67.03,67.2,1027703,67.73,68.25,67.03,67.2,1027703,0.0,1.0
77,2015-04-24,65.04,66.63,62.62,65.02,4066928,65.04,66.63,62.62,65.02,4066928,0.0,1.0
78,2015-04-27,64.42,65.44,64.27,65.08,937102,64.42,65.44,64.27,65.08,937102,0.0,1.0
79,2015-04-28,64.71,65.11,64.19,64.47,776743,64.71,65.11,64.19,64.47,776743,0.0,1.0
80,2015-04-29,64.14,64.81,63.91,64.19,823811,64.14,64.81,63.91,64.19,823811,0.0,1.0
81,2015-04-30,63.51,64.44,63.13,63.68,1326770,63.51,64.44,63.13,63.68,1326770,0.0,1.0
82,2015-05-01,64.15,64.31,63.53,63.9,1087275,64.15,64.31,63.53,63.9,1087275,0.0,1.0
83,2015-05-04,64.42,64.89,64.09,64.15,974720,64.42,64.89,64.09,64.15,974720,0.0,1.0
84,2015-05-05,62.85,64.37,62.675,64.09,1809776,62.85,64.37,62.675,64.09,1809776,0.0,1.0
85,2015-05-06,63.34,63.71,62.72,63.08,1048703,63.34,63.71,62.72,63.08,1048703,0.0,1.0
