,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,123.07,123.68,118.3,119.97,1442665,123.07,123.68,118.3,119.97,1442665,0.0,1.0
1,2015-01-05,121.03,122.78,119.34,122.27,1684426,121.03,122.78,119.34,122.27,1684426,0.0,1.0
2,2015-01-06,117.36,122.58,116.8,121.31,2289743,117.36,122.58,116.8,121.31,2289743,0.0,1.0
3,2015-01-07,120.66,120.77,117.63,118.82,1219866,120.66,120.77,117.63,118.82,1219866,0.0,1.0
4,2015-01-08,123.97,124.0,121.14,122.0,1358285,123.97,124.0,121.14,122.0,1358285,0.0,1.0
5,2015-01-09,122.21,125.29,122.0,123.75,1061145,122.21,125.29,122.0,123.75,1061145,0.0,1.0
6,2015-01-12,118.31,124.4,117.73,123.01,2783167,118.31,124.4,117.73,123.01,2783167,0.0,1.0
7,2015-01-13,120.6,123.85,119.7,120.4,1631808,120.6,123.85,119.7,120.4,1631808,0.0,1.0
8,2015-01-14,120.38,121.2199,118.42,118.42,1224932,120.38,121.2199,118.42,118.42,1224932,0.0,1.0
9,2015-01-15,117.78,121.3899,117.68,120.78,1052322,117.78,121.3899,117.68,120.78,1052322,0.0,1.0
10,2015-01-16,122.86,123.08,117.145,117.4,1424710,122.86,123.08,117.145,117.4,1424710,0.0,1.0
11,2015-01-20,124.74,125.26,121.03,123.14,1102897,124.74,125.26,121.03,123.14,1102897,0.0,1.0
12,2015-01-21,125.085,126.21,123.71,123.71,1196838,125.085,126.21,123.71,123.71,1196838,0.0,1.0
13,2015-01-22,127.3,127.69,122.01,125.41,1579283,127.3,127.69,122.01,125.41,1579283,0.0,1.0
14,2015-01-23,125.57,127.015,125.02,126.72,977026,125.57,127.015,125.02,126.72,977026,0.0,1.0
15,2015-01-26,125.12,126.825,124.44,125.86,1203838,125.12,126.825,124.44,125.86,1203838,0.0,1.0
16,2015-01-27,123.67,126.54,123.51,123.91,1103818,123.67,126.54,123.51,123.91,1103818,0.0,1.0
17,2015-01-28,121.26,124.99,120.88,124.76,1830552,121.26,124.99,120.88,124.76,1830552,0.0,1.0
18,2015-01-29,114.14,115.941,111.28,112.4,4027048,114.14,115.941,111.28,112.4,4027048,0.0,1.0
19,2015-01-30,110.14,116.19,110.0,113.17,3027762,110.14,116.19,110.0,113.17,3027762,0.0,1.0
20,2015-02-02,111.18,111.362,107.08,110.31,1797560,111.18,111.362,107.08,110.31,1797560,0.0,1.0
21,2015-02-03,108.72,111.66,106.62,111.18,2205090,108.72,111.66,106.62,111.18,2205090,0.0,1.0
22,2015-02-04,109.27,110.64,103.75,107.5,2302622,109.27,110.64,103.75,107.5,2302622,0.0,1.0
23,2015-02-05,111.59,111.86,108.27,109.42,1099180,111.59,111.86,108.27,109.42,1099180,0.0,1.0
24,2015-02-06,108.66,112.87,106.8,107.12,1718740,108.66,112.87,106.8,107.12,1718740,0.0,1.0
25,2015-02-09,107.88,109.5999,107.16,108.29,1183820,107.88,109.5999,107.16,108.29,1183820,0.0,1.0
26,2015-02-10,108.43,109.78,107.43,108.34,1282335,108.43,109.78,107.43,108.34,1282335,0.0,1.0
27,2015-02-11,108.62,110.22,107.23,108.68,990870,108.62,110.22,107.23,108.68,990870,0.0,1.0
28,2015-02-12,109.63,109.97,108.065,109.43,1328765,109.63,109.97,108.065,109.43,1328765,0.0,1.0
29,2015-02-13,113.66,113.85,108.0001,109.99,1689561,113.66,113.85,108.0001,109.99,1689561,0.0,1.0
30,2015-02-17,113.4,115.68,112.535,113.61,999112,113.4,115.68,112.535,113.61,999112,0.0,1.0
31,2015-02-18,113.57,113.78,111.84,112.34,960912,113.57,113.78,111.84,112.34,960912,0.0,1.0
32,2015-02-19,111.97,113.99,111.68,113.47,1244059,111.97,113.99,111.68,113.47,1244059,0.0,1.0
33,2015-02-20,118.61,118.793,111.78,112.55,2467549,118.61,118.793,111.78,112.55,2467549,0.0,1.0
34,2015-02-23,117.12,119.91,116.07,118.28,1262645,117.12,119.91,116.07,118.28,1262645,0.0,1.0
35,2015-02-24,116.92,117.31,114.71,117.31,1011019,116.92,117.31,114.71,117.31,1011019,0.0,1.0
36,2015-02-25,118.84,121.5,115.43,115.435,1651106,118.84,121.5,115.43,115.435,1651106,0.0,1.0
37,2015-02-26,119.97,120.23,116.5,119.05,1303281,119.97,120.23,116.5,119.05,1303281,0.0,1.0
38,2015-02-27,119.43,120.52,118.21,119.92,1050126,119.43,120.52,118.21,119.92,1050126,0.0,1.0
39,2015-03-02,120.17,120.72,118.44,120.62,1511228,120.17,120.72,118.44,120.62,1511228,0.0,1.0
40,2015-03-03,123.52,123.82,119.11,120.06,1533144,123.52,123.82,119.11,120.06,1533144,0.0,1.0
41,2015-03-04,120.05,123.4,119.75,123.13,1363212,120.05,123.4,119.75,123.13,1363212,0.0,1.0
42,2015-03-05,126.96,127.36,120.28,120.79,2413717,126.96,127.36,120.28,120.79,2413717,0.0,1.0
43,2015-03-06,126.34,126.96,124.78,126.84,1581081,126.34,126.96,124.78,126.84,1581081,0.0,1.0
44,2015-03-09,126.98,127.419,125.0,126.34,1402960,126.98,127.419,125.0,126.34,1402960,0.0,1.0
45,2015-03-10,124.14,126.38,123.9,125.89,1672403,124.14,126.38,123.9,125.89,1672403,0.0,1.0
46,2015-03-11,122.64,124.64,121.78,124.52,1570934,122.64,124.64,121.78,124.52,1570934,0.0,1.0
47,2015-03-12,123.31,123.66,121.18,123.21,1371595,123.31,123.66,121.18,123.21,1371595,0.0,1.0
48,2015-03-13,124.0,125.69,121.065,123.31,1354443,124.0,125.69,121.065,123.31,1354443,0.0,1.0
49,2015-03-16,127.73,129.42,124.77,124.86,1974548,127.73,129.42,124.77,124.86,1974548,0.0,1.0
50,2015-03-17,129.15,129.46,126.46,127.16,1195647,129.15,129.46,126.46,127.16,1195647,0.0,1.0
51,2015-03-18,129.79,130.95,127.51,129.63,1926812,129.79,130.95,127.51,129.63,1926812,0.0,1.0
52,2015-03-19,134.25,134.41,130.07,131.16,2143332,134.25,134.41,130.07,131.16,2143332,0.0,1.0
53,2015-03-20,131.0,136.33,130.63,135.0,5731415,131.0,136.33,130.63,135.0,5731415,0.0,1.0
54,2015-03-23,125.79,128.54,122.0,123.62,5118515,125.79,128.54,122.0,123.62,5118515,0.0,1.0
55,2015-03-24,124.335,128.8,124.13,126.24,1780271,124.335,128.8,124.13,126.24,1780271,0.0,1.0
56,2015-03-25,118.64,126.29,118.16,124.5,2429906,118.64,126.29,118.16,124.5,2429906,0.0,1.0
57,2015-03-26,117.6,120.02,116.61,118.94,1902885,117.6,120.02,116.61,118.94,1902885,0.0,1.0
58,2015-03-27,120.34,120.78,117.45,117.73,1618094,120.34,120.78,117.45,117.73,1618094,0.0,1.0
59,2015-03-30,121.25,122.14,119.52,121.23,1263776,121.25,122.14,119.52,121.23,1263776,0.0,1.0
60,2015-03-31,117.97,121.02,117.81,119.98,1525084,117.97,121.02,117.81,119.98,1525084,0.0,1.0
61,2015-04-01,116.43,117.59,113.68,117.59,1910642,116.43,117.59,113.68,117.59,1910642,0.0,1.0
62,2015-04-02,117.23,117.74,114.32,115.85,1513946,117.23,117.74,114.32,115.85,1513946,0.0,1.0
63,2015-04-06,118.25,120.0,115.11,116.1,1252182,118.25,120.0,115.11,116.1,1252182,0.0,1.0
64,2015-04-07,120.47,122.06,118.12,118.12,1113197,120.47,122.06,118.12,118.12,1113197,0.0,1.0
65,2015-04-08,123.79,124.56,120.33,120.83,1356888,123.79,124.56,120.33,120.83,1356888,0.0,1.0
66,2015-04-09,125.64,125.75,123.09,123.67,1091722,125.64,125.75,123.09,123.67,1091722,0.0,1.0
67,2015-04-10,128.47,128.78,125.84,126.76,1119522,128.47,128.78,125.84,126.76,1119522,0.0,1.0
68,2015-04-13,127.81,129.69,127.7,128.47,1004832,127.81,129.69,127.7,128.47,1004832,0.0,1.0
69,2015-04-14,128.73,128.9931,126.13,127.75,949006,128.73,128.9931,126.13,127.75,949006,0.0,1.0
70,2015-04-15,129.2,130.26,126.75,128.1,1203780,129.2,130.26,126.75,128.1,1203780,0.0,1.0
71,2015-04-16,128.94,131.63,127.61,129.03,1142328,128.94,131.63,127.61,129.03,1142328,0.0,1.0
72,2015-04-17,125.07,128.9,124.46,127.52,1579115,125.07,128.9,124.46,127.52,1579115,0.0,1.0
73,2015-04-20,125.55,127.01,124.465,126.14,1351412,125.55,127.01,124.465,126.14,1351412,0.0,1.0
74,2015-04-21,132.2,135.31,127.21,128.8,3073965,132.2,135.31,127.21,128.8,3073965,0.0,1.0
75,2015-04-22,132.85,133.72,130.36,132.28,1119812,132.85,133.72,130.36,132.28,1119812,0.0,1.0
76,2015-04-23,135.82,137.5,131.79,132.44,1672488,135.82,137.5,131.79,132.44,1672488,0.0,1.0
77,2015-04-24,133.2,135.94,132.94,133.61,1246849,133.2,135.94,132.94,133.61,1246849,0.0,1.0
78,2015-04-27,127.88,135.07,126.69,134.09,2258831,127.88,135.07,126.69,134.09,2258831,0.0,1.0
79,2015-04-28,125.47,130.0,123.89,128.27,1696251,125.47,130.0,123.89,128.27,1696251,0.0,1.0
80,2015-04-29,123.76,127.74,123.11,124.58,1705828,123.76,127.74,123.11,124.58,1705828,0.0,1.0
81,2015-04-30,123.28,128.685,121.3,124.17,1849674,123.28,128.685,121.3,124.17,1849674,0.0,1.0
82,2015-05-01,125.6,125.97,123.816,123.92,1171946,125.6,125.97,123.816,123.92,1171946,0.0,1.0
83,2015-05-04,126.3,129.22,125.46,126.07,1196653,126.3,129.22,125.46,126.07,1196653,0.0,1.0
84,2015-05-05,122.15,126.22,121.15,125.42,1434216,122.15,126.22,121.15,125.42,1434216,0.0,1.0
