,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2020-11-16,15.86,16.15,15.34,15.64,26574200,13.4533893408,13.69938448,13.0122946083,13.2667723386,26574200,0.0,1.0
1,2020-11-17,16.34,17.93,15.3,15.39,60532936,13.8605537092,15.2092856797,12.9783642442,13.0547075633,60532936,0.0,1.0
2,2020-11-18,16.19,16.99,15.95,16.46,31517441,13.7333148441,14.4119221248,13.5297326599,13.9623448013,31517441,0.0,1.0
3,2020-11-19,18.11,18.2,15.99,16.0,35794059,15.3619723179,15.4383156369,13.5636630239,13.5721456149,35794059,0.0,1.0
4,2020-11-20,17.13,18.42,17.0,18.4,38015407,14.530678399,15.6249326392,14.4204047158,15.6079674571,38015407,0.0,1.0
5,2020-11-23,16.77,17.25,16.5,17.2355,20717971,14.2253051226,14.6324694911,13.9962751654,14.6201697341,20717971,0.0,1.0
6,2020-11-24,16.9,17.0,16.29,16.735,22966745,14.3355788057,14.4204047158,13.8181407542,14.1956160541,22966745,0.0,1.0
7,2020-11-25,17.07,17.31,16.55,16.68,15353777,14.4797828529,14.6833650371,14.0386881204,14.1489618035,15353777,0.0,1.0
8,2020-11-27,17.05,17.37,16.9,17.1,11024657,14.4628176709,14.7342605832,14.3355788057,14.5052306259,11024657,0.0,1.0
9,2020-11-30,16.82,17.16,16.8,17.03,21166326,14.2677180777,14.556126172,14.2507528956,14.4458524889,21166326,0.0,1.0
10,2020-12-01,17.01,17.15,16.74,16.88,15032761,14.4288873068,14.547643581,14.1998573496,14.3186136237,15032761,0.0,1.0
11,2020-12-02,17.125,17.27,16.84,16.9342,22173216,14.5264371034,14.6494346731,14.2846832597,14.364589267,22173216,0.0,1.0
12,2020-12-03,17.37,17.47,16.94,17.1358,16848384,14.7342605832,14.8190864933,14.3695091698,14.5355983017,16848384,0.0,1.0
13,2020-12-04,17.6,17.7,17.25,17.33,15946922,14.9293601764,15.0141860865,14.6324694911,14.7003302191,15946922,0.0,1.0
14,2020-12-07,17.57,18.0,17.52,17.61,10008659,14.9039124034,15.2686638168,14.8614994483,14.9378427674,10008659,0.0,1.0
15,2020-12-08,17.84,17.93,17.405,17.41,9303086,15.1329423606,15.2092856797,14.7639496517,14.7681909472,9303086,0.0,1.0
16,2020-12-09,17.52,17.975,17.5,17.85,12701883,14.8614994483,15.2474573392,14.8445342663,15.1414249516,12701883,0.0,1.0
17,2020-12-10,17.69,17.85,17.3,17.32,9422490,15.0057034955,15.1414249516,14.6748824461,14.6918476281,9422490,0.0,1.0
18,2020-12-11,17.34,17.75,17.08,17.5,15842674,14.7088128101,15.0565990415,14.4882654439,14.8445342663,15842674,0.0,1.0
19,2020-12-14,17.33,17.53,17.08,17.34,16694055,14.7003302191,14.8699820393,14.4882654439,14.7088128101,16694055,0.0,1.0
20,2020-12-15,17.73,17.87,17.2,17.4,13189112,15.0396338595,15.1583901336,14.590056536,14.7597083562,13189112,0.0,1.0
21,2020-12-16,17.86,18.27,17.56,17.62,17203789,15.1499075426,15.497693774,14.8954298124,14.9463253584,17203789,0.0,1.0
22,2020-12-17,17.72,17.89,17.55,17.75,14484983,15.0311512685,15.1753553157,14.8869472213,15.0565990415,14484983,0.0,1.0
23,2020-12-18,17.75,17.8,17.515,17.7,18226276,15.0565990415,15.0990119966,14.8572581528,15.0141860865,18226276,0.0,1.0
24,2020-12-21,17.39,17.55,17.25,17.4,14799820,14.7512257652,14.8869472213,14.6324694911,14.7597083562,14799820,0.0,1.0
25,2020-12-22,17.74,17.84,17.27,17.43,11415468,15.0481164505,15.1329423606,14.6494346731,14.7851561292,11415468,0.0,1.0
26,2020-12-23,17.88,18.04,17.66,17.7467,6303385,15.1668727246,15.3025941808,14.9802557224,15.0537997865,6303385,0.0,1.0
27,2020-12-24,17.77,17.92,17.67,17.8,1946680,15.0735642235,15.2008030887,14.9887383135,15.0990119966,1946680,0.0,1.0
28,2020-12-28,17.74,17.88,17.62,17.8561,4929334,15.0481164505,15.1668727246,14.9463253584,15.1465993321,4929334,0.0,1.0
29,2020-12-29,17.75,17.8,17.52,17.6607,4811911,15.0565990415,15.0990119966,14.8614994483,14.9808495038,4811911,0.0,1.0
30,2020-12-30,18.13,18.18,17.58,17.61,10332307,15.3789374999,15.4213504549,14.9123949944,14.9378427674,10332307,0.0,1.0
31,2020-12-31,18.74,18.86,18.03,18.22,14375983,15.8963755514,15.9981666436,15.2941115898,15.455280819,14375983,0.0,1.0
32,2021-01-04,18.54,18.77,18.21,18.66,12215605,15.7267237313,15.9218233245,15.446798228,15.8285148234,12215605,0.0,1.0
33,2021-01-05,18.1,18.605,17.81,18.49,12217787,15.3534897269,15.7818605728,15.1074945876,15.6843107762,12217787,0.0,1.0
34,2021-01-06,18.49,18.675,18.1,18.17,8625061,15.6843107762,15.8412387099,15.3534897269,15.4128678639,8625061,0.0,1.0
35,2021-01-07,18.52,18.69,18.36,18.52,7195092,15.7097585492,15.8539625964,15.5740370931,15.7097585492,7195092,0.0,1.0
36,2021-01-08,18.3,18.6,18.03,18.42,6893458,15.523141547,15.7776192773,15.2941115898,15.6249326392,6893458,0.0,1.0
37,2021-01-11,18.47,18.66,18.12,18.2,6961189,15.6673455942,15.8285148234,15.3704549089,15.4383156369,6961189,0.0,1.0
38,2021-01-12,18.24,18.67,18.2,18.45,7677583,15.472246001,15.8369974144,15.4383156369,15.6503804122,7677583,0.0,1.0
39,2021-01-13,18.4,18.71,18.2,18.27,9185867,15.6079674571,15.8709277784,15.4383156369,15.497693774,9185867,0.0,1.0
40,2021-01-14,17.31,18.355,16.75,18.3373,44993158,14.6833650371,15.5697957976,14.2083399406,15.5547816115,44993158,0.0,1.0
41,2021-01-15,17.05,17.2,16.7318,17.11,19765045,14.4628176709,14.590056536,14.192901625,14.5137132169,19765045,0.0,1.0
42,2021-01-19,17.44,17.56,17.08,17.26,10847169,14.7936387202,14.8954298124,14.4882654439,14.6409520821,10847169,0.0,1.0
43,2021-01-20,17.69,17.71,17.31,17.45,9953076,15.0057034955,15.0226686775,14.6833650371,14.8021213112,9953076,0.0,1.0
44,2021-01-21,17.31,17.62,16.8,17.36,13895074,14.6833650371,14.9463253584,14.2507528956,14.7257779922,13895074,0.0,1.0
45,2021-01-22,17.43,17.52,17.1,17.244,5726564,14.7851561292,14.8614994483,14.5052306259,14.6273799365,5726564,0.0,1.0
46,2021-01-25,17.23,17.4,17.125,17.26,9460056,14.615504309,14.7597083562,14.5264371034,14.6409520821,9460056,0.0,1.0
47,2021-01-26,17.09,17.36,17.08,17.2,5968669,14.4967480349,14.7257779922,14.4882654439,14.590056536,5968669,0.0,1.0
48,2021-01-27,16.86,17.17,16.61,17.0,14517707,14.3016484417,14.564608763,14.0895836665,14.4204047158,14517707,0.0,1.0
49,2021-01-28,17.19,17.445,16.84,16.9,9215227,14.581573945,14.7978800157,14.2846832597,14.3355788057,9215227,0.0,1.0
50,2021-01-29,16.99,17.58,16.9,17.25,8256088,14.4119221248,14.9123949944,14.3355788057,14.6324694911,8256088,0.0,1.0
51,2021-02-01,17.445,17.58,17.03,17.15,8954928,14.7978800157,14.9123949944,14.4458524889,14.547643581,8954928,0.0,1.0
52,2021-02-02,17.38,17.75,17.36,17.57,9185721,14.7427431742,15.0565990415,14.7257779922,14.9039124034,9185721,0.0,1.0
53,2021-02-03,18.09,18.38,17.3,17.3,15935468,15.3450071358,15.5910022751,14.6748824461,14.6748824461,15935468,0.0,1.0
54,2021-02-04,18.0,18.28,17.71,18.11,7266619,15.2686638168,15.506176365,15.0226686775,15.3619723179,7266619,0.0,1.0
55,2021-02-05,17.895,18.075,17.64,18.02,7864581,15.1795966112,15.3322832493,14.9632905404,15.2856289988,7864581,0.0,1.0
56,2021-02-08,18.0,18.04,17.715,17.99,7331816,15.2686638168,15.3025941808,15.026909973,15.2601812258,7331816,0.0,1.0
57,2021-02-09,18.47,18.55,17.84,17.85,6552614,15.6673455942,15.7352063223,15.1329423606,15.1414249516,6552614,0.0,1.0
58,2021-02-10,18.39,18.67,18.21,18.53,7284584,15.5994848661,15.8369974144,15.446798228,15.7182411403,7284584,0.0,1.0
59,2021-02-11,18.24,18.44,18.07,18.22,5498144,15.472246001,15.6418978212,15.3280419538,15.455280819,5498144,0.0,1.0
60,2021-02-12,18.24,18.4,18.03,18.1,4469254,15.472246001,15.6079674571,15.2941115898,15.3534897269,4469254,0.0,1.0
61,2021-02-16,18.335,18.39,18.09,18.35,5009322,15.5528306156,15.5994848661,15.3450071358,15.5655545021,5009322,0.0,1.0
62,2021-02-17,18.52,18.545,18.17,18.2804,4675977,15.7097585492,15.7309650268,15.4128678639,15.5065156687,4675977,0.0,1.0
63,2021-02-18,18.27,18.68,18.25,18.61,6811975,15.497693774,15.8454800054,15.480728592,15.7861018683,6811975,0.0,1.0
64,2021-02-19,18.21,18.48,18.16,18.22,10868936,15.446798228,15.6758281852,15.4043852729,15.455280819,10868936,0.0,1.0
65,2021-02-22,15.5,16.8,15.49,16.547,39258346,13.1480160644,14.2507528956,13.1395334734,14.0361433431,39258346,0.0,1.0
66,2021-02-23,15.22,15.77,14.93,15.74,21414370,12.9105035162,13.3770460217,12.6645083769,13.3515982487,21414370,0.0,1.0
67,2021-02-24,15.3,15.47,14.94,15.33,15465558,12.9783642442,13.1225682914,12.6729909679,13.0038120173,15465558,0.0,1.0
68,2021-02-25,15.05,15.38,14.855,15.29,16256947,12.766299469,13.0462249723,12.6008889443,12.9698816532,16256947,0.0,1.0
69,2021-02-26,14.85,15.0,14.56,14.93,15691014,12.5966476488,12.723886514,12.3506525096,12.6645083769,15691014,0.0,1.0
70,2021-03-01,14.72,15.3,14.615,15.049,11913861,12.4863739657,12.9783642442,12.3973067601,12.7654512099,11913861,0.0,1.0
71,2021-03-02,14.29,14.7,14.135,14.55,16236590,12.1216225523,12.4694087837,11.9901423917,12.3421699185,16236590,0.0,1.0
72,2021-03-03,13.88,14.24,13.5308,14.17,24164102,11.7738363209,12.0792095973,11.4776242429,12.0198314602,24164102,0.0,1.0
73,2021-03-04,13.59,13.8,13.31,13.6707,18720691,11.5278411817,11.7059755928,11.2903286334,11.5962956911,18720691,0.0,1.0
74,2021-03-05,13.91,13.99,13.36,13.69,13295277,11.799284094,11.867144822,11.3327415884,11.6126670917,13295277,0.0,1.0
75,2021-03-08,13.83,14.05,13.68,13.76,11899589,11.7314233659,11.9180403681,11.6041845007,11.6720452288,11899589,0.0,1.0
76,2021-03-09,13.91,14.215,13.71,13.93,10908802,11.799284094,12.0580031197,11.6296322738,11.816249276,10908802,0.0,1.0
77,2021-03-10,14.06,14.23,13.83,14.05,8696611,11.9265229591,12.0707270063,11.7314233659,11.9180403681,8696611,0.0,1.0
78,2021-03-11,14.1,14.22,13.92,14.13,8355305,11.9604533231,12.0622444152,11.807766685,11.9859010962,8355305,0.0,1.0
79,2021-03-12,14.36,14.385,13.9882,14.07,7784448,12.1810006894,12.2022071669,11.8656179556,11.9350055501,7784448,0.0,1.0
80,2021-03-15,14.67,14.685,14.23,14.27,9915013,12.4439610107,12.4566848972,12.0707270063,12.1046573703,9915013,0.0,1.0
81,2021-03-16,14.53,14.73,14.4435,14.67,10558616,12.3252047365,12.4948565567,12.2518303243,12.4439610107,10558616,0.0,1.0
82,2021-03-17,15.08,15.1,14.42,14.43,10784529,12.791747242,12.8087124241,12.2318962354,12.2403788264,10784529,0.0,1.0
83,2021-03-18,14.59,15.03,14.5,14.97,9877532,12.3761002826,12.749334287,12.2997569635,12.6984387409,9877532,0.0,1.0
84,2021-03-19,14.78,14.88,14.5273,14.66,11373733,12.5372695118,12.6220954219,12.322914437,12.4354784197,11373733,0.0,1.0
85,2021-03-22,14.79,14.935,14.6301,14.91,7738991,12.5457521028,12.6687496724,12.4101154725,12.6475431949,7738991,0.0,1.0
86,2021-03-23,14.17,14.75,14.115,14.75,8881196,12.0198314602,12.5118217387,11.9731772096,12.5118217387,8881196,0.0,1.0
87,2021-03-24,14.01,14.22,13.9413,14.15,9597144,11.884110004,12.0622444152,11.8258346038,12.0028662782,9597144,0.0,1.0
88,2021-03-25,14.02,14.15,13.9232,14.15,10229296,11.8925925951,12.0028662782,11.8104811141,12.0028662782,10229296,0.0,1.0
89,2021-03-26,14.36,14.44,14.02,14.07,6336236,12.1810006894,12.2488614174,11.8925925951,11.9350055501,6336236,0.0,1.0
