,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,73.31,73.73,71.89,71.89,1987891,40.7211508334,40.9544462003,39.9323903071,39.9323903071,1987891,0.0,1.0
1,2015-01-05,73.68,73.9,72.46,72.68,2795428,40.9266729423,41.0488752774,40.2490054479,40.371207783,2795428,0.0,1.0
2,2015-01-06,75.32,75.66,73.97,73.97,4307246,41.8376358037,42.0264939579,41.0877578386,41.0877578386,4307246,0.0,1.0
3,2015-01-07,76.44,76.705,74.8,75.39,2984293,42.4597567822,42.6069550494,41.5487939208,41.8765183649,2984293,0.0,1.0
4,2015-01-08,76.07,76.86,75.32,76.86,3676131,42.2542346732,42.6930521491,41.8376358037,42.6930521491,3676131,0.0,1.0
5,2015-01-09,76.06,76.61,75.09,76.07,2164490,42.2486800216,42.5541858593,41.7098788171,42.2542346732,2164490,0.0,1.0
6,2015-01-12,76.94,77.06,76.05,76.45,1803380,42.7374893619,42.804145181,42.24312537,42.4653114338,1803380,0.0,1.0
7,2015-01-13,77.23,77.75,76.54,77.0,2668244,42.8985742581,43.187416141,42.5153032981,42.7708172714,2668244,0.0,1.0
8,2015-01-14,77.62,78.0,76.76,77.1,2636425,43.1152056703,43.3262824308,42.6375056332,42.8263637874,2636425,0.0,1.0
9,2015-01-15,77.71,78.12,76.87,77.8,4257087,43.1651975346,43.3929382499,42.6986068007,43.2151893989,4257087,0.0,1.0
10,2015-01-16,78.0,78.41,77.5,77.74,8465687,43.3262824308,43.5540231462,43.0485498511,43.1818614894,8465687,0.0,1.0
11,2015-01-20,78.81,79.82,78.15,78.24,4469493,43.893245719,44.4557654268,43.5256585832,43.5757841017,4469493,0.2107,1.0
12,2015-01-21,78.34,78.67,77.91,78.63,3032274,43.6314791223,43.8152726902,43.3919905338,43.7929946819,3032274,0.0,1.0
13,2015-01-22,80.06,80.06,78.65,78.66,3156399,44.5894334762,44.5894334762,43.8041336861,43.8097031881,3156399,0.0,1.0
14,2015-01-23,80.43,80.68,79.85,80.41,4701749,44.7955050524,44.9347426038,44.472473933,44.7843660483,4701749,0.0,1.0
15,2015-01-26,80.65,80.65,79.63,80.41,3254444,44.9180340977,44.9180340977,44.3499448877,44.7843660483,3254444,0.0,1.0
16,2015-01-27,80.76,80.96,80.13,80.31,2983484,44.9792986203,45.0906886615,44.6284199906,44.7286710277,2983484,0.0,1.0
17,2015-01-28,80.75,81.93,80.66,80.81,2439017,44.9737291182,45.6309303611,44.9236035997,45.0071461306,2439017,0.0,1.0
18,2015-01-29,80.95,81.115,80.06,80.55,2689106,45.0851191594,45.1770159434,44.5894334762,44.8623390771,2689106,0.0,1.0
19,2015-01-30,79.81,80.97,79.81,80.62,3140507,44.4501959248,45.0962581635,44.4501959248,44.9013255915,3140507,0.0,1.0
20,2015-02-02,79.79,80.0,78.07,79.67,4142427,44.4390569207,44.5560164639,43.4811025667,44.372222896,4142427,0.0,1.0
21,2015-02-03,79.73,80.01,78.29,79.87,2772639,44.4056399083,44.5615859659,43.603631612,44.4836129371,2772639,0.0,1.0
22,2015-02-04,78.57,79.46,78.15,79.46,4092927,43.7595776696,44.2552633528,43.5256585832,44.2552633528,4092927,0.0,1.0
23,2015-02-05,79.37,79.47,78.09,78.64,3153682,44.2051378342,44.2608328548,43.4922415708,43.798564184,3153682,0.0,1.0
24,2015-02-06,76.01,79.17,75.59,79.16,4240597,42.3337851428,44.0937477931,42.0998660563,44.088178291,4240597,0.0,1.0
25,2015-02-09,75.75,76.43,75.47,76.12,2697122,42.1889780892,42.5677042292,42.0330320316,42.3950496654,2697122,0.0,1.0
26,2015-02-10,76.67,76.96,75.08,75.83,3681705,42.7013722786,42.8628878383,41.8158214514,42.2335341057,3681705,0.0,1.0
27,2015-02-11,76.49,77.565,76.0,76.9,2590931,42.6011212415,43.1998427128,42.3282156407,42.8294708259,2590931,0.0,1.0
28,2015-02-12,77.02,77.23,76.01,76.49,1912426,42.8963048506,43.0132643938,42.3337851428,42.6011212415,1912426,0.0,1.0
29,2015-02-13,76.61,77.32,76.0101,77.32,1772330,42.6679552662,43.0633899123,42.3338408378,43.0633899123,1772330,0.0,1.0
30,2015-02-17,76.49,77.88,76.26,76.76,2685447,42.6011212415,43.3752820276,42.4730226942,42.7514977971,2685447,0.0,1.0
31,2015-02-18,77.85,77.86,75.61,77.04,3487277,43.3585735214,43.3641430235,42.1110050604,42.9074438547,3487277,0.0,1.0
32,2015-02-19,76.34,77.61,76.23,77.42,2301575,42.5175787107,43.224905472,42.456314188,43.1190849329,2301575,0.0,1.0
33,2015-02-20,77.43,77.8,76.23,76.27,3378882,43.124654435,43.3307260111,42.456314188,42.4785921963,3378882,0.0,1.0
34,2015-02-23,77.58,78.34,76.98,77.53,2451758,43.2081969659,43.6314791223,42.8740268424,43.1803494556,2451758,0.0,1.0
35,2015-02-24,74.54,76.37,73.83,75.88,5925935,41.5150683402,42.5342872168,41.1196336941,42.261381616,5925935,0.0,1.0
