,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,45.22,45.57,44.83,44.83,7433471,24.6558994062,24.8467345409,24.4432545418,24.4432545418,7433471,0.0,1.0
1,2015-01-05,43.43,44.84,43.25,44.54,8826753,23.6799140029,24.4487069742,23.5817702193,24.2851340016,8826753,0.0,1.0
2,2015-01-06,42.84,43.61,42.2048,43.28,8068089,23.3582204901,23.7780577865,23.0118819827,23.5981275166,8068089,0.0,1.0
3,2015-01-07,42.61,43.757,42.365,43.32,8251953,23.2328145444,23.858208543,23.0992299501,23.6199372463,8251953,0.0,1.0
4,2015-01-08,43.02,43.89,42.86,43.14,7745532,23.4563642736,23.9307258942,23.3691253549,23.5217934627,7745532,0.0,1.0
5,2015-01-09,42.48,43.37,41.95,42.96,6150153,23.1619329229,23.6471994084,22.8729540046,23.4236496791,6150153,0.0,1.0
6,2015-01-12,41.28,42.05,40.79,42.05,6567352,22.5076410325,22.9274783288,22.2404718438,22.9274783288,6567352,0.0,1.0
7,2015-01-13,40.94,41.715,40.4,41.33,7303545,22.3222583302,22.7448218428,22.0278269794,22.5349031946,7303545,0.0,1.0
8,2015-01-14,41.53,41.68,40.07,40.53,9703173,22.643951843,22.7257383293,21.8478967096,22.0987086009,9703173,0.0,1.0
9,2015-01-15,41.63,42.3058,41.38,42.11,7622402,22.6984761672,23.0669515502,22.5621653567,22.9601929234,7622402,0.0,1.0
10,2015-01-16,42.0,42.44,41.485,41.9,9881644,22.9002161667,23.1401231932,22.6194158971,22.8456918425,9881644,0.0,1.0
11,2015-01-20,42.09,42.145,41.14,41.9,8936207,22.9492880585,22.9792764368,22.4313069786,22.8456918425,8936207,0.0,1.0
12,2015-01-21,42.77,43.13,42.08,42.19,7294133,23.3200534631,23.5163410303,22.9438356261,23.0038123827,7294133,0.0,1.0
13,2015-01-22,43.32,43.56,42.29,43.26,7012660,23.6199372463,23.7507956244,23.0583367069,23.5872226517,7012660,0.0,1.0
14,2015-01-23,43.35,43.98,42.72,43.25,6276311,23.6362945435,23.979797786,23.292791301,23.5817702193,6276311,0.0,1.0
15,2015-01-26,43.75,43.925,43.2199,43.5,7027207,23.8543918404,23.9498094077,23.5653583977,23.7180810298,7027207,0.0,1.0
16,2015-01-27,43.96,44.44,43.52,43.54,7887017,23.9688929212,24.2306096774,23.7289858947,23.7398907595,7887017,0.0,1.0
17,2015-01-28,42.51,44.02,42.42,43.95,9389634,23.1782902202,24.0016075157,23.1292183284,23.9634404888,9389634,0.0,1.0
18,2015-01-29,43.59,43.78,42.02,42.93,9570455,23.7671529216,23.8707491376,22.9111210316,23.4072923819,9570455,0.0,1.0
19,2015-01-30,43.86,44.52,42.67,43.17,15053281,23.914368597,24.2742291367,23.2655291389,23.53815076,15053281,0.0,1.0
20,2015-02-02,44.83,44.95,43.61,44.67,11948498,24.4432545418,24.5086837308,23.7780577865,24.3560156231,11948498,0.0,1.0
21,2015-02-03,46.08,46.2,44.85,45.29,11402777,25.1248085944,25.1902377834,24.4541594066,24.6940664331,11402777,0.0,1.0
22,2015-02-04,45.36,46.01,45.03,45.37,6519397,24.7322334601,25.0866415674,24.5523031902,24.7376858925,6519397,0.0,1.0
23,2015-02-05,46.4,46.73,45.71,46.13,7436944,25.2992864318,25.4792167017,24.9230685948,25.1520707565,7436944,0.0,1.0
24,2015-02-06,46.38,47.01,46.2,46.89,6867075,25.288381567,25.6318848095,25.1902377834,25.5664556204,6867075,0.0,1.0
25,2015-02-09,46.05,46.9,45.87,46.49,3895009,25.1084512971,25.5719080529,25.0103075135,25.3483583236,3895009,0.0,1.0
26,2015-02-10,47.35,47.595,45.785,46.21,10771535,25.8172675118,25.9508521061,24.963961838,25.1956902158,10771535,0.0,1.0
27,2015-02-11,47.14,47.61,46.46,46.9,10203277,25.702766431,25.9590307547,25.3320010264,25.5719080529,10203277,0.0,1.0
28,2015-02-12,47.97,48.21,47.48,47.88,5187132,26.1553183219,26.2861767,25.8881491333,26.1062464301,5187132,0.0,1.0
29,2015-02-13,49.41,49.59,48.16,48.37,13487394,26.9404685904,27.038612374,26.2589145379,26.3734156187,13487394,0.0,1.0
30,2015-02-17,49.65,49.76,48.651,49.36,7170714,27.0713269685,27.1313037252,26.5266289697,26.9132064283,7170714,0.0,1.0
31,2015-02-18,48.68,49.35,48.41,49.21,11322284,26.5424410237,26.9077539959,26.3952253484,26.831419942,11322284,0.0,1.0
32,2015-02-19,49.41,50.69,48.43,49.21,13619977,26.9404685904,27.6383799403,26.4061302132,26.831419942,13619977,0.0,1.0
33,2015-02-20,48.97,49.5,48.66,49.22,8858351,26.7005615639,26.9895404822,26.5315361589,26.8368723745,8858351,0.0,1.0
34,2015-02-23,49.15,49.48,48.31,48.31,5623765,26.7987053475,26.9786356174,26.3407010242,26.3407010242,5623765,0.0,1.0
35,2015-02-24,49.3,49.3,48.54,48.9,7144063,26.8804918338,26.8804918338,26.4661069698,26.662394537,7144063,0.0,1.0
