,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,2015-01-02,50.65,51.66,50.5,51.41,500694,12.1543095483,12.3966758394,12.1183145546,12.3366841832,1689842,0.0,1.0
1,2015-01-05,50.2,50.62,50.01,50.43,407647,12.0463245671,12.1471105495,12.0007309084,12.1015168908,1375808,0.0,1.0
2,2015-01-06,50.07,50.63,49.69,50.37,662568,12.0151289059,12.1495102158,11.9239415884,12.0871188933,2236167,0.0,1.0
3,2015-01-07,50.12,50.44,49.72,50.43,537668,12.0271272371,12.1039165571,11.9311405872,12.1015168908,1814629,0.0,1.0
4,2015-01-08,51.19,51.32,50.29,50.29,737174,12.2838915257,12.3150871869,12.0679215633,12.0679215633,2487962,0.0,1.0
5,2015-01-09,50.75,51.375,50.69,51.21,295651,12.1783062108,12.3282853513,12.1639082133,12.2886908582,997822,0.0,1.0
6,2015-01-12,50.25,50.94,50.07,50.9,323315,12.0583228984,12.2238998695,12.0151289059,12.2143012045,1091188,0.0,1.0
7,2015-01-13,50.35,51.17,50.145,50.67,673329,12.0823195608,12.2790921932,12.0331264027,12.1591088808,2272485,0.0,1.0
8,2015-01-14,48.87,49.74,48.44,49.01,761229,11.7271689561,11.9359399197,11.6239833074,11.7607642835,2569147,0.0,1.0
9,2015-01-15,48.55,49.05,48.48,48.69,995078,11.6503796361,11.7703629485,11.6335819724,11.6839749636,3358388,0.0,1.0
10,2015-01-16,49.34,49.57,48.58,48.58,968301,11.8399532697,11.8951455935,11.6575786349,11.6575786349,3268015,0.0,1.0
11,2015-01-20,48.89,49.51,48.51,49.41,1070568,11.7319682886,11.880747596,11.6407809711,11.8567509335,3613167,0.0,1.0
12,2015-01-21,49.11,49.2,48.3,48.58,893738,11.784760946,11.8063579423,11.5903879799,11.6575786349,3016365,0.0,1.0
13,2015-01-22,50.54,50.55,49.03,49.48,664572,12.1279132196,12.1303128858,11.765563616,11.8735485972,2242930,0.0,1.0
14,2015-01-23,49.9,50.54,49.84,50.49,442002,11.9743345797,12.1279132196,11.9599365822,12.1159148883,1491756,0.0,1.0
15,2015-01-26,50.19,50.29,49.44,49.73,607399,12.0439249009,12.0679215633,11.8639499322,11.9335402534,2049971,0.0,1.0
16,2015-01-27,50.11,50.42,49.67,49.86,417692,12.0247275709,12.0991172246,11.9191422559,11.9647359147,1409710,0.0,1.0
17,2015-01-28,49.61,50.48,49.58,50.36,421193,11.9047442585,12.1135152221,11.8975452597,12.0847192271,1421526,0.0,1.0
18,2015-01-29,50.46,50.53,49.5,49.71,903097,12.1087158896,12.1255135533,11.8783479297,11.9287409209,3047952,0.0,1.0
19,2015-01-30,48.99,50.25,48.9,49.99,796883,11.7559649511,12.0583228984,11.7343679548,11.9959315759,2689480,0.0,1.0
20,2015-02-02,49.58,49.62,48.31,48.94,692466,11.8975452597,11.9071439247,11.5927876462,11.7439666198,2337072,0.0,1.0
21,2015-02-03,49.92,50.05,49.43,49.67,962271,11.9791339122,12.0103295734,11.861550266,11.9191422559,3247664,0.0,1.0
22,2015-02-04,48.4,49.0,47.45,48.55,2523826,11.6143846424,11.7583646173,11.3864163488,11.6503796361,8517912,0.0,1.0
23,2015-02-05,49.2,49.52,48.41,48.44,1325035,11.8063579423,11.8831472622,11.6167843086,11.6239833074,4471993,0.0,1.0
24,2015-02-06,49.51,49.99,49.26,49.32,1387134,11.880747596,11.9959315759,11.8207559398,11.8351539372,4681577,0.0,1.0
25,2015-02-09,49.63,49.68,49.06,49.35,761568,11.9095435909,11.9215419222,11.7727626148,11.842352936,2570292,0.0,1.0
26,2015-02-10,49.83,50.0,49.61,50.0,590867,11.9575369159,11.9983312421,11.9047442585,11.9983312421,1994176,0.0,1.0
27,2015-02-11,49.95,50.31,49.79,49.86,740499,11.9863329109,12.0727208958,11.9479382509,11.9647359147,2499184,0.0,1.0
28,2015-02-12,50.19,50.34,50.03,50.1,589373,12.0439249009,12.0799198946,12.0055302409,12.0223279046,1989133,0.0,1.0
